Phi[deg],Theta[deg],im(rEZ)[mV]
-180,0,-2.33639e-13
-178,0,-2.28475e-13
-176,0,-2.22669e-13
-174,0,-2.16499e-13
-172,0,-2.10241e-13
-170,0,-2.04163e-13
-168,0,-1.98519e-13
-166,0,-1.93553e-13
-164,0,-1.89488e-13
-162,0,-1.86525e-13
-160,0,-1.84832e-13
-158,0,-1.84532e-13
-156,0,-1.85691e-13
-154,0,-1.88297e-13
-152,0,-1.92254e-13
-150,0,-1.97369e-13
-148,0,-2.03351e-13
-146,0,-2.09822e-13
-144,0,-2.16332e-13
-142,0,-2.22393e-13
-140,0,-2.2751e-13
-138,0,-2.31231e-13
-136,0,-2.33192e-13
-134,0,-2.33156e-13
-132,0,-2.31053e-13
-130,0,-2.26996e-13
-128,0,-2.21293e-13
-126,0,-2.14427e-13
-124,0,-2.07027e-13
-122,0,-1.99816e-13
-120,0,-1.93547e-13
-118,0,-1.8893e-13
-116,0,-1.86558e-13
-114,0,-1.86842e-13
-112,0,-1.89955e-13
-110,0,-1.95801e-13
-108,0,-2.04008e-13
-106,0,-2.13945e-13
-104,0,-2.24771e-13
-102,0,-2.35502e-13
-100,0,-2.45105e-13
-98,0,-2.52587e-13
-96,0,-2.57098e-13
-94,0,-2.5802e-13
-92,0,-2.55034e-13
-90,0,-2.48163e-13
-88,0,-2.37785e-13
-86,0,-2.24614e-13
-84,0,-2.09638e-13
-82,0,-1.94043e-13
-80,0,-1.79105e-13
-78,0,-1.66076e-13
-76,0,-1.56072e-13
-74,0,-1.49963e-13
-72,0,-1.48295e-13
-70,0,-1.51233e-13
-68,0,-1.58543e-13
-66,0,-1.6961e-13
-64,0,-1.83496e-13
-62,0,-1.99017e-13
-60,0,-2.14857e-13
-58,0,-2.29685e-13
-56,0,-2.42276e-13
-54,0,-2.51621e-13
-52,0,-2.57019e-13
-50,0,-2.58136e-13
-48,0,-2.55031e-13
-46,0,-2.48148e-13
-44,0,-2.38267e-13
-42,0,-2.26432e-13
-40,0,-2.13849e-13
-38,0,-2.01778e-13
-36,0,-1.91414e-13
-34,0,-1.83787e-13
-32,0,-1.79667e-13
-30,0,-1.79506e-13
-28,0,-1.83402e-13
-26,0,-1.91096e-13
-24,0,-2.02008e-13
-22,0,-2.15289e-13
-20,0,-2.29901e-13
-18,0,-2.44709e-13
-16,0,-2.58578e-13
-14,0,-2.70461e-13
-12,0,-2.79485e-13
-10,0,-2.85009e-13
-8,0,-2.86664e-13
-6,0,-2.84372e-13
-4,0,-2.78335e-13
-2,0,-2.69007e-13
0,0,-2.57048e-13
2,0,-2.43264e-13
4,0,-2.28543e-13
6,0,-2.13789e-13
8,0,-1.99859e-13
10,0,-1.87511e-13
12,0,-1.77361e-13
14,0,-1.69855e-13
16,0,-1.65252e-13
18,0,-1.63623e-13
20,0,-1.64859e-13
22,0,-1.68685e-13
24,0,-1.74693e-13
26,0,-1.82367e-13
28,0,-1.91118e-13
30,0,-2.0032e-13
32,0,-2.09346e-13
34,0,-2.17602e-13
36,0,-2.24559e-13
38,0,-2.29786e-13
40,0,-2.32972e-13
42,0,-2.33945e-13
44,0,-2.32691e-13
46,0,-2.29349e-13
48,0,-2.24214e-13
50,0,-2.17717e-13
52,0,-2.10401e-13
54,0,-2.02886e-13
56,0,-1.95823e-13
58,0,-1.89846e-13
60,0,-1.8552e-13
62,0,-1.83291e-13
64,0,-1.83445e-13
66,0,-1.86073e-13
68,0,-1.91052e-13
70,0,-1.98046e-13
72,0,-2.06526e-13
74,0,-2.15799e-13
76,0,-2.25067e-13
78,0,-2.3349e-13
80,0,-2.40254e-13
82,0,-2.44648e-13
84,0,-2.4613e-13
86,0,-2.44382e-13
88,0,-2.39343e-13
90,0,-2.3123e-13
92,0,-2.20522e-13
94,0,-2.07932e-13
96,0,-1.94348e-13
98,0,-1.80761e-13
100,0,-1.68183e-13
102,0,-1.57558e-13
104,0,-1.49686e-13
106,0,-1.45146e-13
108,0,-1.44253e-13
110,0,-1.47028e-13
112,0,-1.53199e-13
114,0,-1.62226e-13
116,0,-1.73354e-13
118,0,-1.85681e-13
120,0,-1.98236e-13
122,0,-2.10069e-13
124,0,-2.20328e-13
126,0,-2.28337e-13
128,0,-2.33639e-13
130,0,-2.36037e-13
132,0,-2.35592e-13
134,0,-2.32612e-13
136,0,-2.27609e-13
138,0,-2.21243e-13
140,0,-2.14257e-13
142,0,-2.07402e-13
144,0,-2.01374e-13
146,0,-1.96749e-13
148,0,-1.93943e-13
150,0,-1.93182e-13
152,0,-1.94497e-13
154,0,-1.97731e-13
156,0,-2.0257e-13
158,0,-2.0858e-13
160,0,-2.15254e-13
162,0,-2.22059e-13
164,0,-2.28486e-13
166,0,-2.34086e-13
168,0,-2.38501e-13
170,0,-2.41479e-13
172,0,-2.42886e-13
174,0,-2.42695e-13
176,0,-2.40979e-13
178,0,-2.3789e-13
180,0,-2.33639e-13
-180,2,2.08622
-178,2,2.08888
-176,2,2.09495
-174,2,2.1044
-172,2,2.11719
-170,2,2.13326
-168,2,2.15253
-166,2,2.17492
-164,2,2.20031
-162,2,2.22859
-160,2,2.25963
-158,2,2.29327
-156,2,2.32935
-154,2,2.36771
-152,2,2.40816
-150,2,2.45051
-148,2,2.49454
-146,2,2.54006
-144,2,2.58684
-142,2,2.63466
-140,2,2.68328
-138,2,2.73247
-136,2,2.78201
-134,2,2.83163
-132,2,2.88112
-130,2,2.93022
-128,2,2.9787
-126,2,3.02633
-124,2,3.07287
-122,2,3.11811
-120,2,3.16182
-118,2,3.20378
-116,2,3.24381
-114,2,3.28169
-112,2,3.31726
-110,2,3.35033
-108,2,3.38075
-106,2,3.40837
-104,2,3.43305
-102,2,3.45468
-100,2,3.47314
-98,2,3.48836
-96,2,3.50025
-94,2,3.50876
-92,2,3.51385
-90,2,3.51548
-88,2,3.51366
-86,2,3.5084
-84,2,3.4997
-82,2,3.48763
-80,2,3.47223
-78,2,3.45359
-76,2,3.43178
-74,2,3.40693
-72,2,3.37913
-70,2,3.34854
-68,2,3.3153
-66,2,3.27957
-64,2,3.24152
-62,2,3.20133
-60,2,3.1592
-58,2,3.11534
-56,2,3.06996
-54,2,3.02326
-52,2,2.97549
-50,2,2.92687
-48,2,2.87763
-46,2,2.82801
-44,2,2.77826
-42,2,2.7286
-40,2,2.67929
-38,2,2.63055
-36,2,2.58263
-34,2,2.53575
-32,2,2.49013
-30,2,2.446
-28,2,2.40357
-26,2,2.36304
-24,2,2.32461
-22,2,2.28845
-20,2,2.25475
-18,2,2.22366
-16,2,2.19533
-14,2,2.16989
-12,2,2.14746
-10,2,2.12816
-8,2,2.11207
-6,2,2.09926
-4,2,2.08979
-2,2,2.08371
0,2,2.08105
2,2,2.0818
4,2,2.08597
6,2,2.09354
8,2,2.10445
10,2,2.11866
12,2,2.13608
14,2,2.15665
16,2,2.18024
18,2,2.20674
20,2,2.23603
22,2,2.26795
24,2,2.30235
26,2,2.33905
28,2,2.37787
30,2,2.41863
32,2,2.46112
34,2,2.50514
36,2,2.55045
38,2,2.59685
40,2,2.6441
42,2,2.69197
44,2,2.74023
46,2,2.78863
48,2,2.83694
50,2,2.88492
52,2,2.93234
54,2,2.97897
56,2,3.02456
58,2,3.06891
60,2,3.11178
62,2,3.15298
64,2,3.1923
66,2,3.22954
68,2,3.26452
70,2,3.29708
