Phi[deg],Theta[deg],re(rEX)[mV]
-180,0,1.2424
-178,0,1.2424
-176,0,1.2424
-174,0,1.2424
-172,0,1.2424
-170,0,1.2424
-168,0,1.2424
-166,0,1.2424
-164,0,1.2424
-162,0,1.2424
-160,0,1.2424
-158,0,1.2424
-156,0,1.2424
-154,0,1.2424
-152,0,1.2424
-150,0,1.2424
-148,0,1.2424
-146,0,1.2424
-144,0,1.2424
-142,0,1.2424
-140,0,1.2424
-138,0,1.2424
-136,0,1.2424
-134,0,1.2424
-132,0,1.2424
-130,0,1.2424
-128,0,1.2424
-126,0,1.2424
-124,0,1.2424
-122,0,1.2424
-120,0,1.2424
-118,0,1.2424
-116,0,1.2424
-114,0,1.2424
-112,0,1.2424
-110,0,1.2424
-108,0,1.2424
-106,0,1.2424
-104,0,1.2424
-102,0,1.2424
-100,0,1.2424
-98,0,1.2424
-96,0,1.2424
-94,0,1.2424
-92,0,1.2424
-90,0,1.2424
-88,0,1.2424
-86,0,1.2424
-84,0,1.2424
-82,0,1.2424
-80,0,1.2424
-78,0,1.2424
-76,0,1.2424
-74,0,1.2424
-72,0,1.2424
-70,0,1.2424
-68,0,1.2424
-66,0,1.2424
-64,0,1.2424
-62,0,1.2424
-60,0,1.2424
-58,0,1.2424
-56,0,1.2424
-54,0,1.2424
-52,0,1.2424
-50,0,1.2424
-48,0,1.2424
-46,0,1.2424
-44,0,1.2424
-42,0,1.2424
-40,0,1.2424
-38,0,1.2424
-36,0,1.2424
-34,0,1.2424
-32,0,1.2424
-30,0,1.2424
-28,0,1.2424
-26,0,1.2424
-24,0,1.2424
-22,0,1.2424
-20,0,1.2424
-18,0,1.2424
-16,0,1.2424
-14,0,1.2424
-12,0,1.2424
-10,0,1.2424
-8,0,1.2424
-6,0,1.2424
-4,0,1.2424
-2,0,1.2424
0,0,1.2424
2,0,1.2424
4,0,1.2424
6,0,1.2424
8,0,1.2424
10,0,1.2424
12,0,1.2424
14,0,1.2424
16,0,1.2424
18,0,1.2424
20,0,1.2424
22,0,1.2424
24,0,1.2424
26,0,1.2424
28,0,1.2424
30,0,1.2424
32,0,1.2424
34,0,1.2424
36,0,1.2424
38,0,1.2424
40,0,1.2424
42,0,1.2424
44,0,1.2424
46,0,1.2424
48,0,1.2424
50,0,1.2424
52,0,1.2424
54,0,1.2424
56,0,1.2424
58,0,1.2424
60,0,1.2424
62,0,1.2424
64,0,1.2424
66,0,1.2424
68,0,1.2424
70,0,1.2424
72,0,1.2424
74,0,1.2424
76,0,1.2424
78,0,1.2424
80,0,1.2424
82,0,1.2424
84,0,1.2424
86,0,1.2424
88,0,1.2424
90,0,1.2424
92,0,1.2424
