Phi[deg],Theta[deg],re(rEZ)[mV]
-180,0,3.15188e-14
-178,0,2.9433e-14
-176,0,2.64334e-14
-174,0,2.2493e-14
-172,0,1.76397e-14
-170,0,1.19671e-14
-168,0,5.63867e-15
-166,0,-1.11567e-15
-164,0,-8.00975e-15
-162,0,-1.47189e-14
-160,0,-2.09029e-14
-158,0,-2.62328e-14
-156,0,-3.04184e-14
-154,0,-3.32342e-14
-152,0,-3.45403e-14
-150,0,-3.42974e-14
-148,0,-3.25726e-14
-146,0,-2.95358e-14
-144,0,-2.54472e-14
-142,0,-2.06361e-14
-140,0,-1.54735e-14
-138,0,-1.03409e-14
-136,0,-5.59798e-15
-134,0,-1.55336e-15
-132,0,1.55994e-15
-130,0,3.60097e-15
-128,0,4.52798e-15
-126,0,4.39554e-15
-124,0,3.34215e-15
-122,0,1.56965e-15
-120,0,-6.83037e-16
-118,0,-3.169e-15
-116,0,-5.66187e-15
-114,0,-7.98055e-15
-112,0,-1.00074e-14
-110,0,-1.16975e-14
-108,0,-1.30786e-14
-106,0,-1.42408e-14
-104,0,-1.53179e-14
-102,0,-1.64623e-14
-100,0,-1.7817e-14
-98,0,-1.94872e-14
-96,0,-2.15162e-14
-94,0,-2.3868e-14
-92,0,-2.64198e-14
-90,0,-2.89656e-14
-88,0,-3.12309e-14
-86,0,-3.28977e-14
-84,0,-3.36377e-14
-82,0,-3.31502e-14
-80,0,-3.11998e-14
-78,0,-2.76507e-14
-76,0,-2.24935e-14
-74,0,-1.58591e-14
-72,0,-8.02044e-15
-70,0,6.22222e-16
-68,0,9.5693e-15
-66,0,1.82626e-14
-64,0,2.61345e-14
-62,0,3.26614e-14
-60,0,3.74154e-14
-58,0,4.01101e-14
-56,0,4.06339e-14
-54,0,3.90686e-14
-52,0,3.56894e-14
-50,0,3.0946e-14
-48,0,2.5426e-14
-46,0,1.98035e-14
-44,0,1.47765e-14
-42,0,1.1001e-14
-40,0,9.02509e-15
-38,0,9.23196e-15
-36,0,1.17966e-14
-34,0,1.66605e-14
-32,0,2.35279e-14
-30,0,3.18841e-14
-28,0,4.1035e-14
-26,0,5.01643e-14
-24,0,5.84037e-14
-22,0,6.49095e-14
-20,0,6.8939e-14
-18,0,6.99193e-14
-16,0,6.75016e-14
-14,0,6.15978e-14
-12,0,5.23927e-14
-10,0,4.03339e-14
-8,0,2.60971e-14
-6,0,1.05329e-14
-4,0,-5.40301e-15
-2,0,-2.07278e-14
0,0,-3.45116e-14
2,0,-4.59523e-14
4,0,-5.44386e-14
6,0,-5.95948e-14
8,0,-6.13053e-14
10,0,-5.97153e-14
12,0,-5.52087e-14
14,0,-4.83663e-14
16,0,-3.99066e-14
18,0,-3.0618e-14
20,0,-2.1285e-14
22,0,-1.26192e-14
