Phi[deg],Theta[deg],im(rEX)[mV]
-180,0,0.0135889
-178,0,0.0135889
-176,0,0.0135889
-174,0,0.0135889
-172,0,0.0135889
-170,0,0.0135889
-168,0,0.0135889
-166,0,0.0135889
-164,0,0.0135889
-162,0,0.0135889
-160,0,0.0135889
-158,0,0.0135889
-156,0,0.0135889
-154,0,0.0135889
-152,0,0.0135889
-150,0,0.0135889
-148,0,0.0135889
-146,0,0.0135889
-144,0,0.0135889
-142,0,0.0135889
-140,0,0.0135889
-138,0,0.0135889
-136,0,0.0135889
-134,0,0.0135889
-132,0,0.0135889
-130,0,0.0135889
-128,0,0.0135889
-126,0,0.0135889
-124,0,0.0135889
-122,0,0.0135889
-120,0,0.0135889
-118,0,0.0135889
-116,0,0.0135889
-114,0,0.0135889
-112,0,0.0135889
-110,0,0.0135889
-108,0,0.0135889
-106,0,0.0135889
-104,0,0.0135889
-102,0,0.0135889
-100,0,0.0135889
-98,0,0.0135889
-96,0,0.0135889
-94,0,0.0135889
-92,0,0.0135889
-90,0,0.0135889
-88,0,0.0135889
-86,0,0.0135889
-84,0,0.0135889
-82,0,0.0135889
-80,0,0.0135889
-78,0,0.0135889
-76,0,0.0135889
-74,0,0.0135889
-72,0,0.0135889
-70,0,0.0135889
-68,0,0.0135889
-66,0,0.0135889
-64,0,0.0135889
-62,0,0.0135889
-60,0,0.0135889
-58,0,0.0135889
-56,0,0.0135889
-54,0,0.0135889
-52,0,0.0135889
-50,0,0.0135889
-48,0,0.0135889
-46,0,0.0135889
-44,0,0.0135889
-42,0,0.0135889
-40,0,0.0135889
-38,0,0.0135889
-36,0,0.0135889
-34,0,0.0135889
-32,0,0.0135889
-30,0,0.0135889
-28,0,0.0135889
-26,0,0.0135889
-24,0,0.0135889
-22,0,0.0135889
-20,0,0.0135889
-18,0,0.0135889
-16,0,0.0135889
-14,0,0.0135889
-12,0,0.0135889
-10,0,0.0135889
-8,0,0.0135889
-6,0,0.0135889
-4,0,0.0135889
-2,0,0.0135889
0,0,0.0135889
2,0,0.0135889
4,0,0.0135889
6,0,0.0135889
8,0,0.0135889
10,0,0.0135889
12,0,0.0135889
14,0,0.0135889
16,0,0.0135889
18,0,0.0135889
20,0,0.0135889
22,0,0.0135889
24,0,0.0135889
26,0,0.0135889
28,0,0.0135889
30,0,0.0135889
32,0,0.0135889
34,0,0.0135889
36,0,0.0135889
38,0,0.0135889
40,0,0.0135889
42,0,0.0135889
44,0,0.0135889
46,0,0.0135889
48,0,0.0135889
50,0,0.0135889
52,0,0.0135889
54,0,0.0135889
56,0,0.0135889
58,0,0.0135889
60,0,0.0135889
62,0,0.0135889
64,0,0.0135889
66,0,0.0135889
68,0,0.0135889
70,0,0.0135889
72,0,0.0135889
74,0,0.0135889
76,0,0.0135889
78,0,0.0135889
80,0,0.0135889
82,0,0.0135889
84,0,0.0135889
86,0,0.0135889
88,0,0.0135889
90,0,0.0135889
92,0,0.0135889
94,0,0.0135889
96,0,0.0135889
98,0,0.0135889
100,0,0.0135889
102,0,0.0135889
104,0,0.0135889
106,0,0.0135889
108,0,0.0135889
110,0,0.0135889
112,0,0.0135889
114,0,0.0135889
116,0,0.0135889
118,0,0.0135889
120,0,0.0135889
122,0,0.0135889
124,0,0.0135889
126,0,0.0135889
128,0,0.0135889
130,0,0.0135889
132,0,0.0135889
134,0,0.0135889
136,0,0.0135889
138,0,0.0135889
140,0,0.0135889
142,0,0.0135889
144,0,0.0135889
146,0,0.0135889
148,0,0.0135889
150,0,0.0135889
152,0,0.0135889
154,0,0.0135889
156,0,0.0135889
158,0,0.0135889
160,0,0.0135889
162,0,0.0135889
164,0,0.0135889
166,0,0.0135889
168,0,0.0135889
170,0,0.0135889
172,0,0.0135889
174,0,0.0135889
176,0,0.0135889
178,0,0.0135889
180,0,0.0135889
-180,2,-0.155794
-178,2,-0.364931
-176,2,-0.572842
-174,2,-0.778514
-172,2,-0.980942
-170,2,-1.17914
-168,2,-1.37213
-166,2,-1.55898
-164,2,-1.73877
-162,2,-1.91062
-160,2,-2.07369
-158,2,-2.22717
-156,2,-2.3703
-154,2,-2.50239
-152,2,-2.62278
-150,2,-2.73087
-148,2,-2.82613
-146,2,-2.90808
-144,2,-2.97631
-142,2,-3.03048
-140,2,-3.07031
-138,2,-3.09558
-136,2,-3.10617
-134,2,-3.10201
-132,2,-3.0831
-130,2,-3.04952
-128,2,-3.00142
-126,2,-2.93901
-124,2,-2.86258
-122,2,-2.77248
-120,2,-2.66914
-118,2,-2.55304
-116,2,-2.42473
-114,2,-2.28481
-112,2,-2.13395
-110,2,-1.97285
-108,2,-1.80229
-106,2,-1.62308
-104,2,-1.43607
-102,2,-1.24214
-100,2,-1.04223
-98,2,-0.837281
-96,2,-0.628276
-94,2,-0.41621
-92,2,-0.202095
-90,2,0.0130479
-88,2,0.228191
-86,2,0.442308
-84,2,0.654378
-82,2,0.863388
-80,2,1.06834
-78,2,1.26826
-76,2,1.4622
-74,2,1.64922
-72,2,1.82844
-70,2,1.99901
-68,2,2.16012
-66,2,2.311
-64,2,2.45093
-62,2,2.57926
-60,2,2.69538
-58,2,2.79874
-56,2,2.88886
-54,2,2.96531
-52,2,3.02775
-50,2,3.07588
-48,2,3.10948
-46,2,3.12842
-44,2,3.13261
-42,2,3.12204
-40,2,3.09679
-38,2,3.057
-36,2,3.00286
-34,2,2.93466
-32,2,2.85274
-30,2,2.75752
-28,2,2.64946
-26,2,2.5291
-24,2,2.39705
-22,2,2.25395
-20,2,2.10051
-18,2,1.93748
-16,2,1.76567
-14,2,1.58591
-12,2,1.3991
-10,2,1.20614
-8,2,1.00798
-6,2,0.805592
-4,2,0.599958
-2,2,0.392085
0,2,0.182987
2,2,-0.0263188
4,2,-0.234811
6,2,-0.441477
8,2,-0.64531
10,2,-0.84532
12,2,-1.04054
14,2,-1.23001
16,2,-1.41283
18,2,-1.5881
20,2,-1.75498
22,2,-1.91267
24,2,-2.06039
26,2,-2.19745
28,2,-2.32318
30,2,-2.43697
32,2,-2.53829
34,2,-2.62666
36,2,-2.70164
38,2,-2.7629
40,2,-2.81014
42,2,-2.84315
44,2,-2.86178
46,2,-2.86596
48,2,-2.85567
50,2,-2.83099
52,2,-2.79205
54,2,-2.73906
56,2,-2.6723
58,2,-2.5921
60,2,-2.49887
62,2,-2.39309
64,2,-2.2753
66,2,-2.14608
68,2,-2.00608
70,2,-1.85601
72,2,-1.69662
74,2,-1.5287
76,2,-1.35309
78,2,-1.17067
80,2,-0.982355
82,2,-0.789075
84,2,-0.591796
86,2,-0.3915
88,2,-0.189186
90,2,0.0141406
92,2,0.217466
94,2,0.419779
96,2,0.620071
98,2,0.817346
100,2,1.01062
102,2,1.19893
104,2,1.38134
106,2,1.55694
108,2,1.72485
110,2,1.88423
112,2,2.03428
114,2,2.17427
116,2,2.30347
118,2,2.42125
120,2,2.52701
122,2,2.62021
124,2,2.70039
126,2,2.76714
128,2,2.8201
130,2,2.85902
132,2,2.88367
134,2,2.89393
136,2,2.88973
138,2,2.87107
140,2,2.83803
142,2,2.79076
144,2,2.72948
146,2,2.65446
148,2,2.56606
150,2,2.46471
152,2,2.35088
154,2,2.22512
156,2,2.08803
158,2,1.94027
160,2,1.78255
162,2,1.61563
164,2,1.44032
166,2,1.25747
168,2,1.06796
170,2,0.872703
172,2,0.672654
174,2,0.468784
176,2,0.26208
178,2,0.0535495
180,2,-0.155794
-180,4,-0.323897
-178,4,-1.15713
-176,4,-1.9859
-174,4,-2.80615
-172,4,-3.6139
-170,4,-4.4052
-168,4,-5.17619
-166,4,-5.92311
