Phi[deg],Theta[deg],im(rEY)[mV]
-180,0,969.279
-178,0,969.279
-176,0,969.279
-174,0,969.279
-172,0,969.279
-170,0,969.279
-168,0,969.279
-166,0,969.279
-164,0,969.279
-162,0,969.279
-160,0,969.279
-158,0,969.279
-156,0,969.279
-154,0,969.279
-152,0,969.279
-150,0,969.279
-148,0,969.279
-146,0,969.279
-144,0,969.279
-142,0,969.279
-140,0,969.279
-138,0,969.279
-136,0,969.279
-134,0,969.279
-132,0,969.279
-130,0,969.279
-128,0,969.279
-126,0,969.279
-124,0,969.279
-122,0,969.279
-120,0,969.279
-118,0,969.279
-116,0,969.279
-114,0,969.279
-112,0,969.279
-110,0,969.279
-108,0,969.279
-106,0,969.279
-104,0,969.279
-102,0,969.279
-100,0,969.279
-98,0,969.279
-96,0,969.279
-94,0,969.279
-92,0,969.279
-90,0,969.279
-88,0,969.279
-86,0,969.279
-84,0,969.279
-82,0,969.279
-80,0,969.279
-78,0,969.279
-76,0,969.279
-74,0,969.279
-72,0,969.279
-70,0,969.279
-68,0,969.279
-66,0,969.279
-64,0,969.279
-62,0,969.279
-60,0,969.279
-58,0,969.279
-56,0,969.279
-54,0,969.279
-52,0,969.279
-50,0,969.279
-48,0,969.279
-46,0,969.279
-44,0,969.279
-42,0,969.279
-40,0,969.279
-38,0,969.279
-36,0,969.279
-34,0,969.279
-32,0,969.279
-30,0,969.279
-28,0,969.279
-26,0,969.279
-24,0,969.279
-22,0,969.279
-20,0,969.279
-18,0,969.279
-16,0,969.279
-14,0,969.279
-12,0,969.279
-10,0,969.279
-8,0,969.279
-6,0,969.279
-4,0,969.279
-2,0,969.279
0,0,969.279
2,0,969.279
4,0,969.279
6,0,969.279
8,0,969.279
10,0,969.279
12,0,969.279
14,0,969.279
16,0,969.279
18,0,969.279
20,0,969.279
22,0,969.279
24,0,969.279
26,0,969.279
28,0,969.279
30,0,969.279
32,0,969.279
34,0,969.279
36,0,969.279
38,0,969.279
40,0,969.279
42,0,969.279
44,0,969.279
46,0,969.279
48,0,969.279
50,0,969.279
52,0,969.279
54,0,969.279
56,0,969.279
58,0,969.279
60,0,969.279
62,0,969.279
64,0,969.279
66,0,969.279
68,0,969.279
70,0,969.279
72,0,969.279
74,0,969.279
76,0,969.279
78,0,969.279
80,0,969.279
82,0,969.279
84,0,969.279
86,0,969.279
88,0,969.279
90,0,969.279
92,0,969.279
94,0,969.279
96,0,969.279
98,0,969.279
100,0,969.279
102,0,969.279
104,0,969.279
106,0,969.279
108,0,969.279
110,0,969.279
112,0,969.279
114,0,969.279
116,0,969.279
118,0,969.279
120,0,969.279
122,0,969.279
124,0,969.279
126,0,969.279
128,0,969.279
130,0,969.279
132,0,969.279
134,0,969.279
136,0,969.279
138,0,969.279
140,0,969.279
142,0,969.279
144,0,969.279
146,0,969.279
148,0,969.279
150,0,969.279
152,0,969.279
154,0,969.279
156,0,969.279
158,0,969.279
160,0,969.279
162,0,969.279
164,0,969.279
166,0,969.279
168,0,969.279
170,0,969.279
172,0,969.279
174,0,969.279
176,0,969.279
178,0,969.279
180,0,969.279
-180,2,967.848
-178,2,967.833
-176,2,967.805
-174,2,967.762
-172,2,967.707
-170,2,967.638
-168,2,967.556
-166,2,967.461
-164,2,967.354
-162,2,967.236
-160,2,967.106
-158,2,966.966
-156,2,966.816
-154,2,966.657
-152,2,966.49
-150,2,966.315
-148,2,966.133
-146,2,965.945
-144,2,965.752
-142,2,965.555
-140,2,965.355
-138,2,965.152
-136,2,964.949
-134,2,964.745
-132,2,964.541
-130,2,964.34
-128,2,964.141
-126,2,963.945
-124,2,963.754
-122,2,963.569
-120,2,963.389
-118,2,963.217
-116,2,963.053
-114,2,962.898
-112,2,962.752
-110,2,962.616
-108,2,962.491
-106,2,962.378
-104,2,962.277
-102,2,962.188
-100,2,962.112
-98,2,962.049
-96,2,962
-94,2,961.965
-92,2,961.944
-90,2,961.937
-88,2,961.944
-86,2,961.965
-84,2,962
-82,2,962.049
-80,2,962.112
-78,2,962.187
-76,2,962.276
-74,2,962.377
-72,2,962.491
-70,2,962.615
-68,2,962.751
-66,2,962.897
-64,2,963.052
-62,2,963.216
-60,2,963.388
-58,2,963.567
-56,2,963.753
-54,2,963.944
-52,2,964.139
-50,2,964.338
-48,2,964.54
-46,2,964.743
-44,2,964.947
-42,2,965.151
-40,2,965.353
-38,2,965.553
-36,2,965.75
-34,2,965.943
-32,2,966.131
-30,2,966.313
-28,2,966.488
-26,2,966.655
-24,2,966.814
-22,2,966.964
-20,2,967.104
-18,2,967.234
-16,2,967.352
-14,2,967.459
-12,2,967.553
-10,2,967.635
-8,2,967.704
-6,2,967.76
-4,2,967.802
-2,2,967.831
0,2,967.846
2,2,967.846
4,2,967.833
6,2,967.807
8,2,967.766
10,2,967.713
12,2,967.646
14,2,967.567
16,2,967.475
18,2,967.371
20,2,967.257
22,2,967.131
24,2,966.995
26,2,966.85
28,2,966.697
30,2,966.535
32,2,966.367
34,2,966.192
36,2,966.012
38,2,965.827
40,2,965.639
42,2,965.449
44,2,965.256
46,2,965.063
48,2,964.871
50,2,964.679
52,2,964.49
