Phi[deg],Theta[deg],im(rEZ)[mV]
-180,0,-2.07797e-14
-178,0,-2.44405e-14
-176,0,-2.74749e-14
-174,0,-2.96184e-14
-172,0,-3.06079e-14
-170,0,-3.02136e-14
-168,0,-2.82734e-14
-166,0,-2.47226e-14
-164,0,-1.96177e-14
-162,0,-1.3149e-14
-160,0,-5.6398e-15
-158,0,2.46868e-15
-156,0,1.06458e-14
-154,0,1.83118e-14
-152,0,2.48864e-14
-150,0,2.98402e-14
-148,0,3.27442e-14
-146,0,3.33128e-14
-144,0,3.14339e-14
-142,0,2.71846e-14
-140,0,2.08289e-14
-138,0,1.2798e-14
-136,0,3.65494e-15
-134,0,-5.95391e-15
-132,0,-1.53546e-14
-130,0,-2.39039e-14
-128,0,-3.10444e-14
-126,0,-3.63499e-14
-124,0,-3.95579e-14
-122,0,-4.0585e-14
-120,0,-3.95253e-14
-118,0,-3.66303e-14
-116,0,-3.2275e-14
-114,0,-2.69129e-14
-112,0,-2.10252e-14
-110,0,-1.50702e-14
-108,0,-9.43756e-15
-106,0,-4.41318e-15
-104,0,-1.57845e-16
-102,0,3.29873e-15
-100,0,6.04786e-15
-98,0,8.2777e-15
-96,0,1.02383e-14
-94,0,1.21999e-14
-92,0,1.44104e-14
-90,0,1.70559e-14
-88,0,2.02305e-14
-86,0,2.39177e-14
-84,0,2.79859e-14
-82,0,3.21993e-14
-80,0,3.62416e-14
-78,0,3.97509e-14
-76,0,4.2361e-14
-74,0,4.37446e-14
-72,0,4.36535e-14
-70,0,4.19512e-14
-68,0,3.86341e-14
-66,0,3.38382e-14
-64,0,2.7832e-14
-62,0,2.09946e-14
-60,0,1.37824e-14
-58,0,6.68751e-15
-56,0,1.9231e-16
-54,0,-5.27512e-15
-52,0,-9.38e-15
-50,0,-1.19106e-14
-48,0,-1.27955e-14
-46,0,-1.21077e-14
-44,0,-1.00545e-14
-42,0,-6.95516e-15
-40,0,-3.20924e-15
-38,0,7.41546e-16
-36,0,4.45348e-15
-34,0,7.51919e-15
-32,0,9.60057e-15
-30,0,1.04534e-14
-28,0,9.94178e-15
-26,0,8.04249e-15
-24,0,4.83848e-15
-22,0,5.0442e-16
-20,0,-4.71417e-15
-18,0,-1.05252e-14
-16,0,-1.66152e-14
-14,0,-2.26717e-14
-12,0,-2.84033e-14
-10,0,-3.35529e-14
-8,0,-3.79064e-14
-6,0,-4.12955e-14
-4,0,-4.35969e-14
-2,0,-4.47282e-14
0,0,-4.46424e-14
2,0,-4.33237e-14
4,0,-4.07839e-14
6,0,-3.70615e-14
8,0,-3.22229e-14
10,0,-2.63658e-14
12,0,-1.96226e-14
14,0,-1.21639e-14
16,0,-4.19919e-15
18,0,4.02496e-15
20,0,1.22319e-14
22,0,2.01257e-14
24,0,2.74069e-14
26,0,3.37906e-14
28,0,3.90265e-14
30,0,4.29181e-14
32,0,4.53391e-14
34,0,4.62444e-14
36,0,4.56754e-14
38,0,4.37562e-14
40,0,4.06837e-14
42,0,3.6709e-14
44,0,3.21148e-14
46,0,2.71892e-14
48,0,2.21992e-14
50,0,1.73678e-14
52,0,1.28556e-14
54,0,8.75082e-15
56,0,5.06821e-15
58,0,1.75688e-15
60,0,-1.28327e-15
62,0,-4.17888e-15
64,0,-7.05673e-15
66,0,-1.00171e-14
68,0,-1.31102e-14
70,0,-1.6319e-14
72,0,-1.95508e-14
74,0,-2.26393e-14
76,0,-2.53571e-14
78,0,-2.74381e-14
80,0,-2.86072e-14
82,0,-2.86139e-14
84,0,-2.72669e-14
86,0,-2.44642e-14
88,0,-2.02161e-14
90,0,-1.46569e-14
92,0,-8.04457e-15
94,0,-7.46292e-16
96,0,6.78772e-15
98,0,1.40612e-14
100,0,2.05753e-14
102,0,2.58743e-14
104,0,2.9589e-14
106,0,3.14729e-14
108,0,3.14279e-14
110,0,2.95155e-14
112,0,2.59532e-14
114,0,2.10958e-14
116,0,1.54034e-14
118,0,9.39891e-15
120,0,3.62071e-15
122,0,-1.42673e-15
124,0,-5.31761e-15
126,0,-7.74131e-15
128,0,-8.52694e-15
130,0,-7.65376e-15
132,0,-5.24674e-15
134,0,-1.55834e-15
136,0,3.0612e-15
138,0,8.20149e-15
140,0,1.34332e-14
142,0,1.83483e-14
144,0,2.25954e-14
146,0,2.59061e-14
148,0,2.81105e-14
150,0,2.91413e-14
152,0,2.90259e-14
154,0,2.78691e-14
156,0,2.58293e-14
158,0,2.30918e-14
160,0,1.98421e-14
162,0,1.6244e-14
164,0,1.24248e-14
166,0,8.46853e-15
168,0,4.41879e-15
170,0,2.8994e-16
172,0,-3.91583e-15
174,0,-8.18804e-15
176,0,-1.24877e-14
178,0,-1.6731e-14
180,0,-2.07797e-14
-180,2,-0.00544045
-178,2,1.16678
-176,2,2.33757
-174,2,3.5055
-172,2,4.66916
-170,2,5.82713
-168,2,6.97801
-166,2,8.12038
-164,2,9.25287
-162,2,10.3741
-160,2,11.4827
-158,2,12.5773
-156,2,13.6566
-154,2,14.7193
-152,2,15.7641
-150,2,16.7896
-148,2,17.7948
-146,2,18.7782
-144,2,19.7389
-142,2,20.6754
-140,2,21.5868
-138,2,22.472
-136,2,23.3297
-134,2,24.159
-132,2,24.959
-130,2,25.7285
-128,2,26.4666
-126,2,27.1726
-124,2,27.8454
-122,2,28.4843
-120,2,29.0885
-118,2,29.6572
-116,2,30.1898
-114,2,30.6856
-112,2,31.144
-110,2,31.5645
-108,2,31.9465
-106,2,32.2895
-104,2,32.5931
-102,2,32.8571
-100,2,33.0809
-98,2,33.2645
-96,2,33.4075
-94,2,33.5097
-92,2,33.5711
-90,2,33.5916
-88,2,33.5711
-86,2,33.5097
-84,2,33.4074
-82,2,33.2644
-80,2,33.0808
-78,2,32.8569
-76,2,32.5929
-74,2,32.2892
-72,2,31.9461
-70,2,31.5641
-68,2,31.1437
-66,2,30.6852
-64,2,30.1894
-62,2,29.6568
-60,2,29.088
-58,2,28.4838
-56,2,27.8448
-54,2,27.172
-52,2,26.466
-50,2,25.7278
-48,2,24.9583
-46,2,24.1584
-44,2,23.329
-42,2,22.4712
-40,2,21.5861
-38,2,20.6747
-36,2,19.7381
-34,2,18.7774
-32,2,17.794
-30,2,16.7888
-28,2,15.7632
-26,2,14.7184
-24,2,13.6557
-22,2,12.5764
