Phi[deg],Theta[deg],re(rEZ)[mV]
-180,0,-2.22698e-14
-178,0,-1.7689e-14
-176,0,-1.35447e-14
-174,0,-1.0162e-14
-172,0,-7.77806e-15
-170,0,-6.51865e-15
-168,0,-6.38491e-15
-166,0,-7.25149e-15
-164,0,-8.87716e-15
-162,0,-1.09276e-14
-160,0,-1.30085e-14
-158,0,-1.47071e-14
-156,0,-1.56367e-14
-154,0,-1.54819e-14
-152,0,-1.40381e-14
-150,0,-1.12419e-14
-148,0,-7.18844e-15
-146,0,-2.13263e-15
-144,0,3.52562e-15
-142,0,9.27291e-15
-140,0,1.45275e-14
-138,0,1.86944e-14
-136,0,2.12261e-14
-134,0,2.16813e-14
-132,0,1.97781e-14
-130,0,1.54341e-14
-128,0,8.78911e-15
-126,0,2.0835e-16
-124,0,-9.73629e-15
-122,0,-2.03055e-14
-120,0,-3.06496e-14
-118,0,-3.98786e-14
-116,0,-4.71391e-14
-114,0,-5.1691e-14
-112,0,-5.2977e-14
-110,0,-5.0678e-14
-108,0,-4.47482e-14
-106,0,-3.54283e-14
-104,0,-2.3232e-14
-102,0,-8.90974e-15
-100,0,6.60994e-15
-98,0,2.22946e-14
-96,0,3.70921e-14
-94,0,5.00163e-14
-92,0,6.02278e-14
-90,0,6.71012e-14
-88,0,7.02737e-14
-86,0,6.96709e-14
-84,0,6.55067e-14
-82,0,5.8259e-14
-80,0,4.86237e-14
-78,0,3.74498e-14
-76,0,2.56645e-14
-74,0,1.41934e-14
-72,0,3.88346e-15
-70,0,-4.5636e-15
-68,0,-1.0643e-14
-66,0,-1.40791e-14
-64,0,-1.48357e-14
-62,0,-1.31048e-14
-60,0,-9.27684e-15
-58,0,-3.89386e-15
-56,0,2.40703e-15
-54,0,8.95533e-15
-52,0,1.51077e-14
-50,0,2.03017e-14
-48,0,2.40991e-14
-46,0,2.62138e-14
-44,0,2.6525e-14
-42,0,2.50736e-14
-40,0,2.20454e-14
-38,0,1.77419e-14
-36,0,1.25441e-14
-34,0,6.87252e-15
-32,0,1.14799e-15
-30,0,-4.24365e-15
-28,0,-8.97935e-15
-26,0,-1.28179e-14
-24,0,-1.56094e-14
-22,0,-1.7295e-14
-20,0,-1.78996e-14
-18,0,-1.75176e-14
-16,0,-1.62956e-14
-14,0,-1.44136e-14
-12,0,-1.2068e-14
-10,0,-9.45582e-15
-8,0,-6.76419e-15
-6,0,-4.16281e-15
-4,0,-1.80062e-15
-2,0,1.94861e-16
0,0,1.71638e-15
2,0,2.67553e-15
4,0,3.00197e-15
6,0,2.64442e-15
8,0,1.57345e-15
10,0,-2.13779e-16
12,0,-2.68769e-15
14,0,-5.78041e-15
16,0,-9.38108e-15
18,0,-1.33339e-14
20,0,-1.74397e-14
22,0,-2.14626e-14
24,0,-2.51406e-14
26,0,-2.82015e-14
28,0,-3.03817e-14
30,0,-3.14464e-14
32,0,-3.12106e-14
34,0,-2.95568e-14
36,0,-2.6449e-14
38,0,-2.19403e-14
40,0,-1.6173e-14
42,0,-9.37158e-15
44,0,-1.82774e-15
46,0,6.12026e-15
48,0,1.4113e-14
50,0,2.17969e-14
52,0,2.88511e-14
54,0,3.50104e-14
56,0,4.00834e-14
58,0,4.39631e-14
60,0,4.66289e-14
62,0,4.81411e-14
64,0,4.86275e-14
66,0,4.82639e-14
68,0,4.72507e-14
70,0,4.57893e-14
72,0,4.40586e-14
74,0,4.21965e-14
76,0,4.02868e-14
78,0,3.83533e-14
80,0,3.63621e-14
82,0,3.42308e-14
84,0,3.18441e-14
86,0,2.90735e-14
88,0,2.57999e-14
90,0,2.19344e-14
92,0,1.74376e-14
94,0,1.23332e-14
96,0,6.71504e-15
98,0,7.47394e-16
100,0,-5.34279e-15
102,0,-1.128e-14
104,0,-1.67595e-14
106,0,-2.14711e-14
108,0,-2.51226e-14
110,0,-2.74645e-14
112,0,-2.83098e-14
114,0,-2.75508e-14
116,0,-2.51689e-14
118,0,-2.12384e-14
120,0,-1.59237e-14
122,0,-9.47049e-15
124,0,-2.19135e-15
126,0,5.5521e-15
128,0,1.33698e-14
130,0,2.08647e-14
132,0,2.76541e-14
134,0,3.33896e-14
136,0,3.7774e-14
138,0,4.05762e-14
140,0,4.16416e-14
142,0,4.08994e-14
144,0,3.83661e-14
146,0,3.41446e-14
148,0,2.84203e-14
150,0,2.14527e-14
152,0,1.35639e-14
154,0,5.1233e-15
156,0,-3.47014e-15
158,0,-1.1809e-14
160,0,-1.94995e-14
162,0,-2.61846e-14
164,0,-3.1566e-14
166,0,-3.54242e-14
168,0,-3.76343e-14
170,0,-3.81764e-14
172,0,-3.71387e-14
174,0,-3.47135e-14
176,0,-3.1184e-14
178,0,-2.69039e-14
180,0,-2.22698e-14
-180,2,0.00365967
-178,2,6.21545
-176,2,12.4197
-174,2,18.6088
-172,2,24.7752
-170,2,30.9114
-168,2,37.01
-166,2,43.0634
-164,2,49.0644
-162,2,55.0057
-160,2,60.8798
-158,2,66.6799
-156,2,72.3986
