Phi[deg],Theta[deg],im(rEX)[mV]
-180,0,-483.011
-178,0,-483.011
-176,0,-483.011
-174,0,-483.011
-172,0,-483.011
-170,0,-483.011
-168,0,-483.011
-166,0,-483.011
-164,0,-483.011
-162,0,-483.011
-160,0,-483.011
-158,0,-483.011
-156,0,-483.011
-154,0,-483.011
-152,0,-483.011
-150,0,-483.011
-148,0,-483.011
-146,0,-483.011
-144,0,-483.011
-142,0,-483.011
-140,0,-483.011
-138,0,-483.011
-136,0,-483.011
-134,0,-483.011
-132,0,-483.011
-130,0,-483.011
-128,0,-483.011
-126,0,-483.011
-124,0,-483.011
-122,0,-483.011
-120,0,-483.011
-118,0,-483.011
-116,0,-483.011
-114,0,-483.011
-112,0,-483.011
-110,0,-483.011
-108,0,-483.011
-106,0,-483.011
-104,0,-483.011
-102,0,-483.011
-100,0,-483.011
-98,0,-483.011
-96,0,-483.011
-94,0,-483.011
-92,0,-483.011
-90,0,-483.011
-88,0,-483.011
-86,0,-483.011
-84,0,-483.011
-82,0,-483.011
-80,0,-483.011
-78,0,-483.011
-76,0,-483.011
-74,0,-483.011
-72,0,-483.011
-70,0,-483.011
-68,0,-483.011
-66,0,-483.011
-64,0,-483.011
-62,0,-483.011
-60,0,-483.011
-58,0,-483.011
-56,0,-483.011
-54,0,-483.011
-52,0,-483.011
-50,0,-483.011
-48,0,-483.011
-46,0,-483.011
-44,0,-483.011
-42,0,-483.011
-40,0,-483.011
-38,0,-483.011
-36,0,-483.011
-34,0,-483.011
-32,0,-483.011
-30,0,-483.011
-28,0,-483.011
-26,0,-483.011
-24,0,-483.011
-22,0,-483.011
-20,0,-483.011
-18,0,-483.011
-16,0,-483.011
-14,0,-483.011
-12,0,-483.011
-10,0,-483.011
-8,0,-483.011
-6,0,-483.011
-4,0,-483.011
-2,0,-483.011
0,0,-483.011
2,0,-483.011
4,0,-483.011
6,0,-483.011
8,0,-483.011
10,0,-483.011
12,0,-483.011
14,0,-483.011
16,0,-483.011
18,0,-483.011
20,0,-483.011
22,0,-483.011
24,0,-483.011
26,0,-483.011
28,0,-483.011
30,0,-483.011
32,0,-483.011
34,0,-483.011
36,0,-483.011
38,0,-483.011
40,0,-483.011
42,0,-483.011
44,0,-483.011
46,0,-483.011
48,0,-483.011
50,0,-483.011
52,0,-483.011
54,0,-483.011
56,0,-483.011
58,0,-483.011
60,0,-483.011
62,0,-483.011
64,0,-483.011
66,0,-483.011
68,0,-483.011
70,0,-483.011
72,0,-483.011
74,0,-483.011
76,0,-483.011
78,0,-483.011
80,0,-483.011
82,0,-483.011
84,0,-483.011
86,0,-483.011
88,0,-483.011
90,0,-483.011
92,0,-483.011
94,0,-483.011
96,0,-483.011
98,0,-483.011
100,0,-483.011
102,0,-483.011
104,0,-483.011
106,0,-483.011
108,0,-483.011
110,0,-483.011
112,0,-483.011
114,0,-483.011
116,0,-483.011
118,0,-483.011
120,0,-483.011
122,0,-483.011
124,0,-483.011
126,0,-483.011
128,0,-483.011
130,0,-483.011
132,0,-483.011
134,0,-483.011
136,0,-483.011
138,0,-483.011
140,0,-483.011
142,0,-483.011
144,0,-483.011
146,0,-483.011
148,0,-483.011
150,0,-483.011
152,0,-483.011
154,0,-483.011
156,0,-483.011
158,0,-483.011
160,0,-483.011
162,0,-483.011
164,0,-483.011
166,0,-483.011
168,0,-483.011
170,0,-483.011
172,0,-483.011
174,0,-483.011
176,0,-483.011
178,0,-483.011
180,0,-483.011
-180,2,-399.494
-178,2,-399.651
-176,2,-399.911
-174,2,-400.275
-172,2,-400.741
-170,2,-401.308
-168,2,-401.975
-166,2,-402.74
-164,2,-403.603
-162,2,-404.562
-160,2,-405.614
-158,2,-406.759
-156,2,-407.994
-154,2,-409.317
-152,2,-410.726
-150,2,-412.219
-148,2,-413.793
-146,2,-415.447
-144,2,-417.177
-142,2,-418.981
-140,2,-420.857
-138,2,-422.801
-136,2,-424.811
-134,2,-426.883
-132,2,-429.016
-130,2,-431.206
-128,2,-433.451
-126,2,-435.746
-124,2,-438.09
-122,2,-440.479
-120,2,-442.909
-118,2,-445.379
-116,2,-447.884
-114,2,-450.422
-112,2,-452.989
-110,2,-455.583
-108,2,-458.2
-106,2,-460.837
-104,2,-463.492
-102,2,-466.16
-100,2,-468.839
-98,2,-471.526
-96,2,-474.218
-94,2,-476.912
-92,2,-479.605
-90,2,-482.293
-88,2,-484.975
-86,2,-487.647
-84,2,-490.307
-82,2,-492.95
-80,2,-495.576
-78,2,-498.181
-76,2,-500.762
-74,2,-503.317
-72,2,-505.843
-70,2,-508.338
-68,2,-510.799
-66,2,-513.224
-64,2,-515.609
-62,2,-517.954
-60,2,-520.255
-58,2,-522.51
-56,2,-524.717
-54,2,-526.874
-52,2,-528.979
-50,2,-531.029
-48,2,-533.022
-46,2,-534.957
-44,2,-536.832
-42,2,-538.643
-40,2,-540.391
-38,2,-542.072
-36,2,-543.685
-34,2,-545.229
-32,2,-546.701
-30,2,-548.1
-28,2,-549.424
-26,2,-550.673
-24,2,-551.844
-22,2,-552.936
-20,2,-553.948
-18,2,-554.878
-16,2,-555.725
-14,2,-556.489
-12,2,-557.167
-10,2,-557.76
-8,2,-558.265
-6,2,-558.683
-4,2,-559.012
-2,2,-559.252
0,2,-559.402
2,2,-559.462
4,2,-559.43
6,2,-559.307
8,2,-559.092
10,2,-558.786
12,2,-558.388
14,2,-557.897
16,2,-557.315
18,2,-556.641
20,2,-555.876
22,2,-555.02
24,2,-554.073
26,2,-553.037
28,2,-551.912
30,2,-550.698
32,2,-549.397
34,2,-548.01
36,2,-546.538
38,2,-544.983
40,2,-543.345
42,2,-541.627
44,2,-539.83
46,2,-537.956
48,2,-536.006
50,2,-533.984
52,2,-531.89
54,2,-529.728
56,2,-527.5
58,2,-525.207
60,2,-522.854
62,2,-520.442
64,2,-517.974
66,2,-515.454
68,2,-512.884
70,2,-510.268
72,2,-507.608
74,2,-504.908
76,2,-502.172
78,2,-499.403
80,2,-496.604
82,2,-493.779
84,2,-490.932
86,2,-488.067
88,2,-485.186
90,2,-482.295
92,2,-479.397
94,2,-476.497
96,2,-473.597
98,2,-470.701
100,2,-467.815
102,2,-464.942
104,2,-462.085
106,2,-459.25
108,2,-456.439
110,2,-453.657
112,2,-450.908
114,2,-448.195
116,2,-445.522
118,2,-442.894
120,2,-440.314
122,2,-437.785
124,2,-435.311
126,2,-432.896
128,2,-430.542
130,2,-428.254
132,2,-426.035
134,2,-423.888
136,2,-421.815
138,2,-419.819
140,2,-417.904
142,2,-416.072
144,2,-414.326
146,2,-412.667
148,2,-411.099
150,2,-409.623
152,2,-408.24
154,2,-406.954
156,2,-405.766
158,2,-404.676
160,2,-403.687
162,2,-402.799
164,2,-402.014
166,2,-401.333
168,2,-400.755
170,2,-400.282
172,2,-399.914
174,2,-399.652
176,2,-399.494
178,2,-399.442
180,2,-399.494
-180,4,-309.74
-178,4,-310.267
-176,4,-311.014
-174,4,-311.978
-172,4,-313.156
-170,4,-314.544
-168,4,-316.14
-166,4,-317.939
-164,4,-319.936
-162,4,-322.129
-160,4,-324.511
-158,4,-327.077
-156,4,-329.823
-154,4,-332.744
-152,4,-335.832
-150,4,-339.083
-148,4,-342.49
-146,4,-346.047
-144,4,-349.749
-142,4,-353.588
-140,4,-357.558
-138,4,-361.652
-136,4,-365.864
-134,4,-370.187
-132,4,-374.615
-130,4,-379.14
-128,4,-383.755
-126,4,-388.455
-124,4,-393.233
-122,4,-398.08
-120,4,-402.993
-118,4,-407.962
-116,4,-412.983
-114,4,-418.048
-112,4,-423.152
-110,4,-428.288
-108,4,-433.45
-106,4,-438.632
-104,4,-443.828
-102,4,-449.033
-100,4,-454.242
-98,4,-459.447
-96,4,-464.645
-94,4,-469.83
-92,4,-474.998
-90,4,-480.142
-88,4,-485.259
-86,4,-490.343
-84,4,-495.391
-82,4,-500.398
-80,4,-505.359
-78,4,-510.271
-76,4,-515.129
-74,4,-519.93
-72,4,-524.67
-70,4,-529.345
-68,4,-533.952
-66,4,-538.486
-64,4,-542.945
-62,4,-547.326
-60,4,-551.625
-58,4,-555.838
-56,4,-559.963
-54,4,-563.997
-52,4,-567.936
-50,4,-571.778
-48,4,-575.52
-46,4,-579.158
-44,4,-582.69
-42,4,-586.112
-40,4,-589.423
-38,4,-592.619
-36,4,-595.697
-34,4,-598.655
-32,4,-601.489
-30,4,-604.198
-28,4,-606.777
-26,4,-609.225
-24,4,-611.539
-22,4,-613.716
-20,4,-615.753
-18,4,-617.648
-16,4,-619.398
-14,4,-621
-12,4,-622.452
-10,4,-623.751
-8,4,-624.895
-6,4,-625.881
-4,4,-626.708
-2,4,-627.372
0,4,-627.872
2,4,-628.205
4,4,-628.37
6,4,-628.365
8,4,-628.188
10,4,-627.837
12,4,-627.311
14,4,-626.609
16,4,-625.729
18,4,-624.671
20,4,-623.433
22,4,-622.016
24,4,-620.419
