Phi[deg],Theta[deg],im(rEY)[mV]
-180,0,484.912
-178,0,484.912
-176,0,484.912
-174,0,484.912
-172,0,484.912
-170,0,484.912
-168,0,484.912
-166,0,484.912
-164,0,484.912
-162,0,484.912
-160,0,484.912
-158,0,484.912
-156,0,484.912
-154,0,484.912
-152,0,484.912
-150,0,484.912
-148,0,484.912
-146,0,484.912
-144,0,484.912
-142,0,484.912
-140,0,484.912
-138,0,484.912
-136,0,484.912
-134,0,484.912
-132,0,484.912
-130,0,484.912
-128,0,484.912
-126,0,484.912
-124,0,484.912
-122,0,484.912
-120,0,484.912
-118,0,484.912
-116,0,484.912
-114,0,484.912
-112,0,484.912
-110,0,484.912
-108,0,484.912
-106,0,484.912
-104,0,484.912
-102,0,484.912
-100,0,484.912
-98,0,484.912
-96,0,484.912
-94,0,484.912
-92,0,484.912
-90,0,484.912
-88,0,484.912
-86,0,484.912
-84,0,484.912
-82,0,484.912
-80,0,484.912
-78,0,484.912
-76,0,484.912
-74,0,484.912
-72,0,484.912
-70,0,484.912
-68,0,484.912
-66,0,484.912
-64,0,484.912
-62,0,484.912
-60,0,484.912
-58,0,484.912
-56,0,484.912
-54,0,484.912
-52,0,484.912
-50,0,484.912
-48,0,484.912
-46,0,484.912
-44,0,484.912
-42,0,484.912
-40,0,484.912
-38,0,484.912
-36,0,484.912
-34,0,484.912
-32,0,484.912
-30,0,484.912
-28,0,484.912
-26,0,484.912
-24,0,484.912
-22,0,484.912
-20,0,484.912
-18,0,484.912
-16,0,484.912
-14,0,484.912
-12,0,484.912
-10,0,484.912
-8,0,484.912
-6,0,484.912
-4,0,484.912
-2,0,484.912
0,0,484.912
2,0,484.912
4,0,484.912
6,0,484.912
8,0,484.912
10,0,484.912
12,0,484.912
14,0,484.912
16,0,484.912
18,0,484.912
20,0,484.912
22,0,484.912
24,0,484.912
26,0,484.912
28,0,484.912
30,0,484.912
32,0,484.912
34,0,484.912
36,0,484.912
38,0,484.912
40,0,484.912
42,0,484.912
44,0,484.912
46,0,484.912
48,0,484.912
50,0,484.912
52,0,484.912
54,0,484.912
56,0,484.912
58,0,484.912
60,0,484.912
62,0,484.912
64,0,484.912
66,0,484.912
68,0,484.912
70,0,484.912
72,0,484.912
74,0,484.912
76,0,484.912
78,0,484.912
80,0,484.912
82,0,484.912
84,0,484.912
86,0,484.912
88,0,484.912
90,0,484.912
92,0,484.912
94,0,484.912
96,0,484.912
98,0,484.912
100,0,484.912
102,0,484.912
104,0,484.912
106,0,484.912
108,0,484.912
110,0,484.912
112,0,484.912
114,0,484.912
116,0,484.912
118,0,484.912
120,0,484.912
122,0,484.912
124,0,484.912
126,0,484.912
128,0,484.912
130,0,484.912
132,0,484.912
134,0,484.912
136,0,484.912
138,0,484.912
140,0,484.912
142,0,484.912
144,0,484.912
146,0,484.912
148,0,484.912
150,0,484.912
152,0,484.912
154,0,484.912
156,0,484.912
158,0,484.912
160,0,484.912
162,0,484.912
164,0,484.912
166,0,484.912
168,0,484.912
170,0,484.912
172,0,484.912
174,0,484.912
176,0,484.912
178,0,484.912
180,0,484.912
-180,2,484.196
-178,2,487.084
-176,2,489.962
-174,2,492.825
-172,2,495.67
-170,2,498.493
-168,2,501.289
-166,2,504.057
-164,2,506.791
-162,2,509.488
-160,2,512.146
-158,2,514.76
-156,2,517.328
-154,2,519.846
-152,2,522.312
-150,2,524.722
-148,2,527.073
-146,2,529.364
-144,2,531.59
-142,2,533.751
-140,2,535.843
-138,2,537.863
-136,2,539.811
-134,2,541.684
-132,2,543.479
-130,2,545.196
-128,2,546.832
-126,2,548.386
-124,2,549.857
-122,2,551.243
-120,2,552.542
-118,2,553.755
-116,2,554.879
-114,2,555.914
-112,2,556.86
-110,2,557.715
-108,2,558.48
-106,2,559.153
-104,2,559.734
-102,2,560.224
-100,2,560.622
-98,2,560.928
-96,2,561.142
-94,2,561.265
-92,2,561.296
-90,2,561.237
-88,2,561.087
-86,2,560.847
-84,2,560.518
-82,2,560.101
-80,2,559.595
-78,2,559.003
-76,2,558.325
-74,2,557.562
-72,2,556.715
-70,2,555.786
-68,2,554.775
-66,2,553.683
-64,2,552.513
-62,2,551.266
-60,2,549.942
-58,2,548.544
-56,2,547.074
-54,2,545.531
-52,2,543.919
-50,2,542.24
-48,2,540.494
-46,2,538.684
-44,2,536.811
-42,2,534.878
-40,2,532.886
-38,2,530.838
-36,2,528.736
-34,2,526.581
-32,2,524.375
-30,2,522.122
-28,2,519.823
-26,2,517.481
-24,2,515.097
-22,2,512.675
-20,2,510.217
-18,2,507.724
-16,2,505.2
-14,2,502.648
-12,2,500.069
-10,2,497.467
-8,2,494.844
-6,2,492.202
-4,2,489.545
-2,2,486.876
0,2,484.197
2,2,481.511
4,2,478.82
6,2,476.129
8,2,473.44
10,2,470.755
12,2,468.079
14,2,465.413
16,2,462.761
18,2,460.126
20,2,457.512
22,2,454.92
24,2,452.355
26,2,449.82
28,2,447.317
30,2,444.85
32,2,442.421
34,2,440.035
36,2,437.693
38,2,435.4
40,2,433.157
42,2,430.969
44,2,428.838
46,2,426.767
48,2,424.759
50,2,422.817
52,2,420.943
54,2,419.14
56,2,417.411
58,2,415.759
60,2,414.186
62,2,412.694
64,2,411.286
66,2,409.964
68,2,408.73
70,2,407.586
72,2,406.534
74,2,405.576
76,2,404.714
78,2,403.949
80,2,403.282
82,2,402.716
84,2,402.25
86,2,401.887
88,2,401.626
90,2,401.469
92,2,401.416
94,2,401.469
96,2,401.626
98,2,401.888
100,2,402.255
102,2,402.728
104,2,403.304
106,2,403.985
108,2,404.769
110,2,405.656
112,2,406.644
114,2,407.732
116,2,408.92
118,2,410.204
120,2,411.585
122,2,413.06
124,2,414.627
126,2,416.284
128,2,418.029
130,2,419.859
132,2,421.772
134,2,423.766
136,2,425.837
138,2,427.983
140,2,430.2
142,2,432.486
144,2,434.837
146,2,437.25
148,2,439.722
150,2,442.248
152,2,444.827
154,2,447.453
156,2,450.123
158,2,452.834
160,2,455.581
162,2,458.36
164,2,461.169
166,2,464.002
168,2,466.856
170,2,469.727
172,2,472.611
174,2,475.504
176,2,478.402
178,2,481.3
180,2,484.196
-180,4,482.048
-178,4,487.993
-176,4,493.903
-174,4,499.768
-172,4,505.579
-170,4,511.329
-168,4,517.01
-166,4,522.614
-164,4,528.133
-162,4,533.56
-160,4,538.889
-158,4,544.111
-156,4,549.221
-154,4,554.212
-152,4,559.079
-150,4,563.816
-148,4,568.417
-146,4,572.878
-144,4,577.194
-142,4,581.359
-140,4,585.371
-138,4,589.225
-136,4,592.918
-134,4,596.447
-132,4,599.809
-130,4,603
-128,4,606.02
-126,4,608.865
-124,4,611.535
-122,4,614.028
-120,4,616.343
-118,4,618.478
-116,4,620.434
-114,4,622.21
-112,4,623.805
-110,4,625.221
-108,4,626.457
-106,4,627.513
-104,4,628.392
-102,4,629.093
-100,4,629.618
-98,4,629.968
-96,4,630.144
-94,4,630.149
-92,4,629.983
-90,4,629.649
-88,4,629.149
-86,4,628.484
-84,4,627.658
-82,4,626.671
-80,4,625.528
-78,4,624.229
-76,4,622.778
-74,4,621.176
-72,4,619.427
-70,4,617.534
-68,4,615.498
-66,4,613.322
-64,4,611.01
-62,4,608.563
-60,4,605.986
-58,4,603.279
-56,4,600.447
-54,4,597.491
-52,4,594.416
-50,4,591.222
-48,4,587.914
-46,4,584.495
-44,4,580.966
-42,4,577.331
-40,4,573.593
-38,4,569.755
-36,4,565.819
-34,4,561.789
-32,4,557.668
-30,4,553.458
-28,4,549.164
-26,4,544.788
-24,4,540.333
-22,4,535.803
-20,4,531.201
-18,4,526.531
-16,4,521.796
-14,4,517
-12,4,512.147
-10,4,507.24
-8,4,502.284
-6,4,497.282
-4,4,492.24
-2,4,487.161
0,4,482.049
2,4,476.91
4,4,471.749
6,4,466.569
8,4,461.376
10,4,456.176
12,4,450.973
14,4,445.774
16,4,440.582
18,4,435.406
20,4,430.249
22,4,425.118
24,4,420.019
