Phi[deg],Theta[deg],re(rEZ)[mV]
-180,0,3.14534e-14
-178,0,3.26299e-14
-176,0,3.35049e-14
-174,0,3.38763e-14
-172,0,3.35574e-14
-170,0,3.24007e-14
-168,0,3.03209e-14
-166,0,2.73147e-14
-164,0,2.34739e-14
-162,0,1.89898e-14
-160,0,1.41478e-14
-158,0,9.3098e-15
-156,0,4.88689e-15
-154,0,1.30307e-15
-152,0,-1.04647e-15
-150,0,-1.83862e-15
-148,0,-8.62862e-16
-146,0,1.94576e-15
-144,0,6.48508e-15
-142,0,1.24789e-14
-140,0,1.94865e-14
-138,0,2.69291e-14
-136,0,3.41311e-14
-134,0,4.03742e-14
-132,0,4.49584e-14
-130,0,4.72661e-14
-128,0,4.68221e-14
-126,0,4.3344e-14
-124,0,3.67785e-14
-122,0,2.73187e-14
-120,0,1.54007e-14
-118,0,1.67954e-15
-116,0,-1.30156e-14
-114,0,-2.77413e-14
-112,0,-4.15123e-14
-110,0,-5.3378e-14
-108,0,-6.24989e-14
-106,0,-6.82145e-14
-104,0,-7.0098e-14
-102,0,-6.7993e-14
-100,0,-6.20284e-14
-98,0,-5.26113e-14
-96,0,-4.03976e-14
-94,0,-2.62443e-14
-92,0,-1.11452e-14
-90,0,3.8419e-15
-88,0,1.76729e-14
-86,0,2.93928e-14
-84,0,3.82032e-14
-82,0,4.3517e-14
-80,0,4.49969e-14
-78,0,4.25744e-14
-76,0,3.64497e-14
-74,0,2.70723e-14
-72,0,1.5105e-14
-70,0,1.37329e-15
-68,0,-1.3194e-14
-66,0,-2.76301e-14
-64,0,-4.09966e-14
-62,0,-5.24453e-14
-60,0,-6.1273e-14
-58,0,-6.69653e-14
-56,0,-6.9227e-14
-54,0,-6.79973e-14
-52,0,-6.34498e-14
-50,0,-5.59769e-14
-48,0,-4.61605e-14
-46,0,-3.47303e-14
-44,0,-2.25126e-14
-42,0,-1.03732e-14
-40,0,8.42799e-16
-38,0,1.03703e-14
-36,0,1.75776e-14
-34,0,2.20124e-14
-32,0,2.34349e-14
-30,0,2.18369e-14
-28,0,1.74443e-14
-26,0,1.0702e-14
-24,0,2.24318e-15
-22,0,-7.15806e-15
-20,0,-1.66451e-14
