Phi[deg],Theta[deg],im(rEX)[mV]
-180,0,483.101
-178,0,483.101
-176,0,483.101
-174,0,483.101
-172,0,483.101
-170,0,483.101
-168,0,483.101
-166,0,483.101
-164,0,483.101
-162,0,483.101
-160,0,483.101
-158,0,483.101
-156,0,483.101
-154,0,483.101
-152,0,483.101
-150,0,483.101
-148,0,483.101
-146,0,483.101
-144,0,483.101
-142,0,483.101
-140,0,483.101
-138,0,483.101
-136,0,483.101
-134,0,483.101
-132,0,483.101
-130,0,483.101
-128,0,483.101
-126,0,483.101
-124,0,483.101
-122,0,483.101
-120,0,483.101
-118,0,483.101
-116,0,483.101
-114,0,483.101
-112,0,483.101
-110,0,483.101
-108,0,483.101
-106,0,483.101
-104,0,483.101
-102,0,483.101
-100,0,483.101
-98,0,483.101
-96,0,483.101
-94,0,483.101
-92,0,483.101
-90,0,483.101
-88,0,483.101
-86,0,483.101
-84,0,483.101
-82,0,483.101
-80,0,483.101
-78,0,483.101
-76,0,483.101
-74,0,483.101
-72,0,483.101
-70,0,483.101
-68,0,483.101
-66,0,483.101
-64,0,483.101
-62,0,483.101
-60,0,483.101
-58,0,483.101
-56,0,483.101
-54,0,483.101
-52,0,483.101
-50,0,483.101
-48,0,483.101
-46,0,483.101
-44,0,483.101
-42,0,483.101
-40,0,483.101
-38,0,483.101
-36,0,483.101
-34,0,483.101
-32,0,483.101
-30,0,483.101
-28,0,483.101
-26,0,483.101
-24,0,483.101
-22,0,483.101
-20,0,483.101
-18,0,483.101
-16,0,483.101
-14,0,483.101
-12,0,483.101
-10,0,483.101
-8,0,483.101
-6,0,483.101
-4,0,483.101
-2,0,483.101
0,0,483.101
2,0,483.101
4,0,483.101
6,0,483.101
8,0,483.101
10,0,483.101
12,0,483.101
14,0,483.101
16,0,483.101
18,0,483.101
20,0,483.101
22,0,483.101
24,0,483.101
26,0,483.101
28,0,483.101
30,0,483.101
32,0,483.101
34,0,483.101
36,0,483.101
38,0,483.101
40,0,483.101
42,0,483.101
44,0,483.101
46,0,483.101
48,0,483.101
50,0,483.101
52,0,483.101
54,0,483.101
56,0,483.101
58,0,483.101
60,0,483.101
62,0,483.101
64,0,483.101
66,0,483.101
68,0,483.101
70,0,483.101
72,0,483.101
74,0,483.101
76,0,483.101
78,0,483.101
80,0,483.101
82,0,483.101
84,0,483.101
86,0,483.101
88,0,483.101
90,0,483.101
92,0,483.101
94,0,483.101
96,0,483.101
98,0,483.101
100,0,483.101
102,0,483.101
104,0,483.101
106,0,483.101
108,0,483.101
110,0,483.101
112,0,483.101
114,0,483.101
116,0,483.101
118,0,483.101
120,0,483.101
122,0,483.101
124,0,483.101
126,0,483.101
128,0,483.101
130,0,483.101
132,0,483.101
134,0,483.101
136,0,483.101
138,0,483.101
140,0,483.101
142,0,483.101
144,0,483.101
146,0,483.101
148,0,483.101
150,0,483.101
152,0,483.101
154,0,483.101
156,0,483.101
158,0,483.101
160,0,483.101
162,0,483.101
164,0,483.101
166,0,483.101
168,0,483.101
170,0,483.101
172,0,483.101
174,0,483.101
176,0,483.101
178,0,483.101
180,0,483.101
-180,2,459.08
-178,2,458.991
-176,2,458.935
-174,2,458.911
-172,2,458.92
-170,2,458.962
-168,2,459.038
-166,2,459.147
-164,2,459.29
-162,2,459.467
-160,2,459.677
-158,2,459.921
-156,2,460.198
-154,2,460.507
-152,2,460.849
-150,2,461.223
-148,2,461.629
-146,2,462.065
-144,2,462.531
-142,2,463.026
-140,2,463.55
-138,2,464.102
-136,2,464.68
-134,2,465.283
-132,2,465.911
-130,2,466.563
-128,2,467.236
-126,2,467.931
-124,2,468.645
-122,2,469.377
-120,2,470.126
-118,2,470.891
-116,2,471.67
-114,2,472.461
-112,2,473.263
-110,2,474.075
-108,2,474.895
-106,2,475.721
-104,2,476.552
-102,2,477.387
-100,2,478.224
-98,2,479.061
-96,2,479.896
-94,2,480.73
-92,2,481.559
-90,2,482.382
-88,2,483.199
-86,2,484.007
-84,2,484.806
-82,2,485.594
