Phi[deg],Theta[deg],im(rEZ)[mV]
-180,0,-2.53435e-14
-178,0,-2.33121e-14
-176,0,-2.06662e-14
-174,0,-1.77223e-14
-172,0,-1.48266e-14
-170,0,-1.23133e-14
-168,0,-1.04626e-14
-166,0,-9.46314e-15
-164,0,-9.38448e-15
-162,0,-1.01635e-14
-160,0,-1.1607e-14
-158,0,-1.34115e-14
-156,0,-1.51974e-14
-154,0,-1.65559e-14
-152,0,-1.71012e-14
-150,0,-1.65238e-14
-148,0,-1.46364e-14
-146,0,-1.14086e-14
-144,0,-6.98355e-15
-142,0,-1.67451e-15
-140,0,4.05906e-15
-138,0,9.65462e-15
-136,0,1.45045e-14
-134,0,1.80228e-14
-132,0,1.97134e-14
-130,0,1.9232e-14
-128,0,1.64344e-14
-126,0,1.14047e-14
-124,0,4.46005e-15
-122,0,-3.87003e-15
-120,0,-1.28885e-14
-118,0,-2.17952e-14
-116,0,-2.9765e-14
-114,0,-3.60313e-14
-112,0,-3.99656e-14
-110,0,-4.11456e-14
-108,0,-3.94029e-14
-106,0,-3.48453e-14
-104,0,-2.78511e-14
-102,0,-1.90348e-14
-100,0,-9.18844e-15
-98,0,7.96901e-16
-96,0,1.002e-14
-94,0,1.76602e-14
-92,0,2.30603e-14
-90,0,2.57925e-14
-88,0,2.57009e-14
-86,0,2.2915e-14
-84,0,1.78343e-14
-82,0,1.10847e-14
-80,0,3.45094e-15
-78,0,-4.20617e-15
-76,0,-1.104e-14
-74,0,-1.63061e-14
-72,0,-1.94376e-14
-70,0,-2.01019e-14
-68,0,-1.82314e-14
-66,0,-1.40255e-14
-64,0,-7.92467e-15
-62,0,-5.60132e-16
-60,0,7.31673e-15
-58,0,1.49154e-14
-56,0,2.14897e-14
-54,0,2.6415e-14
-52,0,2.925e-14
-50,0,2.97778e-14
-48,0,2.80216e-14
-46,0,2.42349e-14
-44,0,1.88668e-14
-42,0,1.25078e-14
-40,0,5.82218e-15
-38,0,-5.25183e-16
-36,0,-5.93916e-15
-34,0,-9.95475e-15
-32,0,-1.22808e-14
-30,0,-1.28232e-14
-28,0,-1.16849e-14
-26,0,-9.14541e-15
-24,0,-5.62078e-15
-22,0,-1.61076e-15
-20,0,2.36091e-15
-18,0,5.80601e-15
-16,0,8.32451e-15
-14,0,9.64466e-15
-12,0,9.64659e-15
-10,0,8.36748e-15
-8,0,5.98871e-15
-6,0,2.80721e-15
-4,0,-8.04698e-16
-2,0,-4.44571e-15
0,0,-7.73255e-15
2,0,-1.03418e-14
4,0,-1.20423e-14
6,0,-1.27139e-14
8,0,-1.23528e-14
10,0,-1.10616e-14
12,0,-9.02823e-15
14,0,-6.49563e-15
16,0,-3.7276e-15
18,0,-9.75102e-16
20,0,1.55259e-15
22,0,3.70831e-15
24,0,5.41677e-15
26,0,6.67298e-15
28,0,7.53032e-15
30,0,8.08043e-15
32,0,8.4285e-15
34,0,8.6678e-15
36,0,8.8575e-15
38,0,9.00732e-15
40,0,9.07132e-15
42,0,8.95215e-15
44,0,8.51522e-15
46,0,7.61094e-15
48,0,6.102e-15
50,0,3.89176e-15
52,0,9.49509e-16
54,0,-2.67135e-15
56,0,-6.82526e-15
58,0,-1.12786e-14
60,0,-1.57262e-14
62,0,-1.98188e-14
64,0,-2.3199e-14
66,0,-2.55412e-14
68,0,-2.65917e-14
70,0,-2.62021e-14
72,0,-2.43541e-14
74,0,-2.11701e-14
76,0,-1.69086e-14
78,0,-1.19448e-14
80,0,-6.73582e-15
82,0,-1.77705e-15
84,0,2.44859e-15
86,0,5.52127e-15
88,0,7.12976e-15
90,0,7.10651e-15
92,0,5.44822e-15
94,0,2.31932e-15
96,0,-1.96209e-15
98,0,-6.95477e-15
100,0,-1.21378e-14
102,0,-1.69629e-14
104,0,-2.09087e-14
106,0,-2.35335e-14
108,0,-2.45174e-14
110,0,-2.36933e-14
112,0,-2.10602e-14
114,0,-1.67796e-14
116,0,-1.11557e-14
118,0,-4.60108e-15
120,0,2.40744e-15
122,0,9.37723e-15
124,0,1.58479e-14
126,0,2.14329e-14
128,0,2.58512e-14
130,0,2.89446e-14
132,0,3.06809e-14
134,0,3.11427e-14
136,0,3.05039e-14
138,0,2.89974e-14
140,0,2.68798e-14
142,0,2.43953e-14
144,0,2.17465e-14
146,0,1.90728e-14
148,0,1.64412e-14
150,0,1.3848e-14
152,0,1.12329e-14
154,0,8.50072e-15
