Phi[deg],Theta[deg],re(rEY)[mV]
-180,0,2550.39
-178,0,2550.39
-176,0,2550.39
-174,0,2550.39
-172,0,2550.39
-170,0,2550.39
-168,0,2550.39
-166,0,2550.39
-164,0,2550.39
-162,0,2550.39
-160,0,2550.39
-158,0,2550.39
-156,0,2550.39
-154,0,2550.39
-152,0,2550.39
-150,0,2550.39
-148,0,2550.39
-146,0,2550.39
-144,0,2550.39
-142,0,2550.39
-140,0,2550.39
-138,0,2550.39
-136,0,2550.39
-134,0,2550.39
-132,0,2550.39
-130,0,2550.39
-128,0,2550.39
-126,0,2550.39
-124,0,2550.39
-122,0,2550.39
-120,0,2550.39
-118,0,2550.39
-116,0,2550.39
-114,0,2550.39
-112,0,2550.39
-110,0,2550.39
-108,0,2550.39
-106,0,2550.39
-104,0,2550.39
-102,0,2550.39
-100,0,2550.39
-98,0,2550.39
-96,0,2550.39
-94,0,2550.39
-92,0,2550.39
-90,0,2550.39
-88,0,2550.39
-86,0,2550.39
-84,0,2550.39
-82,0,2550.39
-80,0,2550.39
-78,0,2550.39
-76,0,2550.39
-74,0,2550.39
-72,0,2550.39
-70,0,2550.39
-68,0,2550.39
-66,0,2550.39
-64,0,2550.39
-62,0,2550.39
-60,0,2550.39
-58,0,2550.39
-56,0,2550.39
-54,0,2550.39
-52,0,2550.39
-50,0,2550.39
-48,0,2550.39
-46,0,2550.39
-44,0,2550.39
-42,0,2550.39
-40,0,2550.39
-38,0,2550.39
-36,0,2550.39
-34,0,2550.39
-32,0,2550.39
-30,0,2550.39
-28,0,2550.39
-26,0,2550.39
-24,0,2550.39
-22,0,2550.39
-20,0,2550.39
-18,0,2550.39
-16,0,2550.39
-14,0,2550.39
-12,0,2550.39
-10,0,2550.39
-8,0,2550.39
-6,0,2550.39
-4,0,2550.39
-2,0,2550.39
0,0,2550.39
2,0,2550.39
4,0,2550.39
6,0,2550.39
8,0,2550.39
10,0,2550.39
12,0,2550.39
14,0,2550.39
16,0,2550.39
18,0,2550.39
20,0,2550.39
22,0,2550.39
24,0,2550.39
26,0,2550.39
28,0,2550.39
30,0,2550.39
32,0,2550.39
34,0,2550.39
36,0,2550.39
38,0,2550.39
40,0,2550.39
42,0,2550.39
44,0,2550.39
46,0,2550.39
48,0,2550.39
50,0,2550.39
52,0,2550.39
54,0,2550.39
56,0,2550.39
58,0,2550.39
60,0,2550.39
62,0,2550.39
64,0,2550.39
66,0,2550.39
68,0,2550.39
70,0,2550.39
72,0,2550.39
74,0,2550.39
76,0,2550.39
78,0,2550.39
80,0,2550.39
82,0,2550.39
84,0,2550.39
86,0,2550.39
88,0,2550.39
90,0,2550.39
92,0,2550.39
94,0,2550.39
96,0,2550.39
98,0,2550.39
100,0,2550.39
102,0,2550.39
104,0,2550.39
106,0,2550.39
108,0,2550.39
110,0,2550.39
112,0,2550.39
114,0,2550.39
116,0,2550.39
118,0,2550.39
120,0,2550.39
122,0,2550.39
124,0,2550.39
126,0,2550.39
128,0,2550.39
130,0,2550.39
132,0,2550.39
134,0,2550.39
136,0,2550.39
138,0,2550.39
140,0,2550.39
142,0,2550.39
144,0,2550.39
146,0,2550.39
148,0,2550.39
150,0,2550.39
152,0,2550.39
154,0,2550.39
156,0,2550.39
158,0,2550.39
160,0,2550.39
162,0,2550.39
164,0,2550.39
166,0,2550.39
168,0,2550.39
170,0,2550.39
172,0,2550.39
174,0,2550.39
176,0,2550.39
178,0,2550.39
180,0,2550.39
-180,2,2549.53
-178,2,2549.2
-176,2,2548.86
-174,2,2548.51
-172,2,2548.16
-170,2,2547.8
-168,2,2547.44
-166,2,2547.08
-164,2,2546.71
-162,2,2546.35
-160,2,2545.98
-158,2,2545.61
-156,2,2545.25
-154,2,2544.89
-152,2,2544.54
-150,2,2544.19
-148,2,2543.84
-146,2,2543.51
-144,2,2543.18
-142,2,2542.86
-140,2,2542.56
-138,2,2542.26
-136,2,2541.98
-134,2,2541.71
-132,2,2541.46
-130,2,2541.22
-128,2,2540.99
-126,2,2540.79
-124,2,2540.59
-122,2,2540.42
-120,2,2540.26
-118,2,2540.13
-116,2,2540.01
-114,2,2539.9
-112,2,2539.82
-110,2,2539.76
-108,2,2539.71
-106,2,2539.68
-104,2,2539.68
-102,2,2539.69
-100,2,2539.72
-98,2,2539.77
-96,2,2539.83
-94,2,2539.91
-92,2,2540.01
-90,2,2540.13
-88,2,2540.26
-86,2,2540.41
-84,2,2540.57
-82,2,2540.74
-80,2,2540.93
-78,2,2541.13
-76,2,2541.35
-74,2,2541.57
-72,2,2541.8
-70,2,2542.04
-68,2,2542.29
-66,2,2542.54
-64,2,2542.81
-62,2,2543.07
-60,2,2543.34
-58,2,2543.61
-56,2,2543.89
-54,2,2544.17
-52,2,2544.44
-50,2,2544.72
-48,2,2544.99
-46,2,2545.26
-44,2,2545.53
-42,2,2545.8
-40,2,2546.06
-38,2,2546.31
-36,2,2546.56
-34,2,2546.8
-32,2,2547.04
-30,2,2547.26
-28,2,2547.48
-26,2,2547.69
-24,2,2547.89
-22,2,2548.08
-20,2,2548.26
-18,2,2548.43
-16,2,2548.59
-14,2,2548.75
-12,2,2548.89
-10,2,2549.02
-8,2,2549.14
-6,2,2549.25
-4,2,2549.35
-2,2,2549.44
0,2,2549.53
