Phi[deg],Theta[deg],re(rEZ)[mV]
-180,0,1.27614e-14
-178,0,9.46366e-15
-176,0,5.6326e-15
-174,0,1.71692e-15
-172,0,-1.78076e-15
-170,0,-4.3584e-15
-168,0,-5.57276e-15
-166,0,-5.09472e-15
-164,0,-2.75514e-15
-162,0,1.42443e-15
-160,0,7.22041e-15
-158,0,1.42174e-14
-156,0,2.18398e-14
-154,0,2.9402e-14
-152,0,3.61726e-14
-150,0,4.14467e-14
-148,0,4.46169e-14
-146,0,4.52384e-14
-144,0,4.30784e-14
-142,0,3.81453e-14
-140,0,3.06953e-14
-138,0,2.1213e-14
-136,0,1.03699e-14
-134,0,-1.03671e-15
-132,0,-1.21573e-14
-130,0,-2.21693e-14
-128,0,-3.03536e-14
-126,0,-3.61603e-14
-124,0,-3.92575e-14
-122,0,-3.95575e-14
-120,0,-3.7219e-14
-118,0,-3.26247e-14
-116,0,-2.63363e-14
-114,0,-1.90343e-14
-112,0,-1.14459e-14
-110,0,-4.27145e-15
-108,0,1.88419e-15
-106,0,6.56797e-15
-104,0,9.51723e-15
-102,0,1.06768e-14
-100,0,1.01934e-14
-98,0,8.3891e-15
-96,0,5.71676e-15
-94,0,2.70308e-15
-92,0,-1.13925e-16
-90,0,-2.2465e-15
-88,0,-3.31081e-15
-86,0,-3.06724e-15
-84,0,-1.44344e-15
-82,0,1.46194e-15
-80,0,5.39439e-15
-78,0,9.97524e-15
-76,0,1.4746e-14
-74,0,1.92197e-14
-72,0,2.29337e-14
-70,0,2.54981e-14
-68,0,2.66341e-14
-66,0,2.61997e-14
-64,0,2.41997e-14
-62,0,2.07794e-14
-60,0,1.6205e-14
-58,0,1.08317e-14
-56,0,5.06522e-15
-54,0,-6.80005e-16
-52,0,-6.01986e-15
-50,0,-1.0634e-14
-48,0,-1.42896e-14
-46,0,-1.68543e-14
-44,0,-1.82973e-14
-42,0,-1.86799e-14
-40,0,-1.81373e-14
-38,0,-1.68556e-14
-36,0,-1.50458e-14
-34,0,-1.29194e-14
-32,0,-1.0668e-14
-30,0,-8.44922e-15
-28,0,-6.37927e-15
-26,0,-4.53278e-15
-24,0,-2.94864e-15
-22,0,-1.63978e-15
-20,0,-6.04798e-16
-18,0,1.61107e-16
-16,0,6.57979e-16
-14,0,8.77223e-16
-12,0,8.02699e-16
-10,0,4.16539e-16
-8,0,-2.91467e-16
-6,0,-1.31275e-15
-4,0,-2.60937e-15
-2,0,-4.10638e-15
0,0,-5.68905e-15
2,0,-7.20649e-15
4,0,-8.48206e-15
6,0,-9.33015e-15
8,0,-9.57759e-15
10,0,-9.08746e-15
12,0,-7.78197e-15
14,0,-5.6615e-15
16,0,-2.81649e-15
18,0,5.70049e-16
20,0,4.23074e-15
22,0,7.83296e-15
24,0,1.10075e-14
26,0,1.33841e-14
28,0,1.46308e-14
30,0,1.44918e-14
32,0,1.28206e-14
34,0,9.60316e-15
36,0,4.96878e-15
38,0,-8.13823e-16
40,0,-7.35538e-15
42,0,-1.41786e-14
44,0,-2.07613e-14
46,0,-2.65862e-14
48,0,-3.11916e-14
50,0,-3.4218e-14
