Phi[deg],Theta[deg],re(rEX)[mV],im(rEX)[mV],re(rEY)[mV],im(rEY)[mV],re(rEZ)[mV],im(rEZ)[mV]
-180,0,-3013.64,-798.684,3019.1,799.541,2.76013e-14,3.8027e-13
-178,0,-3013.64,-798.684,3019.1,799.541,2.0699e-14,3.77309e-13
-176,0,-3013.64,-798.684,3019.1,799.541,1.25697e-14,3.75899e-13
-174,0,-3013.64,-798.684,3019.1,799.541,3.2678e-15,3.76752e-13
-172,0,-3013.64,-798.684,3019.1,799.541,-7.18875e-15,3.80523e-13
-170,0,-3013.64,-798.684,3019.1,799.541,-1.8583e-14,3.87635e-13
-168,0,-3013.64,-798.684,3019.1,799.541,-3.0299e-14,3.9813e-13
-166,0,-3013.64,-798.684,3019.1,799.541,-4.12307e-14,4.11582e-13
-164,0,-3013.64,-798.684,3019.1,799.541,-4.98427e-14,4.27097e-13
-162,0,-3013.64,-798.684,3019.1,799.541,-5.43849e-14,4.43423e-13
-160,0,-3013.64,-798.684,3019.1,799.541,-5.32217e-14,4.59124e-13
-158,0,-3013.64,-798.684,3019.1,799.541,-4.52021e-14,4.728e-13
-156,0,-3013.64,-798.684,3019.1,799.541,-2.99851e-14,4.833e-13
-154,0,-3013.64,-798.684,3019.1,799.541,-8.23909e-15,4.89874e-13
-152,0,-3013.64,-798.684,3019.1,799.541,1.83394e-14,4.92262e-13
-150,0,-3013.64,-798.684,3019.1,799.541,4.72031e-14,4.90693e-13
-148,0,-3013.64,-798.684,3019.1,799.541,7.53034e-14,4.85822e-13
-146,0,-3013.64,-798.684,3019.1,799.541,9.95507e-14,4.78631e-13
-144,0,-3013.64,-798.684,3019.1,799.541,1.17304e-13,4.70322e-13
-142,0,-3013.64,-798.684,3019.1,799.541,1.268e-13,4.62222e-13
-140,0,-3013.64,-798.684,3019.1,799.541,1.2745e-13,4.55703e-13
-138,0,-3013.64,-798.684,3019.1,799.541,1.19948e-13,4.5211e-13
-136,0,-3013.64,-798.684,3019.1,799.541,1.06177e-13,4.52666e-13
-134,0,-3013.64,-798.684,3019.1,799.541,8.89253e-14,4.5834e-13
-132,0,-3013.64,-798.684,3019.1,799.541,7.14567e-14,4.69676e-13
-130,0,-3013.64,-798.684,3019.1,799.541,5.69963e-14,4.86598e-13
-128,0,-3013.64,-798.684,3019.1,799.541,4.82126e-14,5.08233e-13
-126,0,-3013.64,-798.684,3019.1,799.541,4.67676e-14,5.32824e-13
-124,0,-3013.64,-798.684,3019.1,799.541,5.30074e-14,5.57778e-13
-122,0,-3013.64,-798.684,3019.1,799.541,6.58451e-14,5.79906e-13
-120,0,-3013.64,-798.684,3019.1,799.541,8.28664e-14,5.9584e-13
-118,0,-3013.64,-798.684,3019.1,799.541,1.00658e-13,6.02597e-13
-116,0,-3013.64,-798.684,3019.1,799.541,1.15328e-13,5.98184e-13
-114,0,-3013.64,-798.684,3019.1,799.541,1.23148e-13,5.82123e-13
-112,0,-3013.64,-798.684,3019.1,799.541,1.21225e-13,5.55759e-13
-110,0,-3013.64,-798.684,3019.1,799.541,1.08089e-13,5.2226e-13
-108,0,-3013.64,-798.684,3019.1,799.541,8.40817e-14,4.86249e-13
-106,0,-3013.64,-798.684,3019.1,799.541,5.14573e-14,4.5311e-13
-104,0,-3013.64,-798.684,3019.1,799.541,1.41394e-14,4.28074e-13
-102,0,-3013.64,-798.684,3019.1,799.541,-2.28487e-14,4.15253e-13
-100,0,-3013.64,-798.684,3019.1,799.541,-5.42111e-14,4.16826e-13
-98,0,-3013.64,-798.684,3019.1,799.541,-7.53251e-14,4.32545e-13
-96,0,-3013.64,-798.684,3019.1,799.541,-8.3134e-14,4.59706e-13
-94,0,-3013.64,-798.684,3019.1,799.541,-7.6805e-14,4.93586e-13
-92,0,-3013.64,-798.684,3019.1,799.541,-5.80036e-14,5.28299e-13
