Phi[deg],Theta[deg],re(rEX)[mV],im(rEX)[mV],re(rEY)[mV],im(rEY)[mV],re(rEZ)[mV],im(rEZ)[mV]
-180,0,3.47556,-1.39011,0.146245,-10.614,-1.53057e-12,-7.27316e-13
-178,0,3.47556,-1.39011,0.146245,-10.614,-1.56682e-12,-7.5698e-13
-176,0,3.47556,-1.39011,0.146245,-10.614,-1.59356e-12,-7.81156e-13
-174,0,3.47556,-1.39011,0.146245,-10.614,-1.60177e-12,-8.02635e-13
-172,0,3.47556,-1.39011,0.146245,-10.614,-1.58443e-12,-8.25962e-13
-170,0,3.47556,-1.39011,0.146245,-10.614,-1.53944e-12,-8.55432e-13
-168,0,3.47556,-1.39011,0.146245,-10.614,-1.47127e-12,-8.93107e-13
-166,0,3.47556,-1.39011,0.146245,-10.614,-1.39082e-12,-9.37457e-13
-164,0,3.47556,-1.39011,0.146245,-10.614,-1.31318e-12,-9.83029e-13
-162,0,3.47556,-1.39011,0.146245,-10.614,-1.25388e-12,-1.02131e-12
-160,0,3.47556,-1.39011,0.146245,-10.614,-1.22484e-12,-1.0426e-12
-158,0,3.47556,-1.39011,0.146245,-10.614,-1.23094e-12,-1.03847e-12
-156,0,3.47556,-1.39011,0.146245,-10.614,-1.26857e-12,-1.00417e-12
-154,0,3.47556,-1.39011,0.146245,-10.614,-1.32651e-12,-9.40475e-13
-152,0,3.47556,-1.39011,0.146245,-10.614,-1.38893e-12,-8.54364e-13
-150,0,3.47556,-1.39011,0.146245,-10.614,-1.43972e-12,-7.58408e-13
-148,0,3.47556,-1.39011,0.146245,-10.614,-1.46687e-12,-6.68852e-13
-146,0,3.47556,-1.39011,0.146245,-10.614,-1.46555e-12,-6.0276e-13
-144,0,3.47556,-1.39011,0.146245,-10.614,-1.43911e-12,-5.74761e-13
-142,0,3.47556,-1.39011,0.146245,-10.614,-1.39774e-12,-5.94039e-13
-140,0,3.47556,-1.39011,0.146245,-10.614,-1.35511e-12,-6.62193e-13
-138,0,3.47556,-1.39011,0.146245,-10.614,-1.32421e-12,-7.72406e-13
-136,0,3.47556,-1.39011,0.146245,-10.614,-1.31348e-12,-9.10169e-13
-134,0,3.47556,-1.39011,0.146245,-10.614,-1.32439e-12,-1.05547e-12
-132,0,3.47556,-1.39011,0.146245,-10.614,-1.35125e-12,-1.18609e-12
-130,0,3.47556,-1.39011,0.146245,-10.614,-1.38301e-12,-1.28147e-12
-128,0,3.47556,-1.39011,0.146245,-10.614,-1.40666e-12,-1.32639e-12
-126,0,3.47556,-1.39011,0.146245,-10.614,-1.41112e-12,-1.31383e-12
-124,0,3.47556,-1.39011,0.146245,-10.614,-1.39047e-12,-1.24639e-12
-122,0,3.47556,-1.39011,0.146245,-10.614,-1.34564e-12,-1.13601e-12
-120,0,3.47556,-1.39011,0.146245,-10.614,-1.28416e-12,-1.00187e-12
-118,0,3.47556,-1.39011,0.146245,-10.614,-1.21805e-12,-8.66991e-13
-116,0,3.47556,-1.39011,0.146245,-10.614,-1.16055e-12,-7.53946e-13
-114,0,3.47556,-1.39011,0.146245,-10.614,-1.12256e-12,-6.80655e-13
-112,0,3.47556,-1.39011,0.146245,-10.614,-1.10984e-12,-6.57024e-13
-110,0,3.47556,-1.39011,0.146245,-10.614,-1.12163e-12,-6.83163e-13
-108,0,3.47556,-1.39011,0.146245,-10.614,-1.1511e-12,-7.49584e-13
-106,0,3.47556,-1.39011,0.146245,-10.614,-1.18739e-12,-8.39381e-13
-104,0,3.47556,-1.39011,0.146245,-10.614,-1.21879e-12,-9.31965e-13
-102,0,3.47556,-1.39011,0.146245,-10.614,-1.23616e-12,-1.00757e-12
-100,0,3.47556,-1.39011,0.146245,-10.614,-1.2357e-12,-1.05152e-12
-98,0,3.47556,-1.39011,0.146245,-10.614,-1.22036e-12,-1.0573e-12
-96,0,3.47556,-1.39011,0.146245,-10.614,-1.19951e-12,-1.02771e-12
-94,0,3.47556,-1.39011,0.146245,-10.614,-1.1868e-12,-9.73764e-13
-92,0,3.47556,-1.39011,0.146245,-10.614,-1.19673e-12,-9.1163e-13
-90,0,3.47556,-1.39011,0.146245,-10.614,-1.24061e-12,-8.58338e-13
-88,0,3.47556,-1.39011,0.146245,-10.614,-1.32306e-12,-8.27269e-13
-86,0,3.47556,-1.39011,0.146245,-10.614,-1.4397e-12,-8.2463e-13
-84,0,3.47556,-1.39011,0.146245,-10.614,-1.57692e-12,-8.47805e-13
-82,0,3.47556,-1.39011,0.146245,-10.614,-1.71391e-12,-8.86065e-13
-80,0,3.47556,-1.39011,0.146245,-10.614,-1.82669e-12,-9.23481e-13
-78,0,3.47556,-1.39011,0.146245,-10.614,-1.8932e-12,-9.43327e-13
-76,0,3.47556,-1.39011,0.146245,-10.614,-1.89857e-12,-9.32827e-13
-74,0,3.47556,-1.39011,0.146245,-10.614,-1.83904e-12,-8.86963e-13
-72,0,3.47556,-1.39011,0.146245,-10.614,-1.72361e-12,-8.10319e-13
-70,0,3.47556,-1.39011,0.146245,-10.614,-1.57281e-12,-7.1638e-13
-68,0,3.47556,-1.39011,0.146245,-10.614,-1.41475e-12,-6.24414e-13
-66,0,3.47556,-1.39011,0.146245,-10.614,-1.27916e-12,-5.54705e-13
-64,0,3.47556,-1.39011,0.146245,-10.614,-1.1909e-12,-5.23345e-13
-62,0,3.47556,-1.39011,0.146245,-10.614,-1.16442e-12,-5.37969e-13
-60,0,3.47556,-1.39011,0.146245,-10.614,-1.2006e-12,-5.95556e-13
-58,0,3.47556,-1.39011,0.146245,-10.614,-1.2867e-12,-6.82906e-13
-56,0,3.47556,-1.39011,0.146245,-10.614,-1.39961e-12,-7.79697e-13
-54,0,3.47556,-1.39011,0.146245,-10.614,-1.51147e-12,-8.63345e-13
-52,0,3.47556,-1.39011,0.146245,-10.614,-1.59628e-12,-9.14428e-13
-50,0,3.47556,-1.39011,0.146245,-10.614,-1.63589e-12,-9.21299e-13
-48,0,3.47556,-1.39011,0.146245,-10.614,-1.62382e-12,-8.82729e-13
