Phi[deg],Theta[deg],re(rEX)[mV],im(rEX)[mV],re(rEY)[mV],im(rEY)[mV],re(rEZ)[mV],im(rEZ)[mV]
-180,0,-2247.34,-5728.1,-2247.07,-5727.9,1.76975e-12,6.15911e-13
-178,0,-2247.34,-5728.1,-2247.07,-5727.9,1.80235e-12,6.14403e-13
-176,0,-2247.34,-5728.1,-2247.07,-5727.9,1.86797e-12,5.96309e-13
-174,0,-2247.34,-5728.1,-2247.07,-5727.9,1.95569e-12,5.76997e-13
-172,0,-2247.34,-5728.1,-2247.07,-5727.9,2.04741e-12,5.75966e-13
-170,0,-2247.34,-5728.1,-2247.07,-5727.9,2.12158e-12,6.09767e-13
-168,0,-2247.34,-5728.1,-2247.07,-5727.9,2.15854e-12,6.85385e-13
-166,0,-2247.34,-5728.1,-2247.07,-5727.9,2.1458e-12,7.96539e-13
-164,0,-2247.34,-5728.1,-2247.07,-5727.9,2.08226e-12,9.24418e-13
-162,0,-2247.34,-5728.1,-2247.07,-5727.9,1.97947e-12,1.0429e-12
-160,0,-2247.34,-5728.1,-2247.07,-5727.9,1.85949e-12,1.12664e-12
-158,0,-2247.34,-5728.1,-2247.07,-5727.9,1.74941e-12,1.15942e-12
-156,0,-2247.34,-5728.1,-2247.07,-5727.9,1.67392e-12,1.13968e-12
-154,0,-2247.34,-5728.1,-2247.07,-5727.9,1.64835e-12,1.08146e-12
-152,0,-2247.34,-5728.1,-2247.07,-5727.9,1.67416e-12,1.00996e-12
-150,0,-2247.34,-5728.1,-2247.07,-5727.9,1.73874e-12,9.53478e-13
-148,0,-2247.34,-5728.1,-2247.07,-5727.9,1.81956e-12,9.34067e-13
-146,0,-2247.34,-5728.1,-2247.07,-5727.9,1.89139e-12,9.60462e-13
-144,0,-2247.34,-5728.1,-2247.07,-5727.9,1.93414e-12,1.02553e-12
-142,0,-2247.34,-5728.1,-2247.07,-5727.9,1.93868e-12,1.1092e-12
-140,0,-2247.34,-5728.1,-2247.07,-5727.9,1.90857e-12,1.18582e-12
-138,0,-2247.34,-5728.1,-2247.07,-5727.9,1.85742e-12,1.2332e-12
-136,0,-2247.34,-5728.1,-2247.07,-5727.9,1.80285e-12,1.24025e-12
-134,0,-2247.34,-5728.1,-2247.07,-5727.9,1.75963e-12,1.21035e-12
-132,0,-2247.34,-5728.1,-2247.07,-5727.9,1.73447e-12,1.15943e-12
-130,0,-2247.34,-5728.1,-2247.07,-5727.9,1.72448e-12,1.10959e-12
-128,0,-2247.34,-5728.1,-2247.07,-5727.9,1.71956e-12,1.08072e-12
-126,0,-2247.34,-5728.1,-2247.07,-5727.9,1.70772e-12,1.08319e-12
-124,0,-2247.34,-5728.1,-2247.07,-5727.9,1.68096e-12,1.1144e-12
-122,0,-2247.34,-5728.1,-2247.07,-5727.9,1.63937e-12,1.16036e-12
-120,0,-2247.34,-5728.1,-2247.07,-5727.9,1.59177e-12,1.20152e-12
-118,0,-2247.34,-5728.1,-2247.07,-5727.9,1.55271e-12,1.22049e-12
-116,0,-2247.34,-5728.1,-2247.07,-5727.9,1.53699e-12,1.20888e-12
-114,0,-2247.34,-5728.1,-2247.07,-5727.9,1.55385e-12,1.17046e-12
-112,0,-2247.34,-5728.1,-2247.07,-5727.9,1.60301e-12,1.11967e-12
-110,0,-2247.34,-5728.1,-2247.07,-5727.9,1.6739e-12,1.07618e-12
-108,0,-2247.34,-5728.1,-2247.07,-5727.9,1.74842e-12,1.05759e-12
-106,0,-2247.34,-5728.1,-2247.07,-5727.9,1.80607e-12,1.07311e-12
-104,0,-2247.34,-5728.1,-2247.07,-5727.9,1.82982e-12,1.12053e-12
-102,0,-2247.34,-5728.1,-2247.07,-5727.9,1.81076e-12,1.18732e-12
-100,0,-2247.34,-5728.1,-2247.07,-5727.9,1.7503e-12,1.25541e-12
-98,0,-2247.34,-5728.1,-2247.07,-5727.9,1.65956e-12,1.3075e-12
-96,0,-2247.34,-5728.1,-2247.07,-5727.9,1.55637e-12,1.33249e-12
-94,0,-2247.34,-5728.1,-2247.07,-5727.9,1.46097e-12,1.32827e-12
-92,0,-2247.34,-5728.1,-2247.07,-5727.9,1.39147e-12,1.30097e-12
-90,0,-2247.34,-5728.1,-2247.07,-5727.9,1.36025e-12,1.26151e-12
-88,0,-2247.34,-5728.1,-2247.07,-5727.9,1.37169e-12,1.22104e-12
-86,0,-2247.34,-5728.1,-2247.07,-5727.9,1.42169e-12,1.18731e-12
-84,0,-2247.34,-5728.1,-2247.07,-5727.9,1.49876e-12,1.16321e-12
-82,0,-2247.34,-5728.1,-2247.07,-5727.9,1.58672e-12,1.14775e-12
-80,0,-2247.34,-5728.1,-2247.07,-5727.9,1.66833e-12,1.13853e-12
-78,0,-2247.34,-5728.1,-2247.07,-5727.9,1.72933e-12,1.13421e-12
-76,0,-2247.34,-5728.1,-2247.07,-5727.9,1.76195e-12,1.13566e-12
-74,0,-2247.34,-5728.1,-2247.07,-5727.9,1.76695e-12,1.14505e-12
-72,0,-2247.34,-5728.1,-2247.07,-5727.9,1.75331e-12,1.16346e-12
-70,0,-2247.34,-5728.1,-2247.07,-5727.9,1.73547e-12,1.18836e-12
-68,0,-2247.34,-5728.1,-2247.07,-5727.9,1.72861e-12,1.21242e-12
-66,0,-2247.34,-5728.1,-2247.07,-5727.9,1.74347e-12,1.22474e-12
-64,0,-2247.34,-5728.1,-2247.07,-5727.9,1.78218e-12,1.21443e-12
-62,0,-2247.34,-5728.1,-2247.07,-5727.9,1.83698e-12,1.17528e-12
-60,0,-2247.34,-5728.1,-2247.07,-5727.9,1.89239e-12,1.10948e-12
-58,0,-2247.34,-5728.1,-2247.07,-5727.9,1.93035e-12,1.02874e-12
-56,0,-2247.34,-5728.1,-2247.07,-5727.9,1.93668e-12,9.51594e-13
-54,0,-2247.34,-5728.1,-2247.07,-5727.9,1.90663e-12,8.97708e-13
-52,0,-2247.34,-5728.1,-2247.07,-5727.9,1.84729e-12,8.80755e-13
-50,0,-2247.34,-5728.1,-2247.07,-5727.9,1.77585e-12,9.02673e-13
-48,0,-2247.34,-5728.1,-2247.07,-5727.9,1.71413e-12,9.51534e-13
-46,0,-2247.34,-5728.1,-2247.07,-5727.9,1.6813e-12,1.00422e-12
-44,0,-2247.34,-5728.1,-2247.07,-5727.9,1.68731e-12,1.03331e-12
