Phi[deg],Theta[deg],re(rEX)[mV],im(rEX)[mV],re(rEY)[mV],im(rEY)[mV],re(rEZ)[mV],im(rEZ)[mV]
-180,0,-0.00177169,-0.013801,238.381,-25.3259,-2.38728e-15,-1.25492e-15
-178,0,-0.00177169,-0.013801,238.381,-25.3259,-2.04533e-15,-1.50415e-15
-176,0,-0.00177169,-0.013801,238.381,-25.3259,-1.6583e-15,-1.65848e-15
-174,0,-0.00177169,-0.013801,238.381,-25.3259,-1.3146e-15,-1.69867e-15
-172,0,-0.00177169,-0.013801,238.381,-25.3259,-1.09167e-15,-1.62912e-15
-170,0,-0.00177169,-0.013801,238.381,-25.3259,-1.04433e-15,-1.4747e-15
-168,0,-0.00177169,-0.013801,238.381,-25.3259,-1.19727e-15,-1.27421e-15
-166,0,-0.00177169,-0.013801,238.381,-25.3259,-1.5426e-15,-1.07197e-15
-164,0,-0.00177169,-0.013801,238.381,-25.3259,-2.04273e-15,-9.09301e-16
-162,0,-0.00177169,-0.013801,238.381,-25.3259,-2.63775e-15,-8.17628e-16
-160,0,-0.00177169,-0.013801,238.381,-25.3259,-3.2559e-15,-8.1423e-16
-158,0,-0.00177169,-0.013801,238.381,-25.3259,-3.82507e-15,-9.01406e-16
-156,0,-0.00177169,-0.013801,238.381,-25.3259,-4.28342e-15,-1.06883e-15
-154,0,-0.00177169,-0.013801,238.381,-25.3259,-4.58726e-15,-1.29832e-15
-152,0,-0.00177169,-0.013801,238.381,-25.3259,-4.71513e-15,-1.56982e-15
-150,0,-0.00177169,-0.013801,238.381,-25.3259,-4.66763e-15,-1.86703e-15
-148,0,-0.00177169,-0.013801,238.381,-25.3259,-4.46361e-15,-2.1815e-15
-146,0,-0.00177169,-0.013801,238.381,-25.3259,-4.1339e-15,-2.51412e-15
-144,0,-0.00177169,-0.013801,238.381,-25.3259,-3.71396e-15,-2.87368e-15
-142,0,-0.00177169,-0.013801,238.381,-25.3259,-3.23743e-15,-3.27291e-15
-140,0,-0.00177169,-0.013801,238.381,-25.3259,-2.7317e-15,-3.72273e-15
-138,0,-0.00177169,-0.013801,238.381,-25.3259,-2.21629e-15,-4.22617e-15
-136,0,-0.00177169,-0.013801,238.381,-25.3259,-1.70427e-15,-4.77329e-15
-134,0,-0.00177169,-0.013801,238.381,-25.3259,-1.20576e-15,-5.33852e-15
-132,0,-0.00177169,-0.013801,238.381,-25.3259,-7.32543e-16,-5.88114e-15
-130,0,-0.00177169,-0.013801,238.381,-25.3259,-3.02017e-16,-6.34915e-15
-128,0,-0.00177169,-0.013801,238.381,-25.3259,6.06534e-17,-6.68618e-15
-126,0,-0.00177169,-0.013801,238.381,-25.3259,3.23326e-16,-6.84011e-15
-124,0,-0.00177169,-0.013801,238.381,-25.3259,4.50764e-16,-6.77206e-15
-122,0,-0.00177169,-0.013801,238.381,-25.3259,4.11121e-16,-6.46402e-15
-120,0,-0.00177169,-0.013801,238.381,-25.3259,1.83753e-16,-5.9236e-15
-118,0,-0.00177169,-0.013801,238.381,-25.3259,-2.33337e-16,-5.18487e-15
-116,0,-0.00177169,-0.013801,238.381,-25.3259,-8.18289e-16,-4.30499e-15
-114,0,-0.00177169,-0.013801,238.381,-25.3259,-1.52391e-15,-3.35703e-15
-112,0,-0.00177169,-0.013801,238.381,-25.3259,-2.28086e-15,-2.42007e-15
-110,0,-0.00177169,-0.013801,238.381,-25.3259,-3.00544e-15,-1.5683e-15
-108,0,-0.00177169,-0.013801,238.381,-25.3259,-3.61103e-15,-8.60832e-16
-106,0,-0.00177169,-0.013801,238.381,-25.3259,-4.02144e-15,-3.34139e-16
-104,0,-0.00177169,-0.013801,238.381,-25.3259,-4.18372e-15,1.75673e-18
-102,0,-0.00177169,-0.013801,238.381,-25.3259,-4.07816e-15,1.62626e-16
-100,0,-0.00177169,-0.013801,238.381,-25.3259,-3.72335e-15,1.85132e-16
-98,0,-0.00177169,-0.013801,238.381,-25.3259,-3.17518e-15,1.18619e-16
-96,0,-0.00177169,-0.013801,238.381,-25.3259,-2.51944e-15,1.51357e-17
-94,0,-0.00177169,-0.013801,238.381,-25.3259,-1.85921e-15,-8.048e-17
-92,0,-0.00177169,-0.013801,238.381,-25.3259,-1.29874e-15,-1.38635e-16
-90,0,-0.00177169,-0.013801,238.381,-25.3259,-9.26758e-16,-1.49697e-16
-88,0,-0.00177169,-0.013801,238.381,-25.3259,-8.01797e-16,-1.24583e-16
-86,0,-0.00177169,-0.013801,238.381,-25.3259,-9.42297e-16,-9.11718e-17
-84,0,-0.00177169,-0.013801,238.381,-25.3259,-1.32312e-15,-8.72878e-17
-82,0,-0.00177169,-0.013801,238.381,-25.3259,-1.87926e-15,-1.5162e-16
-80,0,-0.00177169,-0.013801,238.381,-25.3259,-2.51616e-15,-3.14327e-16
-78,0,-0.00177169,-0.013801,238.381,-25.3259,-3.12502e-15,-5.89116e-16
-76,0,-0.00177169,-0.013801,238.381,-25.3259,-3.60052e-15,-9.68323e-16
-74,0,-0.00177169,-0.013801,238.381,-25.3259,-3.85809e-15,-1.42194e-15
-72,0,-0.00177169,-0.013801,238.381,-25.3259,-3.84778e-15,-1.90085e-15
-70,0,-0.00177169,-0.013801,238.381,-25.3259,-3.56259e-15,-2.34369e-15
-68,0,-0.00177169,-0.013801,238.381,-25.3259,-3.03983e-15,-2.6862e-15
-66,0,-0.00177169,-0.013801,238.381,-25.3259,-2.35545e-15,-2.87151e-15
-64,0,-0.00177169,-0.013801,238.381,-25.3259,-1.61214e-15,-2.85938e-15
-62,0,-0.00177169,-0.013801,238.381,-25.3259,-9.23379e-16,-2.63312e-15
-60,0,-0.00177169,-0.013801,238.381,-25.3259,-3.9582e-16,-2.20279e-15
-58,0,-0.00177169,-0.013801,238.381,-25.3259,-1.12889e-16,-1.6043e-15
-56,0,-0.00177169,-0.013801,238.381,-25.3259,-1.22052e-16,-8.94625e-16
-54,0,-0.00177169,-0.013801,238.381,-25.3259,-4.27642e-16,-1.43926e-16
-52,0,-0.00177169,-0.013801,238.381,-25.3259,-9.90209e-16,5.74065e-16
-50,0,-0.00177169,-0.013801,238.381,-25.3259,-1.73233e-15,1.19185e-15
-48,0,-0.00177169,-0.013801,238.381,-25.3259,-2.54989e-15,1.65662e-15
-46,0,-0.00177169,-0.013801,238.381,-25.3259,-3.32698e-15,1.93621e-15
-44,0,-0.00177169,-0.013801,238.381,-25.3259,-3.95228e-15,2.02164e-15
-42,0,-0.00177169,-0.013801,238.381,-25.3259,-4.33442e-15,1.92634e-15
-40,0,-0.00177169,-0.013801,238.381,-25.3259,-4.41429e-15,1.68218e-15
-38,0,-0.00177169,-0.013801,238.381,-25.3259,-4.17258e-15,1.33332e-15
-36,0,-0.00177169,-0.013801,238.381,-25.3259,-3.6318e-15,9.28992e-16
-34,0,-0.00177169,-0.013801,238.381,-25.3259,-2.8525e-15,5.1632e-16
-32,0,-0.00177169,-0.013801,238.381,-25.3259,-1.9245e-15,1.34411e-16
-30,0,-0.00177169,-0.013801,238.381,-25.3259,-9.5451e-16,-1.89677e-16
-28,0,-0.00177169,-0.013801,238.381,-25.3259,-5.17965e-17,-4.42588e-16
-26,0,-0.00177169,-0.013801,238.381,-25.3259,6.86029e-16,-6.24031e-16
-24,0,-0.00177169,-0.013801,238.381,-25.3259,1.18521e-15,-7.44213e-16
-22,0,-0.00177169,-0.013801,238.381,-25.3259,1.4045e-15,-8.20007e-16
-20,0,-0.00177169,-0.013801,238.381,-25.3259,1.33914e-15,-8.70623e-16
-18,0,-0.00177169,-0.013801,238.381,-25.3259,1.01987e-15,-9.13525e-16
-16,0,-0.00177169,-0.013801,238.381,-25.3259,5.07165e-16,-9.61242e-16
-14,0,-0.00177169,-0.013801,238.381,-25.3259,-1.18307e-16,-1.01946e-15
-12,0,-0.00177169,-0.013801,238.381,-25.3259,-7.67577e-16,-1.08655e-15
-10,0,-0.00177169,-0.013801,238.381,-25.3259,-1.35586e-15,-1.1545e-15
-8,0,-0.00177169,-0.013801,238.381,-25.3259,-1.81384e-15,-1.21093e-15
-6,0,-0.00177169,-0.013801,238.381,-25.3259,-2.09614e-15,-1.24175e-15
-4,0,-0.00177169,-0.013801,238.381,-25.3259,-2.18583e-15,-1.23407e-15
-2,0,-0.00177169,-0.013801,238.381,-25.3259,-2.09457e-15,-1.17889e-15
0,0,-0.00177169,-0.013801,238.381,-25.3259,-1.85832e-15,-1.07302e-15
2,0,-0.00177169,-0.013801,238.381,-25.3259,-1.52979e-15,-9.20159e-16
4,0,-0.00177169,-0.013801,238.381,-25.3259,-1.16876e-15,-7.30812e-16
6,0,-0.00177169,-0.013801,238.381,-25.3259,-8.32169e-16,-5.21111e-16
8,0,-0.00177169,-0.013801,238.381,-25.3259,-5.65573e-16,-3.10627e-16
10,0,-0.00177169,-0.013801,238.381,-25.3259,-3.97418e-16,-1.19502e-16
12,0,-0.00177169,-0.013801,238.381,-25.3259,-3.37009e-16,3.47441e-17
14,0,-0.00177169,-0.013801,238.381,-25.3259,-3.76322e-16,1.40243e-16
16,0,-0.00177169,-0.013801,238.381,-25.3259,-4.95061e-16,1.93148e-16
18,0,-0.00177169,-0.013801,238.381,-25.3259,-6.67742e-16,1.98895e-16
20,0,-0.00177169,-0.013801,238.381,-25.3259,-8.71168e-16,1.7201e-16
22,0,-0.00177169,-0.013801,238.381,-25.3259,-1.09058e-15,1.34303e-16
24,0,-0.00177169,-0.013801,238.381,-25.3259,-1.32306e-15,1.11563e-16
26,0,-0.00177169,-0.013801,238.381,-25.3259,-1.57729e-15,1.2908e-16
28,0,-0.00177169,-0.013801,238.381,-25.3259,-1.86967e-15,2.0663e-16
30,0,-0.00177169,-0.013801,238.381,-25.3259,-2.21741e-15,3.5372e-16
32,0,-0.00177169,-0.013801,238.381,-25.3259,-2.63029e-15,5.65944e-16
34,0,-0.00177169,-0.013801,238.381,-25.3259,-3.10274e-15,8.23278e-16
36,0,-0.00177169,-0.013801,238.381,-25.3259,-3.60847e-15,1.09087e-15
38,0,-0.00177169,-0.013801,238.381,-25.3259,-4.09914e-15,1.32257e-15
40,0,-0.00177169,-0.013801,238.381,-25.3259,-4.50797e-15,1.46691e-15
42,0,-0.00177169,-0.013801,238.381,-25.3259,-4.75829e-15,1.4749e-15
44,0,-0.00177169,-0.013801,238.381,-25.3259,-4.7759e-15,1.30847e-15
46,0,-0.00177169,-0.013801,238.381,-25.3259,-4.50316e-15,9.48264e-16
48,0,-0.00177169,-0.013801,238.381,-25.3259,-3.91246e-15,3.99312e-16
50,0,-0.00177169,-0.013801,238.381,-25.3259,-3.01615e-15,-3.06528e-16
52,0,-0.00177169,-0.013801,238.381,-25.3259,-1.87091e-15,-1.11214e-15
54,0,-0.00177169,-0.013801,238.381,-25.3259,-5.75067e-16,-1.94084e-15
56,0,-0.00177169,-0.013801,238.381,-25.3259,7.41321e-16,-2.70563e-15
58,0,-0.00177169,-0.013801,238.381,-25.3259,1.9325e-15,-3.32074e-15
60,0,-0.00177169,-0.013801,238.381,-25.3259,2.85688e-15,-3.71384e-15
62,0,-0.00177169,-0.013801,238.381,-25.3259,3.39772e-15,-3.83683e-15
64,0,-0.00177169,-0.013801,238.381,-25.3259,3.48111e-15,-3.67356e-15
66,0,-0.00177169,-0.013801,238.381,-25.3259,3.0884e-15,-3.24287e-15
68,0,-0.00177169,-0.013801,238.381,-25.3259,2.26061e-15,-2.59642e-15
