Phi[deg],Theta[deg],GainTotal
-180,0,3.26992
-178,0,3.26992
-176,0,3.26992
-174,0,3.26992
-172,0,3.26992
-170,0,3.26992
-168,0,3.26992
-166,0,3.26992
-164,0,3.26992
-162,0,3.26992
-160,0,3.26992
-158,0,3.26992
-156,0,3.26992
-154,0,3.26992
-152,0,3.26992
-150,0,3.26992
-148,0,3.26992
-146,0,3.26992
-144,0,3.26992
-142,0,3.26992
-140,0,3.26992
-138,0,3.26992
-136,0,3.26992
-134,0,3.26992
-132,0,3.26992
-130,0,3.26992
-128,0,3.26992
-126,0,3.26992
-124,0,3.26992
-122,0,3.26992
-120,0,3.26992
-118,0,3.26992
-116,0,3.26992
-114,0,3.26992
-112,0,3.26992
-110,0,3.26992
-108,0,3.26992
-106,0,3.26992
-104,0,3.26992
-102,0,3.26992
-100,0,3.26992
-98,0,3.26992
-96,0,3.26992
-94,0,3.26992
-92,0,3.26992
-90,0,3.26992
-88,0,3.26992
-86,0,3.26992
-84,0,3.26992
-82,0,3.26992
-80,0,3.26992
-78,0,3.26992
-76,0,3.26992
-74,0,3.26992
-72,0,3.26992
-70,0,3.26992
-68,0,3.26992
-66,0,3.26992
-64,0,3.26992
-62,0,3.26992
-60,0,3.26992
-58,0,3.26992
-56,0,3.26992
-54,0,3.26992
-52,0,3.26992
-50,0,3.26992
-48,0,3.26992
-46,0,3.26992
-44,0,3.26992
-42,0,3.26992
-40,0,3.26992
-38,0,3.26992
-36,0,3.26992
-34,0,3.26992
-32,0,3.26992
-30,0,3.26992
-28,0,3.26992
-26,0,3.26992
-24,0,3.26992
-22,0,3.26992
-20,0,3.26992
-18,0,3.26992
-16,0,3.26992
-14,0,3.26992
-12,0,3.26992
-10,0,3.26992
-8,0,3.26992
-6,0,3.26992
-4,0,3.26992
-2,0,3.26992
0,0,3.26992
2,0,3.26992
4,0,3.26992
6,0,3.26992
8,0,3.26992
10,0,3.26992
12,0,3.26992
14,0,3.26992
16,0,3.26992
18,0,3.26992
20,0,3.26992
22,0,3.26992
24,0,3.26992
26,0,3.26992
28,0,3.26992
30,0,3.26992
32,0,3.26992
34,0,3.26992
36,0,3.26992
38,0,3.26992
40,0,3.26992
42,0,3.26992
44,0,3.26992
46,0,3.26992
48,0,3.26992
50,0,3.26992
52,0,3.26992
54,0,3.26992
56,0,3.26992
58,0,3.26992
60,0,3.26992
62,0,3.26992
64,0,3.26992
66,0,3.26992
68,0,3.26992
70,0,3.26992
72,0,3.26992
74,0,3.26992
76,0,3.26992
78,0,3.26992
80,0,3.26992
82,0,3.26992
84,0,3.26992
86,0,3.26992
88,0,3.26992
90,0,3.26992
92,0,3.26992
94,0,3.26992
96,0,3.26992
98,0,3.26992
100,0,3.26992
102,0,3.26992
104,0,3.26992
106,0,3.26992
108,0,3.26992
110,0,3.26992
112,0,3.26992
114,0,3.26992
116,0,3.26992
118,0,3.26992
120,0,3.26992
122,0,3.26992
124,0,3.26992
126,0,3.26992
128,0,3.26992
130,0,3.26992
132,0,3.26992
134,0,3.26992
136,0,3.26992
138,0,3.26992
140,0,3.26992
142,0,3.26992
144,0,3.26992
146,0,3.26992
148,0,3.26992
150,0,3.26992
152,0,3.26992
154,0,3.26992
156,0,3.26992
158,0,3.26992
160,0,3.26992
162,0,3.26992
164,0,3.26992
166,0,3.26992
168,0,3.26992
170,0,3.26992
172,0,3.26992
174,0,3.26992
176,0,3.26992
178,0,3.26992
180,0,3.26992
-180,2,3.26548
-178,2,3.26544
-176,2,3.26538
-174,2,3.26529
-172,2,3.26519
-170,2,3.26507
-168,2,3.26493
-166,2,3.26477
-164,2,3.26459
-162,2,3.2644
-160,2,3.26419
-158,2,3.26396
-156,2,3.26372
-154,2,3.26346
-152,2,3.2632
-150,2,3.26292
-148,2,3.26263
-146,2,3.26234
-144,2,3.26203
-142,2,3.26173
-140,2,3.26141
-138,2,3.2611
-136,2,3.26078
-134,2,3.26046
-132,2,3.26015
-130,2,3.25983
-128,2,3.25952
-126,2,3.25922
-124,2,3.25892
-122,2,3.25864
-120,2,3.25836
-118,2,3.25809
-116,2,3.25784
-114,2,3.2576
-112,2,3.25738
-110,2,3.25717
-108,2,3.25697
-106,2,3.2568
-104,2,3.25664
-102,2,3.2565
-100,2,3.25639
-98,2,3.25629
-96,2,3.25621
-94,2,3.25616
-92,2,3.25613
-90,2,3.25612
-88,2,3.25613
-86,2,3.25616
-84,2,3.25621
-82,2,3.25628
-80,2,3.25638
-78,2,3.2565
-76,2,3.25663
-74,2,3.25679
-72,2,3.25696
-70,2,3.25715
-68,2,3.25736
-66,2,3.25758
-64,2,3.25782
-62,2,3.25807
-60,2,3.25834
-58,2,3.25862
-56,2,3.2589
-54,2,3.2592
-52,2,3.2595
-50,2,3.25981
-48,2,3.26012
-46,2,3.26043
-44,2,3.26075
-42,2,3.26107
-40,2,3.26138
-38,2,3.26169
-36,2,3.262
-34,2,3.2623
-32,2,3.2626
-30,2,3.26289
-28,2,3.26316
-26,2,3.26343
-24,2,3.26368
-22,2,3.26392
-20,2,3.26415
-18,2,3.26436
-16,2,3.26455
-14,2,3.26473
-12,2,3.26489
-10,2,3.26503
-8,2,3.26515
-6,2,3.26526
-4,2,3.26534
-2,2,3.2654
0,2,3.26544
2,2,3.26546
4,2,3.26546
6,2,3.26544
8,2,3.2654
10,2,3.26534
12,2,3.26526
14,2,3.26516
16,2,3.26505
18,2,3.26491
20,2,3.26476
22,2,3.26459
24,2,3.26441
26,2,3.26421
28,2,3.264
30,2,3.26378
32,2,3.26354
34,2,3.2633
36,2,3.26305
38,2,3.26279
40,2,3.26252
42,2,3.26226
44,2,3.26198
46,2,3.26171
48,2,3.26144
50,2,3.26117
52,2,3.2609
54,2,3.26063
56,2,3.26038
58,2,3.26012
60,2,3.25988
62,2,3.25964
64,2,3.25942
66,2,3.25921
68,2,3.25901
70,2,3.25882
72,2,3.25865
74,2,3.25849
76,2,3.25836
78,2,3.25823
80,2,3.25813
82,2,3.25804
84,2,3.25798
86,2,3.25793
88,2,3.2579
90,2,3.25789
92,2,3.2579
94,2,3.25793
96,2,3.25798
98,2,3.25805
100,2,3.25814
102,2,3.25824
104,2,3.25836
106,2,3.2585
108,2,3.25866
110,2,3.25883
112,2,3.25902
114,2,3.25922
116,2,3.25943
118,2,3.25966
120,2,3.2599
122,2,3.26014
124,2,3.26039
126,2,3.26065
128,2,3.26092
130,2,3.26119
132,2,3.26146
134,2,3.26174
136,2,3.26201
138,2,3.26228
140,2,3.26255
142,2,3.26282
144,2,3.26308
146,2,3.26333
148,2,3.26357
150,2,3.26381
152,2,3.26403
154,2,3.26424
156,2,3.26444
158,2,3.26462
160,2,3.26479
162,2,3.26495
164,2,3.26508
166,2,3.2652
168,2,3.2653
170,2,3.26538
172,2,3.26544
174,2,3.26548
176,2,3.2655
178,2,3.2655
180,2,3.26548
-180,4,3.25217
-178,4,3.25207
-176,4,3.25189
-174,4,3.25163
-172,4,3.25128
-170,4,3.25086
-168,4,3.25037
-166,4,3.24979
-164,4,3.24915
-162,4,3.24844
-160,4,3.24766
-158,4,3.24682
-156,4,3.24593
-154,4,3.24498
-152,4,3.24398
-150,4,3.24293
-148,4,3.24184
-146,4,3.24072
-144,4,3.23957
-142,4,3.2384
-140,4,3.23721
-138,4,3.236
-136,4,3.23479
-134,4,3.23357
-132,4,3.23236
-130,4,3.23116
-128,4,3.22998
-126,4,3.22881
-124,4,3.22768
-122,4,3.22657
-120,4,3.22551
-118,4,3.22448
-116,4,3.2235
-114,4,3.22258
-112,4,3.22171
-110,4,3.2209
-108,4,3.22016
-106,4,3.21948
-104,4,3.21888
-102,4,3.21835
-100,4,3.2179
-98,4,3.21752
-96,4,3.21723
-94,4,3.21702
-92,4,3.21689
-90,4,3.21685
-88,4,3.21689
-86,4,3.21701
-84,4,3.21722
-82,4,3.21751
-80,4,3.21788
-78,4,3.21833
-76,4,3.21886
-74,4,3.21946
-72,4,3.22013
-70,4,3.22087
-68,4,3.22167
-66,4,3.22254
-64,4,3.22346
-62,4,3.22444
-60,4,3.22546
-58,4,3.22653
-56,4,3.22763
-54,4,3.22876
-52,4,3.22992
-50,4,3.23111
-48,4,3.23231
-46,4,3.23351
-44,4,3.23473
-42,4,3.23594
-40,4,3.23714
-38,4,3.23833
-36,4,3.23951
-34,4,3.24065
-32,4,3.24177
-30,4,3.24286
-28,4,3.2439
-26,4,3.2449
-24,4,3.24585
-22,4,3.24675
-20,4,3.24759
-18,4,3.24836
-16,4,3.24908
-14,4,3.24972
-12,4,3.25029
-10,4,3.25079
-8,4,3.25121
-6,4,3.25155
-4,4,3.25181
-2,4,3.252
0,4,3.2521
2,4,3.25212
4,4,3.25206
6,4,3.25192
8,4,3.25169
10,4,3.25139
12,4,3.25102
14,4,3.25056
16,4,3.25004
18,4,3.24944
20,4,3.24878
22,4,3.24806
24,4,3.24727
26,4,3.24643
28,4,3.24554
30,4,3.24461
32,4,3.24363
34,4,3.24261
36,4,3.24156
38,4,3.24049
40,4,3.23939
42,4,3.23828
44,4,3.23715
46,4,3.23603
48,4,3.2349
50,4,3.23378
52,4,3.23268
54,4,3.23159
56,4,3.23052
58,4,3.22949
60,4,3.22848
62,4,3.22752
64,4,3.2266
66,4,3.22573
68,4,3.22491
70,4,3.22415
72,4,3.22345
74,4,3.22281
76,4,3.22224
78,4,3.22174
80,4,3.22132
82,4,3.22096
84,4,3.22069
86,4,3.22049
88,4,3.22037
90,4,3.22033
92,4,3.22037
94,4,3.22049
96,4,3.22069
98,4,3.22097
100,4,3.22133
102,4,3.22175
104,4,3.22226
106,4,3.22283
108,4,3.22347
110,4,3.22417
112,4,3.22493
114,4,3.22575
116,4,3.22663
118,4,3.22755
120,4,3.22852
122,4,3.22952
124,4,3.23056
126,4,3.23163
128,4,3.23272
130,4,3.23382
132,4,3.23494
134,4,3.23607
136,4,3.2372
138,4,3.23832
140,4,3.23944
142,4,3.24054
144,4,3.24161
146,4,3.24266
148,4,3.24368
150,4,3.24466
152,4,3.2456
154,4,3.2465
156,4,3.24734
158,4,3.24812
160,4,3.24885
162,4,3.24951
164,4,3.25011
166,4,3.25063
168,4,3.25109
170,4,3.25147
172,4,3.25177
174,4,3.25199
176,4,3.25213
178,4,3.25219
180,4,3.25217
-180,6,3.23012
-178,6,3.22995
-176,6,3.22959
-174,6,3.22905
-172,6,3.22834
-170,6,3.22745
-168,6,3.2264
-166,6,3.22518
-164,6,3.2238
-162,6,3.22227
-160,6,3.2206
-158,6,3.21878
-156,6,3.21684
-154,6,3.21477
-152,6,3.2126
-150,6,3.21033
-148,6,3.20796
-146,6,3.20552
-144,6,3.20301
-142,6,3.20044
-140,6,3.19784
-138,6,3.1952
-136,6,3.19254
-134,6,3.18988
-132,6,3.18723
-130,6,3.18459
-128,6,3.18199
-126,6,3.17944
-124,6,3.17694
-122,6,3.17451
-120,6,3.17216
-118,6,3.16991
-116,6,3.16776
-114,6,3.16573
-112,6,3.16381
-110,6,3.16203
-108,6,3.1604
-106,6,3.15891
-104,6,3.15758
-102,6,3.15642
-100,6,3.15542
-98,6,3.1546
-96,6,3.15395
-94,6,3.15349
-92,6,3.15321
-90,6,3.15311
-88,6,3.1532
-86,6,3.15348
-84,6,3.15393
-82,6,3.15457
-80,6,3.15539
-78,6,3.15638
-76,6,3.15755
-74,6,3.15887
-72,6,3.16035
-70,6,3.16198
-68,6,3.16376
-66,6,3.16567
-64,6,3.1677
-62,6,3.16984
-60,6,3.17209
-58,6,3.17443
-56,6,3.17686
-54,6,3.17935
-52,6,3.1819
-50,6,3.1845
-48,6,3.18713
-46,6,3.18978
-44,6,3.19244
-42,6,3.1951
-40,6,3.19773
-38,6,3.20034
-36,6,3.2029
-34,6,3.20541
-32,6,3.20785
-30,6,3.21021
-28,6,3.21249
-26,6,3.21466
-24,6,3.21672
-22,6,3.21867
-20,6,3.22048
-18,6,3.22216
-16,6,3.22369
-14,6,3.22507
-12,6,3.22628
-10,6,3.22734
-8,6,3.22823
-6,6,3.22894
-4,6,3.22948
-2,6,3.22984
0,6,3.23001
2,6,3.23001
4,6,3.22983
6,6,3.22947
8,6,3.22893
10,6,3.22822
12,6,3.22734
14,6,3.2263
16,6,3.22509
18,6,3.22373
20,6,3.22222
22,6,3.22057
24,6,3.21879
26,6,3.21689
28,6,3.21488
30,6,3.21276
32,6,3.21055
34,6,3.20825
36,6,3.20589
38,6,3.20347
40,6,3.201
42,6,3.1985
44,6,3.19597
46,6,3.19344
48,6,3.19091
50,6,3.1884
52,6,3.18591
54,6,3.18346
56,6,3.18107
58,6,3.17874
60,6,3.17649
62,6,3.17433
64,6,3.17226
66,6,3.1703
68,6,3.16846
70,6,3.16675
72,6,3.16518
74,6,3.16375
76,6,3.16247
78,6,3.16134
80,6,3.16038
82,6,3.15959
84,6,3.15897
86,6,3.15853
88,6,3.15826
90,6,3.15817
92,6,3.15827
94,6,3.15854
96,6,3.15898
98,6,3.1596
100,6,3.1604
102,6,3.16136
104,6,3.16248
106,6,3.16377
108,6,3.1652
110,6,3.16678
112,6,3.16849
114,6,3.17034
116,6,3.1723
118,6,3.17436
120,6,3.17653
122,6,3.17879
124,6,3.18112
126,6,3.18351
128,6,3.18596
130,6,3.18845
132,6,3.19097
134,6,3.1935
136,6,3.19604
138,6,3.19856
140,6,3.20107
142,6,3.20354
144,6,3.20596
146,6,3.20833
148,6,3.21062
150,6,3.21284
152,6,3.21496
154,6,3.21698
156,6,3.21888
158,6,3.22066
160,6,3.22231
162,6,3.22382
164,6,3.22519
166,6,3.22639
168,6,3.22744
170,6,3.22833
172,6,3.22904
174,6,3.22958
176,6,3.22994
178,6,3.23012
180,6,3.23012
-180,8,3.19953
-178,8,3.19927
-176,8,3.19869
-174,8,3.1978
-172,8,3.1966
-170,8,3.1951
-168,8,3.19331
-166,8,3.19123
-164,8,3.18888
-162,8,3.18626
-160,8,3.18339
-158,8,3.18027
-156,8,3.17693
-154,8,3.17338
-152,8,3.16964
-150,8,3.16572
-148,8,3.16164
-146,8,3.15742
-144,8,3.15309
-142,8,3.14865
-140,8,3.14414
-138,8,3.13958
-136,8,3.13498
-134,8,3.13037
-132,8,3.12577
-130,8,3.12121
-128,8,3.1167
-126,8,3.11226
-124,8,3.10793
-122,8,3.10371
-120,8,3.09964
-118,8,3.09572
-116,8,3.09198
-114,8,3.08844
-112,8,3.08512
-110,8,3.08203
-108,8,3.07918
-106,8,3.07659
-104,8,3.07428
-102,8,3.07225
-100,8,3.07051
-98,8,3.06908
-96,8,3.06796
-94,8,3.06715
-92,8,3.06666
-90,8,3.0665
-88,8,3.06666
-86,8,3.06713
-84,8,3.06793
-82,8,3.06905
-80,8,3.07047
-78,8,3.0722
-76,8,3.07423
-74,8,3.07653
-72,8,3.07911
-70,8,3.08195
-68,8,3.08504
-66,8,3.08836
-64,8,3.09189
-62,8,3.09562
-60,8,3.09953
-58,8,3.1036
-56,8,3.10781
-54,8,3.11215
-52,8,3.11657
-50,8,3.12108
-48,8,3.12564
-46,8,3.13024
-44,8,3.13484
-42,8,3.13944
-40,8,3.144
-38,8,3.14851
-36,8,3.15294
-34,8,3.15727
-32,8,3.16149
-30,8,3.16556
-28,8,3.16948
-26,8,3.17323
-24,8,3.17678
-22,8,3.18012
-20,8,3.18323
-18,8,3.18611
-16,8,3.18873
-14,8,3.19108
-12,8,3.19316
-10,8,3.19495
-8,8,3.19645
-6,8,3.19765
-4,8,3.19854
-2,8,3.19912
0,8,3.19939
2,8,3.19935
4,8,3.19899
6,8,3.19833
8,8,3.19736
10,8,3.19608
12,8,3.19451
14,8,3.19265
16,8,3.19052
18,8,3.18811
20,8,3.18545
22,8,3.18255
24,8,3.17942
26,8,3.17607
28,8,3.17253
30,8,3.16881
32,8,3.16493
34,8,3.1609
36,8,3.15675
38,8,3.1525
40,8,3.14817
42,8,3.14378
44,8,3.13935
46,8,3.1349
48,8,3.13046
50,8,3.12605
52,8,3.12168
54,8,3.11739
56,8,3.11319
58,8,3.1091
60,8,3.10515
62,8,3.10134
64,8,3.09771
66,8,3.09427
68,8,3.09104
70,8,3.08804
72,8,3.08527
74,8,3.08275
76,8,3.0805
78,8,3.07853
80,8,3.07684
82,8,3.07545
84,8,3.07436
86,8,3.07358
88,8,3.07311
90,8,3.07295
92,8,3.07311
94,8,3.07358
96,8,3.07437
98,8,3.07546
100,8,3.07685
102,8,3.07854
104,8,3.08052
106,8,3.08277
108,8,3.08529
110,8,3.08807
112,8,3.09108
114,8,3.09431
116,8,3.09775
118,8,3.10139
120,8,3.10519
122,8,3.10915
124,8,3.11324
126,8,3.11745
128,8,3.12174
130,8,3.12611
132,8,3.13053
134,8,3.13497
136,8,3.13942
138,8,3.14385
140,8,3.14825
142,8,3.15258
144,8,3.15684
146,8,3.16099
148,8,3.16502
150,8,3.1689
152,8,3.17263
154,8,3.17617
156,8,3.17952
158,8,3.18266
160,8,3.18556
162,8,3.18823
164,8,3.19063
166,8,3.19277
168,8,3.19464
170,8,3.19621
172,8,3.19749
174,8,3.19846
176,8,3.19913
178,8,3.19949
180,8,3.19953
-180,10,3.16069
-178,10,3.16032
-176,10,3.15948
-174,10,3.15817
-172,10,3.15639
-170,10,3.15416
-168,10,3.15148
-166,10,3.14837
-164,10,3.14483
-162,10,3.1409
-160,10,3.13657
-158,10,3.13188
-156,10,3.12685
-154,10,3.12149
-152,10,3.11584
-150,10,3.10991
-148,10,3.10375
-146,10,3.09737
-144,10,3.09081
-142,10,3.08409
-140,10,3.07726
-138,10,3.07034
-136,10,3.06337
-134,10,3.05637
-132,10,3.04939
-130,10,3.04245
-128,10,3.0356
-126,10,3.02886
-124,10,3.02227
-122,10,3.01585
-120,10,3.00965
-118,10,3.00369
-116,10,2.998
-114,10,2.9926
-112,10,2.98754
-110,10,2.98282
-108,10,2.97848
-106,10,2.97453
-104,10,2.971
-102,10,2.96791
-100,10,2.96526
