Phi[deg],Theta[deg],GainTotal
-180,0,0.432817
-178,0,0.432817
-176,0,0.432817
-174,0,0.432817
-172,0,0.432817
-170,0,0.432817
-168,0,0.432817
-166,0,0.432817
-164,0,0.432817
-162,0,0.432817
-160,0,0.432817
-158,0,0.432817
-156,0,0.432817
-154,0,0.432817
-152,0,0.432817
-150,0,0.432817
-148,0,0.432817
-146,0,0.432817
-144,0,0.432817
-142,0,0.432817
-140,0,0.432817
-138,0,0.432817
-136,0,0.432817
-134,0,0.432817
-132,0,0.432817
-130,0,0.432817
-128,0,0.432817
-126,0,0.432817
-124,0,0.432817
-122,0,0.432817
-120,0,0.432817
-118,0,0.432817
-116,0,0.432817
-114,0,0.432817
-112,0,0.432817
-110,0,0.432817
-108,0,0.432817
-106,0,0.432817
-104,0,0.432817
-102,0,0.432817
-100,0,0.432817
-98,0,0.432817
-96,0,0.432817
-94,0,0.432817
-92,0,0.432817
-90,0,0.432817
-88,0,0.432817
-86,0,0.432817
-84,0,0.432817
-82,0,0.432817
-80,0,0.432817
-78,0,0.432817
-76,0,0.432817
-74,0,0.432817
-72,0,0.432817
-70,0,0.432817
-68,0,0.432817
-66,0,0.432817
-64,0,0.432817
-62,0,0.432817
-60,0,0.432817
-58,0,0.432817
-56,0,0.432817
-54,0,0.432817
-52,0,0.432817
-50,0,0.432817
-48,0,0.432817
-46,0,0.432817
-44,0,0.432817
-42,0,0.432817
-40,0,0.432817
-38,0,0.432817
-36,0,0.432817
-34,0,0.432817
-32,0,0.432817
-30,0,0.432817
-28,0,0.432817
-26,0,0.432817
-24,0,0.432817
-22,0,0.432817
-20,0,0.432817
-18,0,0.432817
-16,0,0.432817
-14,0,0.432817
-12,0,0.432817
-10,0,0.432817
-8,0,0.432817
-6,0,0.432817
-4,0,0.432817
-2,0,0.432817
0,0,0.432817
2,0,0.432817
4,0,0.432817
6,0,0.432817
8,0,0.432817
10,0,0.432817
12,0,0.432817
14,0,0.432817
16,0,0.432817
18,0,0.432817
20,0,0.432817
22,0,0.432817
24,0,0.432817
26,0,0.432817
28,0,0.432817
30,0,0.432817
32,0,0.432817
34,0,0.432817
36,0,0.432817
38,0,0.432817
40,0,0.432817
42,0,0.432817
44,0,0.432817
46,0,0.432817
48,0,0.432817
50,0,0.432817
52,0,0.432817
54,0,0.432817
56,0,0.432817
58,0,0.432817
60,0,0.432817
62,0,0.432817
64,0,0.432817
66,0,0.432817
68,0,0.432817
70,0,0.432817
72,0,0.432817
74,0,0.432817
76,0,0.432817
78,0,0.432817
80,0,0.432817
82,0,0.432817
84,0,0.432817
86,0,0.432817
88,0,0.432817
90,0,0.432817
92,0,0.432817
94,0,0.432817
96,0,0.432817
98,0,0.432817
100,0,0.432817
102,0,0.432817
104,0,0.432817
106,0,0.432817
108,0,0.432817
110,0,0.432817
112,0,0.432817
114,0,0.432817
116,0,0.432817
118,0,0.432817
120,0,0.432817
122,0,0.432817
124,0,0.432817
126,0,0.432817
128,0,0.432817
130,0,0.432817
132,0,0.432817
134,0,0.432817
136,0,0.432817
138,0,0.432817
140,0,0.432817
142,0,0.432817
144,0,0.432817
146,0,0.432817
148,0,0.432817
150,0,0.432817
152,0,0.432817
154,0,0.432817
156,0,0.432817
158,0,0.432817
160,0,0.432817
162,0,0.432817
164,0,0.432817
166,0,0.432817
168,0,0.432817
170,0,0.432817
172,0,0.432817
174,0,0.432817
176,0,0.432817
178,0,0.432817
180,0,0.432817
-180,2,0.427107
-178,2,0.427355
-176,2,0.427611
-174,2,0.427873
-172,2,0.428143
-170,2,0.428418
-168,2,0.4287
-166,2,0.428986
-164,2,0.429278
-162,2,0.429575
-160,2,0.429875
-158,2,0.43018
-156,2,0.430487
-154,2,0.430798
-152,2,0.43111
-150,2,0.431425
-148,2,0.431742
-146,2,0.432059
-144,2,0.432377
-142,2,0.432696
-140,2,0.433014
-138,2,0.433332
-136,2,0.433649
-134,2,0.433965
-132,2,0.434278
-130,2,0.43459
-128,2,0.434899
-126,2,0.435206
-124,2,0.435509
-122,2,0.435808
-120,2,0.436104
-118,2,0.436395
-116,2,0.436682
-114,2,0.436964
-112,2,0.437241
-110,2,0.437513
-108,2,0.437778
-106,2,0.438038
-104,2,0.438292
-102,2,0.438539
-100,2,0.438779
-98,2,0.439013
-96,2,0.439239
-94,2,0.439459
-92,2,0.43967
-90,2,0.439874
-88,2,0.440071
-86,2,0.440259
-84,2,0.440439
-82,2,0.440611
-80,2,0.440774
-78,2,0.440929
-76,2,0.441076
-74,2,0.441214
-72,2,0.441343
-70,2,0.441463
-68,2,0.441574
-66,2,0.441676
-64,2,0.441769
-62,2,0.441853
-60,2,0.441928
-58,2,0.441993
-56,2,0.44205
-54,2,0.442097
-52,2,0.442134
-50,2,0.442163
-48,2,0.442182
-46,2,0.442191
-44,2,0.442192
-42,2,0.442182
-40,2,0.442164
-38,2,0.442136
-36,2,0.442099
-34,2,0.442053
-32,2,0.441997
-30,2,0.441932
-28,2,0.441858
-26,2,0.441774
-24,2,0.441682
-22,2,0.44158
-20,2,0.441469
-18,2,0.44135
-16,2,0.441221
-14,2,0.441084
-12,2,0.440938
-10,2,0.440783
-8,2,0.44062
-6,2,0.440449
-4,2,0.440269
-2,2,0.440081
0,2,0.439885
2,2,0.439681
4,2,0.43947
6,2,0.439251
8,2,0.439025
10,2,0.438792
12,2,0.438551
14,2,0.438305
16,2,0.438051
18,2,0.437791
20,2,0.437526
22,2,0.437255
24,2,0.436978
26,2,0.436696
28,2,0.436409
30,2,0.436118
32,2,0.435822
34,2,0.435522
36,2,0.435219
38,2,0.434913
40,2,0.434604
42,2,0.434292
44,2,0.433978
46,2,0.433662
48,2,0.433345
50,2,0.433028
52,2,0.432709
54,2,0.43239
56,2,0.432072
58,2,0.431754
60,2,0.431438
62,2,0.431123
64,2,0.43081
66,2,0.430499
68,2,0.430191
70,2,0.429887
72,2,0.429586
74,2,0.429289
76,2,0.428997
78,2,0.42871
80,2,0.428428
82,2,0.428152
84,2,0.427883
86,2,0.42762
88,2,0.427364
90,2,0.427115
92,2,0.426875
94,2,0.426642
96,2,0.426418
98,2,0.426203
100,2,0.425997
102,2,0.425801
104,2,0.425615
106,2,0.425438
108,2,0.425273
110,2,0.425117
112,2,0.424973
114,2,0.42484
116,2,0.424718
118,2,0.424608
120,2,0.42451
122,2,0.424424
124,2,0.424349
126,2,0.424287
128,2,0.424237
130,2,0.4242
132,2,0.424174
134,2,0.424162
136,2,0.424162
138,2,0.424174
140,2,0.424199
142,2,0.424236
144,2,0.424285
146,2,0.424347
148,2,0.424421
150,2,0.424507
152,2,0.424605
154,2,0.424715
156,2,0.424836
158,2,0.424969
160,2,0.425112
162,2,0.425267
164,2,0.425433
166,2,0.425609
168,2,0.425795
170,2,0.425991
172,2,0.426196
174,2,0.426411
176,2,0.426634
178,2,0.426867
180,2,0.427107
-180,4,0.423286
-178,4,0.423804
