Phi[deg],Theta[deg],GainTotal
-180,0,0.192355
-178,0,0.192355
-176,0,0.192355
-174,0,0.192355
-172,0,0.192355
-170,0,0.192355
-168,0,0.192355
-166,0,0.192355
-164,0,0.192355
-162,0,0.192355
-160,0,0.192355
-158,0,0.192355
-156,0,0.192355
-154,0,0.192355
-152,0,0.192355
-150,0,0.192355
-148,0,0.192355
-146,0,0.192355
-144,0,0.192355
-142,0,0.192355
-140,0,0.192355
-138,0,0.192355
-136,0,0.192355
-134,0,0.192355
-132,0,0.192355
-130,0,0.192355
-128,0,0.192355
-126,0,0.192355
-124,0,0.192355
-122,0,0.192355
-120,0,0.192355
-118,0,0.192355
-116,0,0.192355
-114,0,0.192355
-112,0,0.192355
-110,0,0.192355
-108,0,0.192355
-106,0,0.192355
-104,0,0.192355
-102,0,0.192355
-100,0,0.192355
-98,0,0.192355
-96,0,0.192355
-94,0,0.192355
-92,0,0.192355
-90,0,0.192355
-88,0,0.192355
-86,0,0.192355
-84,0,0.192355
-82,0,0.192355
-80,0,0.192355
-78,0,0.192355
-76,0,0.192355
-74,0,0.192355
-72,0,0.192355
-70,0,0.192355
-68,0,0.192355
-66,0,0.192355
-64,0,0.192355
-62,0,0.192355
-60,0,0.192355
-58,0,0.192355
-56,0,0.192355
-54,0,0.192355
-52,0,0.192355
-50,0,0.192355
-48,0,0.192355
-46,0,0.192355
-44,0,0.192355
-42,0,0.192355
-40,0,0.192355
-38,0,0.192355
-36,0,0.192355
-34,0,0.192355
-32,0,0.192355
-30,0,0.192355
-28,0,0.192355
-26,0,0.192355
-24,0,0.192355
-22,0,0.192355
-20,0,0.192355
-18,0,0.192355
-16,0,0.192355
-14,0,0.192355
-12,0,0.192355
-10,0,0.192355
-8,0,0.192355
-6,0,0.192355
-4,0,0.192355
-2,0,0.192355
0,0,0.192355
2,0,0.192355
4,0,0.192355
6,0,0.192355
8,0,0.192355
10,0,0.192355
12,0,0.192355
14,0,0.192355
16,0,0.192355
18,0,0.192355
20,0,0.192355
22,0,0.192355
24,0,0.192355
26,0,0.192355
28,0,0.192355
30,0,0.192355
32,0,0.192355
34,0,0.192355
36,0,0.192355
38,0,0.192355
40,0,0.192355
42,0,0.192355
44,0,0.192355
46,0,0.192355
48,0,0.192355
50,0,0.192355
52,0,0.192355
54,0,0.192355
56,0,0.192355
58,0,0.192355
60,0,0.192355
62,0,0.192355
64,0,0.192355
66,0,0.192355
68,0,0.192355
70,0,0.192355
72,0,0.192355
74,0,0.192355
76,0,0.192355
78,0,0.192355
80,0,0.192355
82,0,0.192355
84,0,0.192355
86,0,0.192355
88,0,0.192355
90,0,0.192355
92,0,0.192355
94,0,0.192355
96,0,0.192355
