Phi[deg],Theta[deg],RealizedGainTotal
-180,0,0.301754
-178,0,0.301754
-176,0,0.301754
-174,0,0.301754
-172,0,0.301754
-170,0,0.301754
-168,0,0.301754
-166,0,0.301754
-164,0,0.301754
-162,0,0.301754
-160,0,0.301754
-158,0,0.301754
-156,0,0.301754
-154,0,0.301754
-152,0,0.301754
-150,0,0.301754
-148,0,0.301754
-146,0,0.301754
-144,0,0.301754
-142,0,0.301754
-140,0,0.301754
-138,0,0.301754
-136,0,0.301754
-134,0,0.301754
-132,0,0.301754
-130,0,0.301754
-128,0,0.301754
-126,0,0.301754
-124,0,0.301754
-122,0,0.301754
-120,0,0.301754
-118,0,0.301754
-116,0,0.301754
-114,0,0.301754
-112,0,0.301754
-110,0,0.301754
-108,0,0.301754
-106,0,0.301754
-104,0,0.301754
-102,0,0.301754
-100,0,0.301754
-98,0,0.301754
-96,0,0.301754
-94,0,0.301754
-92,0,0.301754
-90,0,0.301754
-88,0,0.301754
-86,0,0.301754
-84,0,0.301754
-82,0,0.301754
-80,0,0.301754
-78,0,0.301754
-76,0,0.301754
-74,0,0.301754
-72,0,0.301754
-70,0,0.301754
-68,0,0.301754
-66,0,0.301754
-64,0,0.301754
-62,0,0.301754
-60,0,0.301754
-58,0,0.301754
-56,0,0.301754
-54,0,0.301754
-52,0,0.301754
-50,0,0.301754
-48,0,0.301754
-46,0,0.301754
-44,0,0.301754
-42,0,0.301754
-40,0,0.301754
-38,0,0.301754
-36,0,0.301754
-34,0,0.301754
-32,0,0.301754
-30,0,0.301754
-28,0,0.301754
-26,0,0.301754
-24,0,0.301754
-22,0,0.301754
-20,0,0.301754
-18,0,0.301754
-16,0,0.301754
-14,0,0.301754
-12,0,0.301754
-10,0,0.301754
-8,0,0.301754
-6,0,0.301754
-4,0,0.301754
-2,0,0.301754
0,0,0.301754
2,0,0.301754
4,0,0.301754
6,0,0.301754
8,0,0.301754
10,0,0.301754
12,0,0.301754
14,0,0.301754
16,0,0.301754
18,0,0.301754
20,0,0.301754
22,0,0.301754
24,0,0.301754
26,0,0.301754
28,0,0.301754
30,0,0.301754
32,0,0.301754
34,0,0.301754
36,0,0.301754
38,0,0.301754
40,0,0.301754
42,0,0.301754
44,0,0.301754
46,0,0.301754
48,0,0.301754
50,0,0.301754
52,0,0.301754
54,0,0.301754
56,0,0.301754
58,0,0.301754
60,0,0.301754
62,0,0.301754
64,0,0.301754
66,0,0.301754
68,0,0.301754
70,0,0.301754
72,0,0.301754
74,0,0.301754
76,0,0.301754
78,0,0.301754
80,0,0.301754
82,0,0.301754
84,0,0.301754
86,0,0.301754
88,0,0.301754
90,0,0.301754
92,0,0.301754
94,0,0.301754
96,0,0.301754
98,0,0.301754
100,0,0.301754
102,0,0.301754
104,0,0.301754
106,0,0.301754
108,0,0.301754
110,0,0.301754
112,0,0.301754
114,0,0.301754
116,0,0.301754
118,0,0.301754
120,0,0.301754
122,0,0.301754
124,0,0.301754
126,0,0.301754
128,0,0.301754
130,0,0.301754
132,0,0.301754
134,0,0.301754
136,0,0.301754
138,0,0.301754
140,0,0.301754
142,0,0.301754
144,0,0.301754
146,0,0.301754
148,0,0.301754
150,0,0.301754
152,0,0.301754
154,0,0.301754
156,0,0.301754
158,0,0.301754
160,0,0.301754
162,0,0.301754
164,0,0.301754
166,0,0.301754
168,0,0.301754
170,0,0.301754
172,0,0.301754
174,0,0.301754
176,0,0.301754
178,0,0.301754
180,0,0.301754
-180,2,0.303927
-178,2,0.303922
-176,2,0.303911
-174,2,0.303894
-172,2,0.303872
-170,2,0.303844
-168,2,0.303812
-166,2,0.303774
-164,2,0.303731
-162,2,0.303684
-160,2,0.303632
-158,2,0.303576
-156,2,0.303516
-154,2,0.303452
-152,2,0.303385
-150,2,0.303315
-148,2,0.303242
-146,2,0.303167
-144,2,0.30309
-142,2,0.303011
-140,2,0.302931
-138,2,0.30285
-136,2,0.302768
-134,2,0.302687
-132,2,0.302606
-130,2,0.302525
-128,2,0.302446
-126,2,0.302368
-124,2,0.302291
-122,2,0.302217
-120,2,0.302146
-118,2,0.302077
-116,2,0.302012
-114,2,0.30195
-112,2,0.301892
-110,2,0.301838
-108,2,0.301788
-106,2,0.301743
-104,2,0.301703
-102,2,0.301668
-100,2,0.301638
-98,2,0.301613
-96,2,0.301593
-94,2,0.301579
-92,2,0.301571
-90,2,0.301568
-88,2,0.301571
-86,2,0.30158
-84,2,0.301594
-82,2,0.301614
-80,2,0.301639
-78,2,0.301669
-76,2,0.301704
-74,2,0.301745
-72,2,0.30179
-70,2,0.30184
-68,2,0.301894
-66,2,0.301952
-64,2,0.302014
-62,2,0.30208
-60,2,0.302149
-58,2,0.30222
-56,2,0.302295
-54,2,0.302371
-52,2,0.302449
-50,2,0.302529
-48,2,0.30261
-46,2,0.302691
-44,2,0.302773
-42,2,0.302854
-40,2,0.302936
-38,2,0.303016
-36,2,0.303095
-34,2,0.303172
-32,2,0.303247
-30,2,0.30332
-28,2,0.303391
-26,2,0.303458
-24,2,0.303522
-22,2,0.303582
-20,2,0.303638
-18,2,0.30369
-16,2,0.303737
-14,2,0.30378
-12,2,0.303818
-10,2,0.30385
-8,2,0.303878
-6,2,0.3039
-4,2,0.303917
-2,2,0.303928
0,2,0.303933
2,2,0.303933
4,2,0.303927
6,2,0.303916
8,2,0.303899
10,2,0.303877
12,2,0.30385
14,2,0.303817
16,2,0.30378
18,2,0.303738
20,2,0.303691
22,2,0.30364
24,2,0.303584
26,2,0.303526
28,2,0.303463
30,2,0.303398
32,2,0.303329
34,2,0.303258
36,2,0.303186
38,2,0.303111
40,2,0.303035
42,2,0.302958
44,2,0.30288
46,2,0.302802
48,2,0.302724
50,2,0.302647
52,2,0.302571
54,2,0.302496
56,2,0.302423
58,2,0.302351
60,2,0.302282
62,2,0.302216
64,2,0.302153
66,2,0.302093
68,2,0.302037
70,2,0.301985
72,2,0.301937
74,2,0.301893
76,2,0.301854
78,2,0.30182
80,2,0.301791
82,2,0.301766
84,2,0.301747
86,2,0.301734
88,2,0.301726
90,2,0.301723
92,2,0.301725
94,2,0.301733
96,2,0.301747
98,2,0.301766
100,2,0.30179
102,2,0.301819
104,2,0.301853
106,2,0.301892
108,2,0.301935
110,2,0.301983
112,2,0.302035
114,2,0.302091
116,2,0.302151
118,2,0.302214
120,2,0.30228
122,2,0.302348
124,2,0.302419
126,2,0.302493
128,2,0.302567
130,2,0.302644
132,2,0.302721
134,2,0.302798
136,2,0.302876
138,2,0.302953
140,2,0.30303
142,2,0.303106
144,2,0.303181
146,2,0.303254
148,2,0.303324
150,2,0.303393
152,2,0.303458
154,2,0.30352
156,2,0.303579
158,2,0.303634
160,2,0.303685
162,2,0.303732
164,2,0.303774
166,2,0.303812
168,2,0.303844
170,2,0.303871
172,2,0.303893
174,2,0.30391
176,2,0.303921
178,2,0.303927
180,2,0.303927
-180,4,0.310535
-178,4,0.310519
-176,4,0.31048
-174,4,0.310418
-172,4,0.310335
-170,4,0.310231
-168,4,0.310105
-166,4,0.30996
-164,4,0.309794
-162,4,0.30961
-160,4,0.309408
-158,4,0.309189
-156,4,0.308955
-154,4,0.308706
-152,4,0.308444
-150,4,0.30817
-148,4,0.307885
-146,4,0.307591
-144,4,0.30729
-142,4,0.306982
-140,4,0.306669
-138,4,0.306354
-136,4,0.306036
-134,4,0.305719
-132,4,0.305403
-130,4,0.30509
-128,4,0.304781
-126,4,0.304479
-124,4,0.304183
-122,4,0.303897
-120,4,0.30362
-118,4,0.303355
-116,4,0.303102
-114,4,0.302864
-112,4,0.30264
-110,4,0.302432
-108,4,0.302241
-106,4,0.302068
-104,4,0.301913
-102,4,0.301777
-100,4,0.301661
-98,4,0.301566
-96,4,0.301491
-94,4,0.301438
-92,4,0.301406
-90,4,0.301395
-88,4,0.301406
-86,4,0.301439
-84,4,0.301492
-82,4,0.301567
-80,4,0.301663
-78,4,0.301779
-76,4,0.301915
-74,4,0.30207
-72,4,0.302244
-70,4,0.302435
-68,4,0.302644
