Phi[deg],Theta[deg],RealizedGainTotal
-180,0,0.539997
-178,0,0.539997
-176,0,0.539997
-174,0,0.539997
-172,0,0.539997
-170,0,0.539997
-168,0,0.539997
-166,0,0.539997
-164,0,0.539997
-162,0,0.539997
-160,0,0.539997
-158,0,0.539997
-156,0,0.539997
-154,0,0.539997
-152,0,0.539997
-150,0,0.539997
-148,0,0.539997
-146,0,0.539997
-144,0,0.539997
-142,0,0.539997
-140,0,0.539997
-138,0,0.539997
-136,0,0.539997
-134,0,0.539997
-132,0,0.539997
-130,0,0.539997
-128,0,0.539997
-126,0,0.539997
-124,0,0.539997
-122,0,0.539997
-120,0,0.539997
-118,0,0.539997
-116,0,0.539997
-114,0,0.539997
-112,0,0.539997
-110,0,0.539997
-108,0,0.539997
-106,0,0.539997
-104,0,0.539997
-102,0,0.539997
-100,0,0.539997
-98,0,0.539997
-96,0,0.539997
-94,0,0.539997
-92,0,0.539997
-90,0,0.539997
-88,0,0.539997
-86,0,0.539997
-84,0,0.539997
-82,0,0.539997
-80,0,0.539997
-78,0,0.539997
-76,0,0.539997
-74,0,0.539997
-72,0,0.539997
-70,0,0.539997
-68,0,0.539997
-66,0,0.539997
-64,0,0.539997
-62,0,0.539997
-60,0,0.539997
-58,0,0.539997
-56,0,0.539997
-54,0,0.539997
-52,0,0.539997
-50,0,0.539997
-48,0,0.539997
-46,0,0.539997
-44,0,0.539997
-42,0,0.539997
-40,0,0.539997
-38,0,0.539997
-36,0,0.539997
-34,0,0.539997
-32,0,0.539997
-30,0,0.539997
-28,0,0.539997
-26,0,0.539997
-24,0,0.539997
-22,0,0.539997
-20,0,0.539997
-18,0,0.539997
-16,0,0.539997
-14,0,0.539997
-12,0,0.539997
-10,0,0.539997
-8,0,0.539997
-6,0,0.539997
-4,0,0.539997
-2,0,0.539997
0,0,0.539997
2,0,0.539997
4,0,0.539997
6,0,0.539997
8,0,0.539997
10,0,0.539997
12,0,0.539997
14,0,0.539997
16,0,0.539997
18,0,0.539997
20,0,0.539997
22,0,0.539997
24,0,0.539997
26,0,0.539997
28,0,0.539997
30,0,0.539997
32,0,0.539997
34,0,0.539997
36,0,0.539997
38,0,0.539997
40,0,0.539997
42,0,0.539997
44,0,0.539997
46,0,0.539997
48,0,0.539997
50,0,0.539997
52,0,0.539997
54,0,0.539997
56,0,0.539997
58,0,0.539997
60,0,0.539997
62,0,0.539997
64,0,0.539997
66,0,0.539997
68,0,0.539997
70,0,0.539997
72,0,0.539997
74,0,0.539997
76,0,0.539997
78,0,0.539997
80,0,0.539997
82,0,0.539997
84,0,0.539997
86,0,0.539997
88,0,0.539997
90,0,0.539997
92,0,0.539997
94,0,0.539997
96,0,0.539997
98,0,0.539997
100,0,0.539997
102,0,0.539997
104,0,0.539997
106,0,0.539997
108,0,0.539997
110,0,0.539997
112,0,0.539997
114,0,0.539997
116,0,0.539997
118,0,0.539997
120,0,0.539997
122,0,0.539997
124,0,0.539997
126,0,0.539997
128,0,0.539997
130,0,0.539997
132,0,0.539997
134,0,0.539997
136,0,0.539997
138,0,0.539997
140,0,0.539997
142,0,0.539997
144,0,0.539997
146,0,0.539997
148,0,0.539997
150,0,0.539997
152,0,0.539997
154,0,0.539997
156,0,0.539997
158,0,0.539997
160,0,0.539997
162,0,0.539997
164,0,0.539997
166,0,0.539997
168,0,0.539997
170,0,0.539997
172,0,0.539997
174,0,0.539997
176,0,0.539997
178,0,0.539997
180,0,0.539997
-180,2,0.550968
-178,2,0.550598
-176,2,0.550215
-174,2,0.549817
-172,2,0.549405
-170,2,0.548979
-168,2,0.54854
-166,2,0.548088
-164,2,0.547624
-162,2,0.547147
-160,2,0.546658
-158,2,0.546158
-156,2,0.545647
-154,2,0.545126
-152,2,0.544594
-150,2,0.544053
-148,2,0.543503
-146,2,0.542945
-144,2,0.542378
-142,2,0.541805
-140,2,0.541224
-138,2,0.540638
-136,2,0.540047
-134,2,0.539451
-132,2,0.538851
-130,2,0.538248
-128,2,0.537643
-126,2,0.537036
-124,2,0.536428
-122,2,0.53582
-120,2,0.535213
-118,2,0.534608
-116,2,0.534005
-114,2,0.533405
-112,2,0.53281
-110,2,0.53222
-108,2,0.531636
-106,2,0.531058
-104,2,0.530489
-102,2,0.529928
-100,2,0.529376
-98,2,0.528835
-96,2,0.528305
-94,2,0.527788
-92,2,0.527283
-90,2,0.526792
-88,2,0.526316
-86,2,0.525855
-84,2,0.525411
-82,2,0.524983
-80,2,0.524574
-78,2,0.524183
-76,2,0.523811
-74,2,0.523459
-72,2,0.523127
-70,2,0.522816
-68,2,0.522527
-66,2,0.522261
-64,2,0.522017
-62,2,0.521796
-60,2,0.521598
-58,2,0.521425
-56,2,0.521276
-54,2,0.521151
-52,2,0.521051
-50,2,0.520976
-48,2,0.520926
-46,2,0.520901
-44,2,0.520901
-42,2,0.520927
-40,2,0.520977
-38,2,0.521053
-36,2,0.521154
-34,2,0.521279
-32,2,0.521429
-30,2,0.521603
-28,2,0.521801
-26,2,0.522023
-24,2,0.522267
-22,2,0.522535
-20,2,0.522824
-18,2,0.523135
-16,2,0.523467
-14,2,0.52382
-12,2,0.524193
-10,2,0.524584
-8,2,0.524994
-6,2,0.525422
-4,2,0.525867
-2,2,0.526328
0,2,0.526805
2,2,0.527296
4,2,0.527801
6,2,0.528319
8,2,0.528849
10,2,0.52939
12,2,0.529942
14,2,0.530503
16,2,0.531073
18,2,0.53165
20,2,0.532235
22,2,0.532825
24,2,0.53342
26,2,0.53402
28,2,0.534623
30,2,0.535228
32,2,0.535835
34,2,0.536443
36,2,0.537051
38,2,0.537658
40,2,0.538263
42,2,0.538866
44,2,0.539466
46,2,0.540062
48,2,0.540653
50,2,0.541239
52,2,0.541819
54,2,0.542392
56,2,0.542959
58,2,0.543517
60,2,0.544067
62,2,0.544607
64,2,0.545139
66,2,0.54566
68,2,0.546171
70,2,0.546671
72,2,0.547159
74,2,0.547635
76,2,0.548099
78,2,0.548551
80,2,0.54899
82,2,0.549415
84,2,0.549826
86,2,0.550224
88,2,0.550608
90,2,0.550977
92,2,0.551331
94,2,0.55167
96,2,0.551995
98,2,0.552304
100,2,0.552598
102,2,0.552876
104,2,0.553138
106,2,0.553385
108,2,0.553615
110,2,0.553829
112,2,0.554028
114,2,0.55421
116,2,0.554375
118,2,0.554524
120,2,0.554657
122,2,0.554773
124,2,0.554873
126,2,0.554956
128,2,0.555022
130,2,0.555072
132,2,0.555105
134,2,0.555122
136,2,0.555122
138,2,0.555105
140,2,0.555071
142,2,0.555021
144,2,0.554954
146,2,0.554871
148,2,0.554771
150,2,0.554654
152,2,0.554521
154,2,0.554371
156,2,0.554205
158,2,0.554023
160,2,0.553824
162,2,0.55361
164,2,0.553379
166,2,0.553132
168,2,0.552869
170,2,0.552591
172,2,0.552297
174,2,0.551987
176,2,0.551662
178,2,0.551323
180,2,0.550968
-180,4,0.559905
-178,4,0.559275
-176,4,0.558615
-174,4,0.557926
-172,4,0.557207
-170,4,0.556459
-168,4,0.555682
-166,4,0.554875
-164,4,0.55404
-162,4,0.553176
-160,4,0.552284
-158,4,0.551364
-156,4,0.550417
-154,4,0.549442
-152,4,0.548442
-150,4,0.547416
-148,4,0.546365
-146,4,0.54529
-144,4,0.544192
-142,4,0.543073
-140,4,0.541932
-138,4,0.540771
-136,4,0.539591
-134,4,0.538394
-132,4,0.537182
-130,4,0.535954
-128,4,0.534714
-126,4,0.533462
-124,4,0.532201
-122,4,0.530931
-120,4,0.529656
-118,4,0.528376
-116,4,0.527093
-114,4,0.525811
-112,4,0.52453
-110,4,0.523253
-108,4,0.521982
-106,4,0.52072
-104,4,0.519467
-102,4,0.518228
-100,4,0.517004
-98,4,0.515796
-96,4,0.514609
-94,4,0.513444
-92,4,0.512302
-90,4,0.511188
-88,4,0.510102
-86,4,0.509048
-84,4,0.508027
-82,4,0.507042
-80,4,0.506094
-78,4,0.505187
-76,4,0.504321
-74,4,0.503499
-72,4,0.502723
-70,4,0.501995
-68,4,0.501315
-66,4,0.500687
-64,4,0.500111
-62,4,0.499588
-60,4,0.49912
-58,4,0.498709
-56,4,0.498354
-54,4,0.498058
-52,4,0.497819
-50,4,0.497641
-48,4,0.497521
-46,4,0.497462
-44,4,0.497463
-42,4,0.497524
-40,4,0.497645
-38,4,0.497825
-36,4,0.498065
-34,4,0.498363
-32,4,0.498719
-30,4,0.499132
-28,4,0.499601
-26,4,0.500125
-24,4,0.500702
-22,4,0.501332
-20,4,0.502013
-18,4,0.502743
-16,4,0.50352
-14,4,0.504343
-12,4,0.50521
-10,4,0.506118
-8,4,0.507067
-6,4,0.508053
-4,4,0.509075
-2,4,0.51013
0,4,0.511216
2,4,0.512331
4,4,0.513473
6,4,0.514639
8,4,0.515827
10,4,0.517034
12,4,0.518259
14,4,0.519499
16,4,0.520751
18,4,0.522014
20,4,0.523285
22,4,0.524562
24,4,0.525843
26,4,0.527125
28,4,0.528407
30,4,0.529687
32,4,0.530962
34,4,0.532231
36,4,0.533493
38,4,0.534744
40,4,0.535984
42,4,0.537211
44,4,0.538423
46,4,0.53962
48,4,0.540798
50,4,0.541959
52,4,0.543099
54,4,0.544218
56,4,0.545315
58,4,0.54639
60,4,0.54744
62,4,0.548465
64,4,0.549465
66,4,0.550438
68,4,0.551385
70,4,0.552304
72,4,0.553195
74,4,0.554059
76,4,0.554893
78,4,0.555699
80,4,0.556475
82,4,0.557223
84,4,0.557941
86,4,0.558629
88,4,0.559288
90,4,0.559918
92,4,0.560518
94,4,0.56109
96,4,0.561631
98,4,0.562144
100,4,0.562628
102,4,0.563084
104,4,0.563511
106,4,0.56391
108,4,0.564281
110,4,0.564624
112,4,0.56494
114,4,0.565228
116,4,0.56549
118,4,0.565724
120,4,0.565932
122,4,0.566113
124,4,0.566269
126,4,0.566398
128,4,0.566501
130,4,0.566578
132,4,0.566629
134,4,0.566654
136,4,0.566654
138,4,0.566628
140,4,0.566576
142,4,0.566499
144,4,0.566395
146,4,0.566266
148,4,0.56611
150,4,0.565928
152,4,0.565719
154,4,0.565484
156,4,0.565222
158,4,0.564933
160,4,0.564617
162,4,0.564273
164,4,0.563902
166,4,0.563502
168,4,0.563075
170,4,0.562619
172,4,0.562134
174,4,0.56162
176,4,0.561078
178,4,0.560506
180,4,0.559905
-180,6,0.566972
-178,6,0.566174
-176,6,0.565331
-174,6,0.564441
-172,6,0.563506
-170,6,0.562523
-168,6,0.561492
-166,6,0.560413
-164,6,0.559286
-162,6,0.558111
-160,6,0.556887
-158,6,0.555614
-156,6,0.554293
-154,6,0.552924
-152,6,0.551507
-150,6,0.550043
-148,6,0.548532
-146,6,0.546976
-144,6,0.545374
-142,6,0.54373
-140,6,0.542043
-138,6,0.540315
-136,6,0.538547
-134,6,0.536743
-132,6,0.534902
-130,6,0.533028
-128,6,0.531123
-126,6,0.529188
-124,6,0.527228
-122,6,0.525243
-120,6,0.523238
-118,6,0.521215
-116,6,0.519177
-114,6,0.517128
-112,6,0.515072
-110,6,0.513011
-108,6,0.51095
-106,6,0.508892
-104,6,0.506842
-102,6,0.504804
-100,6,0.502781
-98,6,0.500779
-96,6,0.4988
-94,6,0.496851
-92,6,0.494935
-90,6,0.493056
-88,6,0.49122
-86,6,0.48943
-84,6,0.487691
-82,6,0.486007
-80,6,0.484383
-78,6,0.482823
-76,6,0.481331
-74,6,0.47991
-72,6,0.478566
-70,6,0.477301
-68,6,0.476119
-66,6,0.475023
-64,6,0.474016
-62,6,0.473102
-60,6,0.472283
-58,6,0.471561
-56,6,0.470938
-54,6,0.470417
-52,6,0.469998
-50,6,0.469683
-48,6,0.469473
-46,6,0.469369
-44,6,0.46937
-42,6,0.469477
-40,6,0.46969
-38,6,0.470007
-36,6,0.470429
-34,6,0.470953
-32,6,0.471578
-30,6,0.472303
-28,6,0.473124
-26,6,0.474041
-24,6,0.475049
-22,6,0.476147
-20,6,0.477332
-18,6,0.478599
-16,6,0.479945
-14,6,0.481367
-12,6,0.482861
-10,6,0.484423
-8,6,0.486048
-6,6,0.487733
-4,6,0.489474
-2,6,0.491265
0,6,0.493102
2,6,0.494982
4,6,0.496899
6,6,0.498849
8,6,0.500828
10,6,0.502831
12,6,0.504853
14,6,0.506892
16,6,0.508942
18,6,0.511
20,6,0.51306
22,6,0.515121
24,6,0.517177
26,6,0.519225
28,6,0.521262
30,6,0.523285
32,6,0.525289
34,6,0.527273
36,6,0.529233
38,6,0.531166
40,6,0.53307
42,6,0.534943
44,6,0.536783
46,6,0.538586
48,6,0.540352
50,6,0.542079
52,6,0.543765
54,6,0.545408
56,6,0.547008
58,6,0.548563
60,6,0.550073
62,6,0.551536
64,6,0.552951
66,6,0.554319
68,6,0.555639
70,6,0.556911
72,6,0.558133
74,6,0.559308
76,6,0.560433
78,6,0.561511
80,6,0.56254
82,6,0.563522
84,6,0.564457
86,6,0.565345
88,6,0.566188
90,6,0.566985
92,6,0.567738
94,6,0.568447
96,6,0.569114
98,6,0.56974
100,6,0.570324
102,6,0.570869
104,6,0.571376
106,6,0.571844
108,6,0.572276
110,6,0.572673
112,6,0.573034
114,6,0.573362
116,6,0.573657
118,6,0.57392
120,6,0.574151
122,6,0.574352
124,6,0.574523
126,6,0.574665
128,6,0.574778
130,6,0.574862
132,6,0.574918
134,6,0.574945
136,6,0.574945
138,6,0.574917
140,6,0.574861
142,6,0.574776
144,6,0.574663
146,6,0.574521
148,6,0.57435
150,6,0.574148
152,6,0.573916
154,6,0.573653
156,6,0.573358
158,6,0.573029
160,6,0.572667
162,6,0.57227
164,6,0.571837
166,6,0.571368
168,6,0.570861
170,6,0.570316
172,6,0.56973
174,6,0.569104
176,6,0.568436
178,6,0.567726
180,6,0.566972
-180,8,0.572285
-178,8,0.571394
-176,8,0.570442
-174,8,0.569426
-172,8,0.568344
-170,8,0.567196
-168,8,0.56598
-166,8,0.564694
-164,8,0.563338
-162,8,0.56191
-160,8,0.560411
-158,8,0.558838
-156,8,0.557193
-154,8,0.555475
-152,8,0.553683
-150,8,0.551818
-148,8,0.54988
-146,8,0.54787
-144,8,0.545789
-142,8,0.543638
-140,8,0.541418
-138,8,0.53913
-136,8,0.536776
-134,8,0.534358
-132,8,0.531879
-130,8,0.52934
-128,8,0.526745
-126,8,0.524096
-124,8,0.521397
-122,8,0.518652
-120,8,0.515863
-118,8,0.513037
-116,8,0.510175
-114,8,0.507284
-112,8,0.504369
-110,8,0.501434
-108,8,0.498486
-106,8,0.495529
-104,8,0.492571
-102,8,0.489617
-100,8,0.486673
-98,8,0.483747
-96,8,0.480846
-94,8,0.477976
-92,8,0.475144
-90,8,0.472358
-88,8,0.469626
-86,8,0.466954
-84,8,0.46435
-82,8,0.461821
-80,8,0.459375
-78,8,0.457018
-76,8,0.454758
-74,8,0.452603
-72,8,0.450557
-70,8,0.448628
-68,8,0.446823
-66,8,0.445146
-64,8,0.443603
-62,8,0.442199
-60,8,0.44094
-58,8,0.439828
-56,8,0.438869
-54,8,0.438065
-52,8,0.437418
-50,8,0.436932
-48,8,0.436608
-46,8,0.436446
-44,8,0.436448
-42,8,0.436614
-40,8,0.436942
-38,8,0.437432
-36,8,0.438082
-34,8,0.43889
-32,8,0.439854
-30,8,0.440969
-28,8,0.442232
-26,8,0.443639
-24,8,0.445185
-22,8,0.446865
-20,8,0.448674
-18,8,0.450605
-16,8,0.452653
-14,8,0.454812
-12,8,0.457074
-10,8,0.459432
-8,8,0.461881
-6,8,0.464411
-4,8,0.467017
-2,8,0.46969
0,8,0.472424
2,8,0.475211
4,8,0.478043
6,8,0.480914
8,8,0.483816
10,8,0.486742
12,8,0.489685
14,8,0.492639
16,8,0.495597
18,8,0.498553
20,8,0.501501
22,8,0.504435
24,8,0.507349
26,8,0.510239
28,8,0.513099
30,8,0.515924
32,8,0.518711
34,8,0.521455
36,8,0.524152
38,8,0.526799
40,8,0.529392
42,8,0.531929
44,8,0.534406
46,8,0.536822
48,8,0.539173
