Phi[deg],Theta[deg],RealizedGainTotal
-180,0,0.0037365
-178,0,0.0037365
-176,0,0.0037365
-174,0,0.0037365
-172,0,0.0037365
-170,0,0.0037365
-168,0,0.0037365
-166,0,0.0037365
-164,0,0.0037365
-162,0,0.0037365
-160,0,0.0037365
-158,0,0.0037365
-156,0,0.0037365
-154,0,0.0037365
-152,0,0.0037365
-150,0,0.0037365
-148,0,0.0037365
-146,0,0.0037365
-144,0,0.0037365
-142,0,0.0037365
-140,0,0.0037365
-138,0,0.0037365
-136,0,0.0037365
-134,0,0.0037365
-132,0,0.0037365
-130,0,0.0037365
-128,0,0.0037365
-126,0,0.0037365
-124,0,0.0037365
-122,0,0.0037365
-120,0,0.0037365
-118,0,0.0037365
-116,0,0.0037365
-114,0,0.0037365
-112,0,0.0037365
-110,0,0.0037365
-108,0,0.0037365
-106,0,0.0037365
-104,0,0.0037365
-102,0,0.0037365
-100,0,0.0037365
-98,0,0.0037365
-96,0,0.0037365
-94,0,0.0037365
-92,0,0.0037365
-90,0,0.0037365
-88,0,0.0037365
-86,0,0.0037365
-84,0,0.0037365
-82,0,0.0037365
-80,0,0.0037365
-78,0,0.0037365
-76,0,0.0037365
-74,0,0.0037365
-72,0,0.0037365
-70,0,0.0037365
-68,0,0.0037365
-66,0,0.0037365
-64,0,0.0037365
-62,0,0.0037365
-60,0,0.0037365
-58,0,0.0037365
-56,0,0.0037365
-54,0,0.0037365
-52,0,0.0037365
-50,0,0.0037365
-48,0,0.0037365
-46,0,0.0037365
-44,0,0.0037365
-42,0,0.0037365
-40,0,0.0037365
-38,0,0.0037365
-36,0,0.0037365
-34,0,0.0037365
-32,0,0.0037365
-30,0,0.0037365
-28,0,0.0037365
-26,0,0.0037365
-24,0,0.0037365
-22,0,0.0037365
-20,0,0.0037365
-18,0,0.0037365
-16,0,0.0037365
-14,0,0.0037365
-12,0,0.0037365
-10,0,0.0037365
-8,0,0.0037365
-6,0,0.0037365
-4,0,0.0037365
-2,0,0.0037365
0,0,0.0037365
2,0,0.0037365
4,0,0.0037365
6,0,0.0037365
8,0,0.0037365
10,0,0.0037365
12,0,0.0037365
14,0,0.0037365
16,0,0.0037365
18,0,0.0037365
20,0,0.0037365
22,0,0.0037365
24,0,0.0037365
26,0,0.0037365
28,0,0.0037365
30,0,0.0037365
32,0,0.0037365
34,0,0.0037365
36,0,0.0037365
38,0,0.0037365
40,0,0.0037365
42,0,0.0037365
44,0,0.0037365
46,0,0.0037365
48,0,0.0037365
50,0,0.0037365
52,0,0.0037365
54,0,0.0037365
56,0,0.0037365
58,0,0.0037365
60,0,0.0037365
62,0,0.0037365
64,0,0.0037365
66,0,0.0037365
68,0,0.0037365
70,0,0.0037365
72,0,0.0037365
74,0,0.0037365
76,0,0.0037365
78,0,0.0037365
80,0,0.0037365
82,0,0.0037365
84,0,0.0037365
86,0,0.0037365
88,0,0.0037365
90,0,0.0037365
92,0,0.0037365
94,0,0.0037365
96,0,0.0037365
98,0,0.0037365
100,0,0.0037365
102,0,0.0037365
104,0,0.0037365
106,0,0.0037365
108,0,0.0037365
110,0,0.0037365
112,0,0.0037365
114,0,0.0037365
116,0,0.0037365
118,0,0.0037365
120,0,0.0037365
122,0,0.0037365
124,0,0.0037365
126,0,0.0037365
128,0,0.0037365
130,0,0.0037365
132,0,0.0037365
134,0,0.0037365
136,0,0.0037365
138,0,0.0037365
140,0,0.0037365
142,0,0.0037365
144,0,0.0037365
146,0,0.0037365
148,0,0.0037365
150,0,0.0037365
152,0,0.0037365
154,0,0.0037365
156,0,0.0037365
158,0,0.0037365
160,0,0.0037365
162,0,0.0037365
164,0,0.0037365
166,0,0.0037365
168,0,0.0037365
170,0,0.0037365
