"AntennaAngle [deg]","Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
15,0.02,0,-180,5.0909467012409e-08
15,0.02,0,-179,0.00131128401397524
15,0.02,0,-178,0.00520597646340097
15,0.02,0,-177,0.0115977134941557
15,0.02,0,-176,0.0203451154855545
15,0.02,0,-175,0.0312556089166972
15,0.02,0,-174,0.0440905383127345
15,0.02,0,-173,0.0585714603507275
15,0.02,0,-172,0.0743874261066984
15,0.02,0,-171,0.0912030292555508
15,0.02,0,-170,0.108666977808944
15,0.02,0,-169,0.126420935286683
15,0.02,0,-168,0.144108374309098
15,0.02,0,-167,0.161383191363939
15,0.02,0,-166,0.177917845496486
15,0.02,0,-165,0.193410805142143
15,0.02,0,-164,0.207593115246556
15,0.02,0,-163,0.22023392996492
15,0.02,0,-162,0.231144893211953
15,0.02,0,-161,0.240183288670154
15,0.02,0,-160,0.247253921056322
15,0.02,0,-159,0.252309730034847
15,0.02,0,-158,0.255351175789349
15,0.02,0,-157,0.256424469709103
15,0.02,0,-156,0.255618753890617
15,0.02,0,-155,0.25306235839502
15,0.02,0,-154,0.248918284874094
15,0.02,0,-153,0.243379078962571
15,0.02,0,-152,0.236661261652646
15,0.02,0,-151,0.228999491865542
15,0.02,0,-150,0.220640628963846
15,0.02,0,-149,0.211837855529197
15,0.02,0,-148,0.202845008022479
15,0.02,0,-147,0.193911246707359
15,0.02,0,-146,0.185276177273971
15,0.02,0,-145,0.177165515792551
15,0.02,0,-144,0.16978736679106
15,0.02,0,-143,0.163329162178559
15,0.02,0,-142,0.157955287151836
15,0.02,0,-141,0.153805398762965
15,0.02,0,-140,0.150993424023699
15,0.02,0,-139,0.149607207700964
15,0.02,0,-138,0.149708765623448
15,0.02,0,-137,0.15133508756673
15,0.02,0,-136,0.154499424700626
15,0.02,0,-135,0.159192990157312
15,0.02,0,-134,0.165386997416664
15,0.02,0,-133,0.173034959739179
15,0.02,0,-132,0.182075174583424
15,0.02,0,-131,0.192433319559151
15,0.02,0,-130,0.204025090697278
15,0.02,0,-129,0.216758819358764
15,0.02,0,-128,0.230538010649479
15,0.02,0,-127,0.245263753460624
15,0.02,0,-126,0.260836959934658
15,0.02,0,-125,0.27716040001019
15,0.02,0,-124,0.294140504500583
15,0.02,0,-123,0.311688917716311
15,0.02,0,-122,0.329723787791194
15,0.02,0,-121,0.348170789491079
15,0.02,0,-120,0.366963880277053
15,0.02,0,-119,0.386045795700727
15,0.02,0,-118,0.405368294791285
15,0.02,0,-117,0.424892169941881
15,0.02,0,-116,0.444587038927235
15,0.02,0,-115,0.464430939112229
15,0.02,0,-114,0.484409745685064
15,0.02,0,-113,0.504516436920181
15,0.02,0,-112,0.524750230105318
15,0.02,0,-111,0.545115611918335
15,0.02,0,-110,0.565621286778647
15,0.02,0,-109,0.58627906609175
15,0.02,0,-108,0.607102720417349
15,0.02,0,-107,0.628106815482589
15,0.02,0,-106,0.649305551687895
15,0.02,0,-105,0.670711625364126
15,0.02,0,-104,0.6923351285804
15,0.02,0,-103,0.71418250280948
15,0.02,0,-102,0.736255560262942
15,0.02,0,-101,0.75855058523553
15,0.02,0,-100,0.781057526364784
15,0.02,0,-99,0.803759289329651
15,0.02,0,-98,0.826631138186191
15,0.02,0,-97,0.849640212270327
15,0.02,0,-96,0.872745164383239
15,0.02,0,-95,0.895895924806994
15,0.02,0,-94,0.919033594566183
15,0.02,0,-93,0.942090470243407
15,0.02,0,-92,0.964990201558995
15,0.02,0,-91,0.987648081824683
15,0.02,0,-90,1.00997147026401
15,0.02,0,-89,1.03186034404715
15,0.02,0,-88,1.05320797670524
15,0.02,0,-87,1.07390173836265
15,0.02,0,-86,1.09382401195104
15,0.02,0,-85,1.1128532182491
15,0.02,0,-84,1.13086494122918
15,0.02,0,-83,1.1477331437996
15,0.02,0,-82,1.16333146262134
15,0.02,0,-81,1.17753456927048
15,0.02,0,-80,1.19021958363713
15,0.02,0,-79,1.20126752412449
15,0.02,0,-78,1.21056477796922
15,0.02,0,-77,1.21800457388107
15,0.02,0,-76,1.22348843822916
15,0.02,0,-75,1.22692761522244
15,0.02,0,-74,1.22824443097638
15,0.02,0,-73,1.22737358106186
15,0.02,0,-72,1.22426332112617
15,0.02,0,-71,1.21887654048635
15,0.02,0,-70,1.21119169924424
15,0.02,0,-69,1.201203610475
15,0.02,0,-68,1.18892405040515
15,0.02,0,-67,1.1743821812214
15,0.02,0,-66,1.15762477323048
15,0.02,0,-65,1.13871621550362
15,0.02,0,-64,1.11773830686301
15,0.02,0,-63,1.09478982206467
15,0.02,0,-62,1.06998585126184
15,0.02,0,-61,1.04345691424355
15,0.02,0,-60,1.01534785447977
15,0.02,0,-59,0.985816521605778
15,0.02,0,-58,0.95503225458052
15,0.02,0,-57,0.923174181290619
15,0.02,0,-56,0.890429353777241
15,0.02,0,-55,0.856990741472993
15,0.02,0,-54,0.823055107788313
15,0.02,0,-53,0.788820798024399
15,0.02,0,-52,0.754485468860325
15,0.02,0,-51,0.720243791520017
15,0.02,0,-50,0.686285162131111
15,0.02,0,-49,0.652791453710473
15,0.02,0,-48,0.619934844625572
15,0.02,0,-47,0.587875758268662
15,0.02,0,-46,0.556760948030281
15,0.02,0,-45,0.526721760463692
15,0.02,0,-44,0.497872607791756
15,0.02,0,-43,0.470309678626011
15,0.02,0,-42,0.444109912952151
15,0.02,0,-41,0.419330264098932
15,0.02,0,-40,0.396007266564879
15,0.02,0,-39,0.374156924250682
15,0.02,0,-38,0.353774928862147
15,0.02,0,-37,0.334837213044252
15,0.02,0,-36,0.317300837225695
15,0.02,0,-35,0.301105203251163
15,0.02,0,-34,0.286173581724885
15,0.02,0,-33,0.272414933668835
15,0.02,0,-32,0.25972600071412
15,0.02,0,-31,0.247993631714874
15,0.02,0,-30,0.237097307538498
15,0.02,0,-29,0.22691182000001
15,0.02,0,-28,0.217310055641808
15,0.02,0,-27,0.208165830495172
15,0.02,0,-26,0.199356718283968
15,0.02,0,-25,0.19076681193154
15,0.02,0,-24,0.182289356887626
15,0.02,0,-23,0.173829194864836
15,0.02,0,-22,0.165304958198796
15,0.02,0,-21,0.156650958320748
15,0.02,0,-20,0.147818716808964
15,0.02,0,-19,0.138778094164222
15,0.02,0,-18,0.129517979772424
15,0.02,0,-17,0.120046516346479
15,0.02,0,-16,0.110390843284548
15,0.02,0,-15,0.100596355581402
15,0.02,0,-14,0.0907254878612913
15,0.02,0,-13,0.0808560463880979
15,0.02,0,-12,0.0710791251336415
15,0.02,0,-11,0.0614966547023698
15,0.02,0,-10,0.0522186446644646
15,0.02,0,-9,0.0433601901923451
15,0.02,0,-8,0.0350383224086886
15,0.02,0,-7,0.0273687881663624
15,0.02,0,-6,0.0204628487877622
15,0.02,0,-5,0.0144241883716116
15,0.02,0,-4,0.00934602050430493
15,0.02,0,-3,0.00530847757101704
15,0.02,0,-2,0.00237635943989903
15,0.02,0,-1,0.000597308291464716
15,0.02,0,0,4.64089574305132e-07
15,0.02,0,1,0.000595641038556153
15,0.02,0,2,0.00237304981933264
15,0.02,0,3,0.00530357398113432
15,0.02,0,4,0.0093395921562113
15,0.02,0,5,0.0144163213470339
15,0.02,0,6,0.0204536409806151
15,0.02,0,7,0.0273583432681102
15,0.02,0,8,0.0350267431263377
15,0.02,0,9,0.043347570909874
15,0.02,0,10,0.0522050637730486
15,0.02,0,11,0.0614821668315428
15,0.02,0,12,0.0710637535145544
15,0.02,0,13,0.0808397755716186
15,0.02,0,14,0.090708256998452
15,0.02,0,15,0.100578052452546
15,0.02,0,16,0.110371299237556
15,0.02,0,17,0.120025502274928
15,0.02,0,18,0.129495203232806
15,0.02,0,19,0.138753197698789
15,0.02,0,20,0.14779127750869
15,0.02,0,21,0.156620488632504
15,0.02,0,22,0.165270907953153
15,0.02,0,23,0.17379095447671
15,0.02,0,24,0.182246261661889
15,0.02,0,25,0.190718147389895
15,0.02,0,26,0.199301726417946
15,0.02,0,27,0.208103716842734
15,0.02,0,28,0.217239997081254
15,0.02,0,29,0.226832973154099
15,0.02,0,30,0.237008817683022
15,0.02,0,31,0.247894642088641
15,0.02,0,32,0.259615662130466
15,0.02,0,33,0.27229241433174
15,0.02,0,34,0.286038077154777
15,0.02,0,35,0.300955946226133
15,0.02,0,36,0.317137107642888
15,0.02,0,37,0.334658347603562
15,0.02,0,38,0.353580330470268
15,0.02,0,39,0.373946071038465
15,0.02,0,40,0.395779720405414
