"AntennaAngle [deg]","Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
15,0.02,0,-180,0.384418593291203
15,0.02,0,-179,0.383695827609094
15,0.02,0,-178,0.381537196493217
15,0.02,0,-177,0.377974004452612
15,0.02,0,-176,0.373057668307977
15,0.02,0,-175,0.366858602781961
15,0.02,0,-174,0.359464703701984
15,0.02,0,-173,0.350979470416723
15,0.02,0,-172,0.341519818497702
15,0.02,0,-171,0.331213641589143
15,0.02,0,-170,0.320197187148658
15,0.02,0,-169,0.30861231462866
15,0.02,0,-168,0.296603706301638
15,0.02,0,-167,0.284316100429874
15,0.02,0,-166,0.27189161389738
15,0.02,0,-165,0.259467216907031
15,0.02,0,-164,0.247172416111511
15,0.02,0,-163,0.235127194858926
15,0.02,0,-162,0.223440250400246
15,0.02,0,-161,0.212207558261289
15,0.02,0,-160,0.201511283875389
15,0.02,0,-159,0.191419051352374
15,0.02,0,-158,0.181983569259451
15,0.02,0,-157,0.173242603818545
15,0.02,0,-156,0.165219281255361
15,0.02,0,-155,0.157922693396318
15,0.02,0,-154,0.151348774179256
15,0.02,0,-153,0.14548140964777
15,0.02,0,-152,0.140293740308338
15,0.02,0,-151,0.135749612462099
15,0.02,0,-150,0.131805134247884
15,0.02,0,-149,0.128410292573527
15,0.02,0,-148,0.12551058875433
15,0.02,0,-147,0.123048653375467
15,0.02,0,-146,0.12096580448076
15,0.02,0,-145,0.119203517480595
15,0.02,0,-144,0.117704779976512
15,0.02,0,-143,0.116415309829715
15,0.02,0,-142,0.115284620072749
15,0.02,0,-141,0.114266919508321
15,0.02,0,-140,0.113321842904543
15,0.02,0,-139,0.11241500945044
15,0.02,0,-138,0.111518412471569
15,0.02,0,-137,0.110610647239462
15,0.02,0,-136,0.109676986981424
15,0.02,0,-135,0.108709319873855
15,0.02,0,-134,0.107705961869826
15,0.02,0,-133,0.106671361677299
15,0.02,0,-132,0.105615715092633
15,0.02,0,-131,0.104554506244068
15,0.02,0,-130,0.103507993162149
15,0.02,0,-129,0.10250065452746
15,0.02,0,-128,0.101560613514984
15,0.02,0,-127,0.100719053425801
15,0.02,0,-126,0.100009638338053
15,0.02,0,-125,0.0994679503854265
15,0.02,0,-124,0.099130953544662
15,0.02,0,-123,0.09903649204035
15,0.02,0,-122,0.0992228297063819
15,0.02,0,-121,0.0997282349226231
15,0.02,0,-120,0.100590614109711
15,0.02,0,-119,0.101847195244005
15,0.02,0,-118,0.10353426147148
15,0.02,0,-117,0.10568693366991
15,0.02,0,-116,0.108338999743175
15,0.02,0,-115,0.111522787534611
15,0.02,0,-114,0.115269077517872
15,0.02,0,-113,0.119607050859742
15,0.02,0,-112,0.124564268042213
15,0.02,0,-111,0.130166672970992
15,0.02,0,-110,0.136438617372556
15,0.02,0,-109,0.143402900278607
15,0.02,0,-108,0.151080817501576
15,0.02,0,-107,0.15949221620329
15,0.02,0,-106,0.168655549937201
15,0.02,0,-105,0.178587929888995
15,0.02,0,-104,0.189305168438234
15,0.02,0,-103,0.200821811602955
15,0.02,0,-102,0.213151157399043
15,0.02,0,-101,0.22630525763699
15,0.02,0,-100,0.240294901181669
15,0.02,0,-99,0.255129577208563
15,0.02,0,-98,0.270817417496018
15,0.02,0,-97,0.287365117292056
15,0.02,0,-96,0.304777834781504
15,0.02,0,-95,0.323059069650829
15,0.02,0,-94,0.342210521700828
15,0.02,0,-93,0.362231930888669
15,0.02,0,-92,0.383120900588097
15,0.02,0,-91,0.404872706238214
15,0.02,0,-90,0.427480091904869
15,0.02,0,-89,0.450933057602778
15,0.02,0,-88,0.475218640519073
15,0.02,0,-87,0.500320693538212
15,0.02,0,-86,0.526219664692022
15,0.02,0,-85,0.552892381345056
15,0.02,0,-84,0.580311843072003
15,0.02,0,-83,0.608447027288486
15,0.02,0,-82,0.637262711756504
15,0.02,0,-81,0.666719318098797
15,0.02,0,-80,0.696772780420054
15,0.02,0,-79,0.727374443044892
15,0.02,0,-78,0.758470991240889
15,0.02,0,-77,0.790004418598207
15,0.02,0,-76,0.821912034483817
15,0.02,0,-75,0.854126514678037
15,0.02,0,-74,0.886575997933553
15,0.02,0,-73,0.919184230773367
15,0.02,0,-72,0.951870762366114
15,0.02,0,-71,0.984551190787143
15,0.02,0,-70,1.01713746139603
15,0.02,0,-69,1.04953821744006
15,0.02,0,-68,1.08165920233497
15,0.02,0,-67,1.11340371238567
15,0.02,0,-66,1.14467309799923
15,0.02,0,-65,1.17536731071849
15,0.02,0,-64,1.20538549267825
15,0.02,0,-63,1.23462660436668
15,0.02,0,-62,1.26299008587501
15,0.02,0,-61,1.29037654614919
15,0.02,0,-60,1.31668847413117
15,0.02,0,-59,1.3418309651062
15,0.02,0,-58,1.36571245506778
15,0.02,0,-57,1.38824545548528
15,0.02,0,-56,1.40934728052086
15,0.02,0,-55,1.42894075850209
15,0.02,0,-54,1.4469549193223
15,0.02,0,-53,1.46332564941986
15,0.02,0,-52,1.47799630608461
15,0.02,0,-51,1.49091828305863
15,0.02,0,-50,1.50205151974043
15,0.02,0,-49,1.51136494676634
15,0.02,0,-48,1.51883686132747
15,0.02,0,-47,1.5244552262806
15,0.02,0,-46,1.52821788791985
15,0.02,0,-45,1.53013270818469
15,0.02,0,-44,1.53021760807745
15,0.02,0,-43,1.52850052013867
15,0.02,0,-42,1.52501924896635
15,0.02,0,-41,1.51982123995099
15,0.02,0,-40,1.51296325761522
15,0.02,0,-39,1.50451097617696
15,0.02,0,-38,1.4945384861805
15,0.02,0,-37,1.48312772224123
15,0.02,0,-36,1.47036781810722
15,0.02,0,-35,1.45635439633563
15,0.02,0,-34,1.44118880089353
15,0.02,0,-33,1.42497728190274
15,0.02,0,-32,1.40783014253772
15,0.02,0,-31,1.38986085873697
15,0.02,0,-30,1.37118518288561
15,0.02,0,-29,1.35192024295495
15,0.02,0,-28,1.3321836487314
15,0.02,0,-27,1.31209261672187
15,0.02,0,-26,1.2917631250783
15,0.02,0,-25,1.27130910943663
15,0.02,0,-24,1.25084170991396
15,0.02,0,-23,1.23046857865689
15,0.02,0,-22,1.21029325629077
15,0.02,0,-21,1.19041462439787
15,0.02,0,-20,1.17092643976845
15,0.02,0,-19,1.15191695464569
15,0.02,0,-18,1.13346862554973
15,0.02,0,-17,1.11565791154946
15,0.02,0,-16,1.09855516108718
15,0.02,0,-15,1.08222458469121
15,0.02,0,-14,1.06672430917322
15,0.02,0,-13,1.0521065072447
15,0.02,0,-12,1.03841759494165
15,0.02,0,-11,1.02569848785996
15,0.02,0,-10,1.01398490601503
