"AntennaAngle [deg]","Freq [MHz]","re(Z(1,1)) []","im(Z(1,1)) []"
15,20,240.53102673726,328.869729466651
15,21,373.999690144511,548.670482498386
15,22,1187.00028616342,781.015532421052
15,23,2624.99725782539,2730.73455221118
15,24,277.132115687965,-894.176425934814
15,25,162.306525956835,-567.68840468212
15,26,117.478573159516,-425.669220562021
15,27,93.3737872186381,-339.355591973578
15,28,78.8703622492054,-277.770065253691
15,29,70.2811871082081,-229.515753585134
15,30,65.955254704256,-189.613885037708
15,31,64.7950542397497,-155.567007316711
15,32,65.9823587712254,-125.784461550561
15,33,69.0869617194734,-99.1157355252827
15,34,73.9625176225891,-74.8906505946766
15,35,80.3637084452482,-52.8512655983824
15,36,87.6767890868555,-32.6909817544256
15,37,95.2259901099943,-13.4824943858309
15,38,103.013963437801,6.30987229316572
15,39,112.024835289119,28.1597827107668
15,40,123.735578715913,53.0812609760112
15,41,139.623761435419,82.3278376498764
15,42,162.219763143178,119.241479152216
15,43,200.323222099016,170.795592652616
15,44,282.616556435267,241.996109369815
15,45,472.661199031125,290.438608802901
15,46,734.679049485008,182.653329869657
15,47,1003.2531921349,-564.631620067784
15,48,340.680609752984,-547.950697288207
15,49,200.38719413317,-416.349916725162
15,50,141.748664891161,-336.616929943809
30,20,397.324772721409,409.490489002162
30,21,695.511606844299,463.187298814013
30,22,1473.47648938649,560.436001951861
30,23,628.643907832038,-818.148859958739
30,24,339.989698068076,-578.578712411076
30,25,229.29304289797,-460.926335147953
30,26,169.570019312926,-382.257871855606
30,27,132.793890525175,-323.385741043416
30,28,108.165612401744,-276.247290431104
30,29,90.673167304402,-236.335858074355
30,30,77.9394897074824,-200.784961673395
30,31,68.9554804463824,-167.71522024147
30,32,63.5293101119075,-135.905862267528
30,33,62.0840426161388,-104.818298023297
30,34,65.1485869813552,-74.8955726612229
30,35,72.3559577113766,-47.2280514441786
30,36,82.2474353187442,-22.1074210180947
30,37,93.8338037223969,1.76977686654725
30,38,107.892246842734,26.0565749968261
30,39,126.488643609721,51.3182719579928
30,40,151.9657733966,76.6048767092436
30,41,185.718263539444,99.5803932566105
30,42,226.804423908049,119.201187438544
30,43,278.505427267462,141.64068174406
30,44,368.573929414773,168.011896969327
30,45,540.660351593902,134.189195081178
30,46,678.580306407943,-109.070261891208
30,47,531.32906295581,-357.058688005355
30,48,339.18509683342,-391.671159759799
30,49,228.098484258594,-352.492930793162
30,50,166.932369285598,-307.445928673232
45,20,487.029246257894,358.674329890487
45,21,832.795186347863,374.742067765305
45,22,995.726782810195,-425.83832710358
45,23,563.150161872442,-488.634121498303
45,24,394.562304982526,-458.824477602064
45,25,284.623327023455,-423.835026189664
45,26,205.921164944047,-381.133878790611
45,27,151.040208626465,-335.63355451147
45,28,113.131274428596,-291.753619346516
45,29,86.4599587214706,-250.881586165927
45,30,67.0523753075205,-212.394510331777
45,31,53.042672715618,-174.453602962567
45,32,45.1200621802628,-135.414602780252
45,33,45.6650306684335,-95.883836413199
45,34,55.9084706561235,-59.5655534438277
45,35,73.12924618326,-30.6908618963031
45,36,92.1826494260989,-9.88087414749915
45,37,109.636310245722,5.7424814524542
45,38,124.849680882579,19.8372652903536
45,39,139.183479356201,35.5296964095297
45,40,155.44998657631,55.123951477158
45,41,177.88135021112,80.1362917836927
45,42,213.135082651776,111.505039993437
45,43,275.001208599583,148.509488283304
45,44,396.090168234112,172.403070540747
45,45,588.502140866737,74.2982635027706
45,46,616.51952556156,-199.986557058757
45,47,456.363686253905,-349.379515609895
45,48,308.658722065085,-368.677143356313
45,49,213.277982717702,-337.158511685131
45,50,157.755884301085,-296.972517699861
60,20,nan,nan
60,21,nan,nan
60,22,nan,nan
60,23,nan,nan
60,24,nan,nan
60,25,nan,nan
60,26,nan,nan
60,27,nan,nan
60,28,nan,nan
60,29,nan,nan
60,30,nan,nan
60,31,nan,nan
60,32,nan,nan
60,33,nan,nan
60,34,nan,nan
60,35,nan,nan
60,36,nan,nan
60,37,nan,nan
60,38,nan,nan
60,39,nan,nan
60,40,nan,nan
60,41,nan,nan
60,42,nan,nan
60,43,nan,nan
60,44,nan,nan
60,45,nan,nan
60,46,548.118867877208,-262.492548635263
60,47,376.178354313882,-371.907441660351
60,48,243.561292065377,-358.336882865465
60,49,169.492524491713,-317.600613679947
60,50,127.340648944237,-278.420762623904
