Phi[deg],Theta[deg],im(rEX)[mV]
-180,0,0.0756656
-178,0,0.0756656
-176,0,0.0756656
-174,0,0.0756656
-172,0,0.0756656
-170,0,0.0756656
-168,0,0.0756656
-166,0,0.0756656
-164,0,0.0756656
-162,0,0.0756656
-160,0,0.0756656
-158,0,0.0756656
-156,0,0.0756656
-154,0,0.0756656
-152,0,0.0756656
-150,0,0.0756656
-148,0,0.0756656
-146,0,0.0756656
-144,0,0.0756656
-142,0,0.0756656
-140,0,0.0756656
-138,0,0.0756656
-136,0,0.0756656
-134,0,0.0756656
-132,0,0.0756656
-130,0,0.0756656
-128,0,0.0756656
-126,0,0.0756656
-124,0,0.0756656
-122,0,0.0756656
-120,0,0.0756656
-118,0,0.0756656
-116,0,0.0756656
-114,0,0.0756656
-112,0,0.0756656
-110,0,0.0756656
-108,0,0.0756656
-106,0,0.0756656
-104,0,0.0756656
-102,0,0.0756656
-100,0,0.0756656
-98,0,0.0756656
-96,0,0.0756656
-94,0,0.0756656
-92,0,0.0756656
-90,0,0.0756656
-88,0,0.0756656
-86,0,0.0756656
-84,0,0.0756656
-82,0,0.0756656
-80,0,0.0756656
-78,0,0.0756656
-76,0,0.0756656
-74,0,0.0756656
-72,0,0.0756656
-70,0,0.0756656
-68,0,0.0756656
-66,0,0.0756656
-64,0,0.0756656
-62,0,0.0756656
-60,0,0.0756656
-58,0,0.0756656
-56,0,0.0756656
-54,0,0.0756656
-52,0,0.0756656
-50,0,0.0756656
-48,0,0.0756656
-46,0,0.0756656
-44,0,0.0756656
-42,0,0.0756656
-40,0,0.0756656
-38,0,0.0756656
-36,0,0.0756656
-34,0,0.0756656
-32,0,0.0756656
-30,0,0.0756656
-28,0,0.0756656
-26,0,0.0756656
-24,0,0.0756656
-22,0,0.0756656
-20,0,0.0756656
-18,0,0.0756656
-16,0,0.0756656
-14,0,0.0756656
-12,0,0.0756656
-10,0,0.0756656
-8,0,0.0756656
-6,0,0.0756656
-4,0,0.0756656
-2,0,0.0756656
0,0,0.0756656
2,0,0.0756656
4,0,0.0756656
6,0,0.0756656
8,0,0.0756656
10,0,0.0756656
12,0,0.0756656
14,0,0.0756656
16,0,0.0756656
18,0,0.0756656
20,0,0.0756656
22,0,0.0756656
24,0,0.0756656
26,0,0.0756656
28,0,0.0756656
30,0,0.0756656
32,0,0.0756656
34,0,0.0756656
36,0,0.0756656
38,0,0.0756656
40,0,0.0756656
42,0,0.0756656
44,0,0.0756656
46,0,0.0756656
48,0,0.0756656
50,0,0.0756656
52,0,0.0756656
54,0,0.0756656
56,0,0.0756656
58,0,0.0756656
60,0,0.0756656
62,0,0.0756656
64,0,0.0756656
66,0,0.0756656
68,0,0.0756656
70,0,0.0756656
72,0,0.0756656
74,0,0.0756656
76,0,0.0756656
78,0,0.0756656
80,0,0.0756656
82,0,0.0756656
84,0,0.0756656
86,0,0.0756656
88,0,0.0756656
90,0,0.0756656
92,0,0.0756656
94,0,0.0756656
96,0,0.0756656
98,0,0.0756656
100,0,0.0756656
102,0,0.0756656
104,0,0.0756656
106,0,0.0756656
108,0,0.0756656
110,0,0.0756656
112,0,0.0756656
114,0,0.0756656
116,0,0.0756656
118,0,0.0756656
120,0,0.0756656
122,0,0.0756656
124,0,0.0756656
126,0,0.0756656
128,0,0.0756656
130,0,0.0756656
132,0,0.0756656
134,0,0.0756656
136,0,0.0756656
138,0,0.0756656
140,0,0.0756656
142,0,0.0756656
144,0,0.0756656
146,0,0.0756656
148,0,0.0756656
150,0,0.0756656
152,0,0.0756656
154,0,0.0756656
156,0,0.0756656
158,0,0.0756656
160,0,0.0756656
162,0,0.0756656
164,0,0.0756656
166,0,0.0756656
168,0,0.0756656
170,0,0.0756656
172,0,0.0756656
174,0,0.0756656
176,0,0.0756656
178,0,0.0756656
180,0,0.0756656
-180,2,59.7414
-178,2,59.7051
-176,2,59.5959
-174,2,59.4141
-172,2,59.1599
-170,2,58.8335
-168,2,58.4354
-166,2,57.9661
-164,2,57.4262
-162,2,56.8162
-160,2,56.1371
-158,2,55.3895
-156,2,54.5746
-154,2,53.6931
-152,2,52.7463
-150,2,51.7353
-148,2,50.6614
-146,2,49.5258
-144,2,48.3301
-142,2,47.0756
-140,2,45.7638
-138,2,44.3965
-136,2,42.9753
-134,2,41.5019
-132,2,39.9782
-130,2,38.4059
-128,2,36.7871
-126,2,35.1237
-124,2,33.4177
-122,2,31.6712
-120,2,29.8864
-118,2,28.0655
-116,2,26.2105
-114,2,24.3239
-112,2,22.4079
-110,2,20.4648
-108,2,18.497
-106,2,16.5068
-104,2,14.4968
-102,2,12.4692
-100,2,10.4267
-98,2,8.37163
-96,2,6.3065
-94,2,4.23383
-92,2,2.15612
-90,2,0.0758806
-88,2,-2.00436
-86,2,-4.08208
-84,2,-6.15478
-82,2,-8.21993
-80,2,-10.275
-78,2,-12.3176
-76,2,-14.3452
-74,2,-16.3553
-72,2,-18.3455
-70,2,-20.3134
-68,2,-22.2566
-66,2,-24.1727
-64,2,-26.0594
-62,2,-27.9144
-60,2,-29.7355
-58,2,-31.5204
-56,2,-33.2669
-54,2,-34.973
-52,2,-36.6366
-50,2,-38.2555
-48,2,-39.8279
-46,2,-41.3517
-44,2,-42.8253
-42,2,-44.2466
-40,2,-45.614
-38,2,-46.9259
-36,2,-48.1805
-34,2,-49.3764
-32,2,-50.5121
-30,2,-51.5861
-28,2,-52.5972
-26,2,-53.5441
-24,2,-54.4257
-22,2,-55.2408
-20,2,-55.9884
-18,2,-56.6677
-16,2,-57.2777
-14,2,-57.8177
-12,2,-58.2871
-10,2,-58.6853
-8,2,-59.0117
-6,2,-59.266
-4,2,-59.4479
-2,2,-59.5571
0,2,-59.5934
2,2,-59.557
4,2,-59.4477
6,2,-59.2657
8,2,-59.0113
10,2,-58.6848
12,2,-58.2866
14,2,-57.8171
16,2,-57.277
18,2,-56.6669
20,2,-55.9876
22,2,-55.2399
24,2,-54.4247
26,2,-53.5431
28,2,-52.5962
30,2,-51.585
32,2,-50.5109
34,2,-49.3753
36,2,-48.1794
38,2,-46.9247
40,2,-45.6129
42,2,-44.2454
44,2,-42.8241
46,2,-41.3506
48,2,-39.8268
50,2,-38.2545
52,2,-36.6356
54,2,-34.9721
56,2,-33.2661
58,2,-31.5196
60,2,-29.7348
62,2,-27.9138
64,2,-26.0589
66,2,-24.1723
68,2,-22.2563
70,2,-20.3132
72,2,-18.3454
74,2,-16.3554
76,2,-14.3454
78,2,-12.3179
80,2,-10.2755
82,2,-8.22052
84,2,-6.1555
86,2,-4.08294
88,2,-2.00535
90,2,0.0747521
92,2,2.15485
94,2,4.23243
96,2,6.30498
98,2,8.36998
100,2,10.4249
102,2,12.4674
104,2,14.4948
106,2,16.5047
108,2,18.4948
110,2,20.4625
112,2,22.4055
114,2,24.3214
116,2,26.208
118,2,28.0629
120,2,29.8838
122,2,31.6685
124,2,33.415
126,2,35.1209
128,2,36.7843
130,2,38.4031
132,2,39.9754
134,2,41.4992
136,2,42.9726
138,2,44.3939
140,2,45.7612
142,2,47.073
144,2,48.3276
146,2,49.5234
148,2,50.6591
150,2,51.7331
152,2,52.7442
154,2,53.6911
156,2,54.5727
158,2,55.3878
160,2,56.1355
162,2,56.8148
164,2,57.4248
