Phi[deg],Theta[deg],im(rEY)[mV]
-180,0,0.782234
-178,0,0.782234
-176,0,0.782234
-174,0,0.782234
-172,0,0.782234
-170,0,0.782234
-168,0,0.782234
-166,0,0.782234
-164,0,0.782234
-162,0,0.782234
-160,0,0.782234
-158,0,0.782234
-156,0,0.782234
-154,0,0.782234
-152,0,0.782234
-150,0,0.782234
-148,0,0.782234
-146,0,0.782234
-144,0,0.782234
-142,0,0.782234
-140,0,0.782234
-138,0,0.782234
-136,0,0.782234
-134,0,0.782234
-132,0,0.782234
-130,0,0.782234
-128,0,0.782234
-126,0,0.782234
-124,0,0.782234
-122,0,0.782234
-120,0,0.782234
-118,0,0.782234
-116,0,0.782234
-114,0,0.782234
-112,0,0.782234
-110,0,0.782234
-108,0,0.782234
-106,0,0.782234
-104,0,0.782234
-102,0,0.782234
-100,0,0.782234
-98,0,0.782234
-96,0,0.782234
-94,0,0.782234
-92,0,0.782234
-90,0,0.782234
-88,0,0.782234
-86,0,0.782234
-84,0,0.782234
-82,0,0.782234
-80,0,0.782234
-78,0,0.782234
-76,0,0.782234
-74,0,0.782234
-72,0,0.782234
-70,0,0.782234
-68,0,0.782234
-66,0,0.782234
-64,0,0.782234
-62,0,0.782234
-60,0,0.782234
-58,0,0.782234
-56,0,0.782234
-54,0,0.782234
-52,0,0.782234
-50,0,0.782234
-48,0,0.782234
-46,0,0.782234
-44,0,0.782234
-42,0,0.782234
-40,0,0.782234
-38,0,0.782234
-36,0,0.782234
-34,0,0.782234
-32,0,0.782234
-30,0,0.782234
-28,0,0.782234
-26,0,0.782234
-24,0,0.782234
-22,0,0.782234
-20,0,0.782234
-18,0,0.782234
-16,0,0.782234
-14,0,0.782234
-12,0,0.782234
-10,0,0.782234
-8,0,0.782234
-6,0,0.782234
-4,0,0.782234
-2,0,0.782234
0,0,0.782234
2,0,0.782234
4,0,0.782234
6,0,0.782234
8,0,0.782234
10,0,0.782234
12,0,0.782234
14,0,0.782234
16,0,0.782234
18,0,0.782234
20,0,0.782234
22,0,0.782234
24,0,0.782234
26,0,0.782234
28,0,0.782234
30,0,0.782234
32,0,0.782234
34,0,0.782234
36,0,0.782234
38,0,0.782234
40,0,0.782234
42,0,0.782234
44,0,0.782234
46,0,0.782234
48,0,0.782234
50,0,0.782234
52,0,0.782234
54,0,0.782234
56,0,0.782234
58,0,0.782234
60,0,0.782234
62,0,0.782234
64,0,0.782234
66,0,0.782234
68,0,0.782234
70,0,0.782234
72,0,0.782234
74,0,0.782234
76,0,0.782234
78,0,0.782234
80,0,0.782234
82,0,0.782234
84,0,0.782234
86,0,0.782234
88,0,0.782234
90,0,0.782234
92,0,0.782234
94,0,0.782234
96,0,0.782234
98,0,0.782234
100,0,0.782234
102,0,0.782234
104,0,0.782234
106,0,0.782234
108,0,0.782234
110,0,0.782234
112,0,0.782234
114,0,0.782234
116,0,0.782234
118,0,0.782234
120,0,0.782234
122,0,0.782234
124,0,0.782234
126,0,0.782234
128,0,0.782234
130,0,0.782234
132,0,0.782234
134,0,0.782234
136,0,0.782234
138,0,0.782234
140,0,0.782234
142,0,0.782234
144,0,0.782234
146,0,0.782234
148,0,0.782234
150,0,0.782234
152,0,0.782234
154,0,0.782234
156,0,0.782234
158,0,0.782234
160,0,0.782234
162,0,0.782234
164,0,0.782234
166,0,0.782234
168,0,0.782234
170,0,0.782234
172,0,0.782234
174,0,0.782234
176,0,0.782234
178,0,0.782234
180,0,0.782234
-180,2,0.783089
-178,2,4.27018
-176,2,7.75303
-174,2,11.2274
-172,2,14.689
-170,2,18.1336
-168,2,21.557
-166,2,24.9551
-164,2,28.3237
-162,2,31.6587
-160,2,34.956
-158,2,38.2116
-156,2,41.4215
-154,2,44.5819
-152,2,47.6888
-150,2,50.7384
-148,2,53.7272
-146,2,56.6513
-144,2,59.5074
-142,2,62.2918
-140,2,65.0011
-138,2,67.6322
-136,2,70.1818
-134,2,72.6468
-132,2,75.0241
-130,2,77.311
-128,2,79.5045
-126,2,81.6022
