Phi[deg],Theta[deg],re(rEY)[mV]
-180,0,-3.28209
-178,0,-3.28209
-176,0,-3.28209
-174,0,-3.28209
-172,0,-3.28209
-170,0,-3.28209
-168,0,-3.28209
-166,0,-3.28209
-164,0,-3.28209
-162,0,-3.28209
-160,0,-3.28209
-158,0,-3.28209
-156,0,-3.28209
-154,0,-3.28209
-152,0,-3.28209
-150,0,-3.28209
-148,0,-3.28209
-146,0,-3.28209
-144,0,-3.28209
-142,0,-3.28209
-140,0,-3.28209
-138,0,-3.28209
-136,0,-3.28209
-134,0,-3.28209
-132,0,-3.28209
-130,0,-3.28209
-128,0,-3.28209
-126,0,-3.28209
-124,0,-3.28209
-122,0,-3.28209
-120,0,-3.28209
-118,0,-3.28209
-116,0,-3.28209
-114,0,-3.28209
-112,0,-3.28209
-110,0,-3.28209
-108,0,-3.28209
-106,0,-3.28209
-104,0,-3.28209
-102,0,-3.28209
-100,0,-3.28209
-98,0,-3.28209
-96,0,-3.28209
-94,0,-3.28209
-92,0,-3.28209
-90,0,-3.28209
-88,0,-3.28209
-86,0,-3.28209
-84,0,-3.28209
-82,0,-3.28209
-80,0,-3.28209
-78,0,-3.28209
-76,0,-3.28209
-74,0,-3.28209
-72,0,-3.28209
-70,0,-3.28209
-68,0,-3.28209
-66,0,-3.28209
-64,0,-3.28209
-62,0,-3.28209
-60,0,-3.28209
-58,0,-3.28209
-56,0,-3.28209
-54,0,-3.28209
-52,0,-3.28209
-50,0,-3.28209
-48,0,-3.28209
-46,0,-3.28209
-44,0,-3.28209
-42,0,-3.28209
-40,0,-3.28209
-38,0,-3.28209
-36,0,-3.28209
-34,0,-3.28209
-32,0,-3.28209
-30,0,-3.28209
-28,0,-3.28209
-26,0,-3.28209
-24,0,-3.28209
-22,0,-3.28209
-20,0,-3.28209
-18,0,-3.28209
-16,0,-3.28209
-14,0,-3.28209
-12,0,-3.28209
-10,0,-3.28209
-8,0,-3.28209
-6,0,-3.28209
-4,0,-3.28209
-2,0,-3.28209
0,0,-3.28209
2,0,-3.28209
4,0,-3.28209
6,0,-3.28209
8,0,-3.28209
10,0,-3.28209
12,0,-3.28209
14,0,-3.28209
16,0,-3.28209
18,0,-3.28209
20,0,-3.28209
22,0,-3.28209
24,0,-3.28209
26,0,-3.28209
28,0,-3.28209
30,0,-3.28209
32,0,-3.28209
34,0,-3.28209
36,0,-3.28209
38,0,-3.28209
40,0,-3.28209
42,0,-3.28209
44,0,-3.28209
46,0,-3.28209
