Phi[deg],Theta[deg],re(rEX)[mV]
-180,0,-0.0406791
-178,0,-0.0406791
-176,0,-0.0406791
-174,0,-0.0406791
-172,0,-0.0406791
-170,0,-0.0406791
-168,0,-0.0406791
-166,0,-0.0406791
-164,0,-0.0406791
-162,0,-0.0406791
-160,0,-0.0406791
-158,0,-0.0406791
-156,0,-0.0406791
-154,0,-0.0406791
-152,0,-0.0406791
-150,0,-0.0406791
-148,0,-0.0406791
-146,0,-0.0406791
-144,0,-0.0406791
-142,0,-0.0406791
-140,0,-0.0406791
-138,0,-0.0406791
-136,0,-0.0406791
-134,0,-0.0406791
-132,0,-0.0406791
-130,0,-0.0406791
-128,0,-0.0406791
-126,0,-0.0406791
-124,0,-0.0406791
-122,0,-0.0406791
-120,0,-0.0406791
-118,0,-0.0406791
-116,0,-0.0406791
-114,0,-0.0406791
-112,0,-0.0406791
-110,0,-0.0406791
-108,0,-0.0406791
-106,0,-0.0406791
-104,0,-0.0406791
-102,0,-0.0406791
-100,0,-0.0406791
-98,0,-0.0406791
-96,0,-0.0406791
-94,0,-0.0406791
-92,0,-0.0406791
-90,0,-0.0406791
-88,0,-0.0406791
-86,0,-0.0406791
-84,0,-0.0406791
-82,0,-0.0406791
-80,0,-0.0406791
-78,0,-0.0406791
-76,0,-0.0406791
-74,0,-0.0406791
-72,0,-0.0406791
-70,0,-0.0406791
-68,0,-0.0406791
-66,0,-0.0406791
-64,0,-0.0406791
-62,0,-0.0406791
-60,0,-0.0406791
-58,0,-0.0406791
-56,0,-0.0406791
-54,0,-0.0406791
-52,0,-0.0406791
-50,0,-0.0406791
-48,0,-0.0406791
-46,0,-0.0406791
-44,0,-0.0406791
-42,0,-0.0406791
-40,0,-0.0406791
-38,0,-0.0406791
-36,0,-0.0406791
-34,0,-0.0406791
-32,0,-0.0406791
-30,0,-0.0406791
-28,0,-0.0406791
-26,0,-0.0406791
-24,0,-0.0406791
-22,0,-0.0406791
-20,0,-0.0406791
-18,0,-0.0406791
-16,0,-0.0406791
-14,0,-0.0406791
-12,0,-0.0406791
-10,0,-0.0406791
-8,0,-0.0406791
-6,0,-0.0406791
