Phi[deg],Theta[deg],re(rEY)[mV]
-180,0,5105.8
-178,0,5105.8
-176,0,5105.8
-174,0,5105.8
-172,0,5105.8
-170,0,5105.8
-168,0,5105.8
-166,0,5105.8
-164,0,5105.8
-162,0,5105.8
-160,0,5105.8
-158,0,5105.8
-156,0,5105.8
-154,0,5105.8
-152,0,5105.8
-150,0,5105.8
-148,0,5105.8
-146,0,5105.8
-144,0,5105.8
-142,0,5105.8
-140,0,5105.8
-138,0,5105.8
-136,0,5105.8
-134,0,5105.8
-132,0,5105.8
-130,0,5105.8
-128,0,5105.8
-126,0,5105.8
-124,0,5105.8
-122,0,5105.8
-120,0,5105.8
-118,0,5105.8
-116,0,5105.8
-114,0,5105.8
-112,0,5105.8
-110,0,5105.8
-108,0,5105.8
-106,0,5105.8
-104,0,5105.8
-102,0,5105.8
-100,0,5105.8
-98,0,5105.8
-96,0,5105.8
-94,0,5105.8
-92,0,5105.8
-90,0,5105.8
-88,0,5105.8
-86,0,5105.8
-84,0,5105.8
-82,0,5105.8
-80,0,5105.8
-78,0,5105.8
-76,0,5105.8
-74,0,5105.8
-72,0,5105.8
-70,0,5105.8
-68,0,5105.8
-66,0,5105.8
-64,0,5105.8
-62,0,5105.8
-60,0,5105.8
-58,0,5105.8
-56,0,5105.8
-54,0,5105.8
-52,0,5105.8
-50,0,5105.8
-48,0,5105.8
-46,0,5105.8
-44,0,5105.8
-42,0,5105.8
-40,0,5105.8
-38,0,5105.8
-36,0,5105.8
-34,0,5105.8
-32,0,5105.8
-30,0,5105.8
-28,0,5105.8
-26,0,5105.8
-24,0,5105.8
-22,0,5105.8
-20,0,5105.8
-18,0,5105.8
-16,0,5105.8
-14,0,5105.8
-12,0,5105.8
-10,0,5105.8
-8,0,5105.8
-6,0,5105.8
-4,0,5105.8
-2,0,5105.8
0,0,5105.8
2,0,5105.8
4,0,5105.8
6,0,5105.8
8,0,5105.8
10,0,5105.8
12,0,5105.8
14,0,5105.8
16,0,5105.8
18,0,5105.8
20,0,5105.8
22,0,5105.8
24,0,5105.8
26,0,5105.8
28,0,5105.8
30,0,5105.8
32,0,5105.8
34,0,5105.8
36,0,5105.8
38,0,5105.8
40,0,5105.8
42,0,5105.8
44,0,5105.8
46,0,5105.8
48,0,5105.8
50,0,5105.8
52,0,5105.8
54,0,5105.8
56,0,5105.8
58,0,5105.8
60,0,5105.8
62,0,5105.8
64,0,5105.8
66,0,5105.8
68,0,5105.8
70,0,5105.8
72,0,5105.8
74,0,5105.8
76,0,5105.8
78,0,5105.8
80,0,5105.8
82,0,5105.8
84,0,5105.8
86,0,5105.8
88,0,5105.8
90,0,5105.8
92,0,5105.8
94,0,5105.8
96,0,5105.8
98,0,5105.8
100,0,5105.8
102,0,5105.8
104,0,5105.8
106,0,5105.8
108,0,5105.8
110,0,5105.8
112,0,5105.8
114,0,5105.8
116,0,5105.8
118,0,5105.8
120,0,5105.8
122,0,5105.8
124,0,5105.8
126,0,5105.8
128,0,5105.8
130,0,5105.8
132,0,5105.8
134,0,5105.8
136,0,5105.8
138,0,5105.8
140,0,5105.8
142,0,5105.8
144,0,5105.8
146,0,5105.8
148,0,5105.8
150,0,5105.8
152,0,5105.8
154,0,5105.8
156,0,5105.8
158,0,5105.8
160,0,5105.8
162,0,5105.8
164,0,5105.8
166,0,5105.8
168,0,5105.8
170,0,5105.8
172,0,5105.8
174,0,5105.8
176,0,5105.8
178,0,5105.8
180,0,5105.8
-180,2,5104.07
-178,2,5104.07
-176,2,5104.04
-174,2,5104.01
-172,2,5103.95
-170,2,5103.87
-168,2,5103.78
-166,2,5103.68
-164,2,5103.55
-162,2,5103.42
-160,2,5103.27
-158,2,5103.1
-156,2,5102.92
-154,2,5102.73
-152,2,5102.53
-150,2,5102.32
-148,2,5102.1
-146,2,5101.87
-144,2,5101.63
-142,2,5101.39
-140,2,5101.15
-138,2,5100.9
-136,2,5100.65
-134,2,5100.4
-132,2,5100.15
-130,2,5099.9
-128,2,5099.65
-126,2,5099.41
-124,2,5099.18
-122,2,5098.95
-120,2,5098.72
-118,2,5098.51
-116,2,5098.31
-114,2,5098.11
-112,2,5097.93
-110,2,5097.76
-108,2,5097.61
-106,2,5097.47
-104,2,5097.34
-102,2,5097.23
-100,2,5097.14
-98,2,5097.06
-96,2,5097
-94,2,5096.96
-92,2,5096.93
-90,2,5096.92
-88,2,5096.93
-86,2,5096.96
-84,2,5097
-82,2,5097.06
-80,2,5097.14
-78,2,5097.23
-76,2,5097.34
-74,2,5097.47
-72,2,5097.61
-70,2,5097.76
-68,2,5097.93
-66,2,5098.11
-64,2,5098.31
-62,2,5098.51
-60,2,5098.72
-58,2,5098.95
-56,2,5099.17
-54,2,5099.41
-52,2,5099.65
-50,2,5099.9
-48,2,5100.15
-46,2,5100.4
-44,2,5100.65
-42,2,5100.9
-40,2,5101.15
-38,2,5101.39
-36,2,5101.63
-34,2,5101.87
-32,2,5102.1
-30,2,5102.32
-28,2,5102.53
-26,2,5102.73
-24,2,5102.92
-22,2,5103.1
-20,2,5103.26
-18,2,5103.42
-16,2,5103.55
-14,2,5103.68
-12,2,5103.78
-10,2,5103.87
-8,2,5103.95
-6,2,5104
-4,2,5104.04
-2,2,5104.06
0,2,5104.07
2,2,5104.05
4,2,5104.02
6,2,5103.97
8,2,5103.91
10,2,5103.82
12,2,5103.72
14,2,5103.61
16,2,5103.48
18,2,5103.33
20,2,5103.17
22,2,5102.99
24,2,5102.81
26,2,5102.61
28,2,5102.4
30,2,5102.18
32,2,5101.95
34,2,5101.71
36,2,5101.47
38,2,5101.22
40,2,5100.97
42,2,5100.71
44,2,5100.46
46,2,5100.2
48,2,5099.94
50,2,5099.69
52,2,5099.44
54,2,5099.19
56,2,5098.95
58,2,5098.71
60,2,5098.48
62,2,5098.27
64,2,5098.06
66,2,5097.86
68,2,5097.68
70,2,5097.5
72,2,5097.35
74,2,5097.2
76,2,5097.07
78,2,5096.96
80,2,5096.87
82,2,5096.79
84,2,5096.72
86,2,5096.68
88,2,5096.65
90,2,5096.64
92,2,5096.65
94,2,5096.68
96,2,5096.72
98,2,5096.79
100,2,5096.87
102,2,5096.96
104,2,5097.07
106,2,5097.2
108,2,5097.35
110,2,5097.51
112,2,5097.68
114,2,5097.86
116,2,5098.06
118,2,5098.27
120,2,5098.48
122,2,5098.71
124,2,5098.95
126,2,5099.19
128,2,5099.44
130,2,5099.69
132,2,5099.94
134,2,5100.2
136,2,5100.46
138,2,5100.71
140,2,5100.97
142,2,5101.22
144,2,5101.47
146,2,5101.71
148,2,5101.95
150,2,5102.18
152,2,5102.4
154,2,5102.61
156,2,5102.81
158,2,5103
160,2,5103.17
162,2,5103.33
164,2,5103.48
166,2,5103.61
168,2,5103.73
170,2,5103.83
172,2,5103.91
174,2,5103.98
176,2,5104.03
178,2,5104.06
180,2,5104.07
-180,4,5098.88
-178,4,5098.86
-176,4,5098.76
-174,4,5098.59
-172,4,5098.36
-170,4,5098.05
-168,4,5097.68
-166,4,5097.25
-164,4,5096.75
-162,4,5096.19
-160,4,5095.58
-158,4,5094.91
-156,4,5094.19
-154,4,5093.42
-152,4,5092.6
-150,4,5091.75
-148,4,5090.87
-146,4,5089.95
-144,4,5089
-142,4,5088.03
-140,4,5087.05
-138,4,5086.05
-136,4,5085.05
-134,4,5084.04
-132,4,5083.03
-130,4,5082.03
-128,4,5081.05
-126,4,5080.08
-124,4,5079.13
-122,4,5078.21
-120,4,5077.32
-118,4,5076.46
-116,4,5075.64
-114,4,5074.87
-112,4,5074.14
-110,4,5073.47
-108,4,5072.85
-106,4,5072.28
-104,4,5071.78
-102,4,5071.33
-100,4,5070.96
-98,4,5070.64
-96,4,5070.4
-94,4,5070.22
-92,4,5070.12
-90,4,5070.08
-88,4,5070.12
-86,4,5070.22
-84,4,5070.4
-82,4,5070.64
-80,4,5070.95
-78,4,5071.33
-76,4,5071.78
-74,4,5072.28
-72,4,5072.85
-70,4,5073.47
-68,4,5074.14
-66,4,5074.87
-64,4,5075.64
-62,4,5076.46
-60,4,5077.31
-58,4,5078.2
-56,4,5079.13
-54,4,5080.07
-52,4,5081.04
-50,4,5082.03
-48,4,5083.03
-46,4,5084.03
-44,4,5085.04
-42,4,5086.05
-40,4,5087.04
-38,4,5088.03
-36,4,5089
-34,4,5089.94
-32,4,5090.86
-30,4,5091.75
-28,4,5092.6
-26,4,5093.41
-24,4,5094.18
-22,4,5094.9
-20,4,5095.57
-18,4,5096.19
-16,4,5096.75
-14,4,5097.24
-12,4,5097.68
-10,4,5098.05
-8,4,5098.35
-6,4,5098.59
-4,4,5098.76
-2,4,5098.85
0,4,5098.88
2,4,5098.83
4,4,5098.72
6,4,5098.53
8,4,5098.28
10,4,5097.95
12,4,5097.57
14,4,5097.11
16,4,5096.59
18,4,5096.02
20,4,5095.38
22,4,5094.7
24,4,5093.96
26,4,5093.17
28,4,5092.34
30,4,5091.47
32,4,5090.57
34,4,5089.64
36,4,5088.67
38,4,5087.69
40,4,5086.69
42,4,5085.68
44,4,5084.66
46,4,5083.64
48,4,5082.62
50,4,5081.61
52,4,5080.61
54,4,5079.63
56,4,5078.67
58,4,5077.74
60,4,5076.84
62,4,5075.97
64,4,5075.15
66,4,5074.37
68,4,5073.63
70,4,5072.95
72,4,5072.32
74,4,5071.75
76,4,5071.24
78,4,5070.79
80,4,5070.41
82,4,5070.1
84,4,5069.85
86,4,5069.67
88,4,5069.57
90,4,5069.53
92,4,5069.57
94,4,5069.67
96,4,5069.85
98,4,5070.1
100,4,5070.41
102,4,5070.79
104,4,5071.24
106,4,5071.75
108,4,5072.32
110,4,5072.95
112,4,5073.63
114,4,5074.37
116,4,5075.15
118,4,5075.97
120,4,5076.84
122,4,5077.74
124,4,5078.67
126,4,5079.63
128,4,5080.61
130,4,5081.61
132,4,5082.62
134,4,5083.64
136,4,5084.66
138,4,5085.68
140,4,5086.69
142,4,5087.69
144,4,5088.68
146,4,5089.64
