Phi[deg],Theta[deg],im(rEZ)[mV]
-180,0,-2.16175e-13
-178,0,-2.26337e-13
-176,0,-2.36052e-13
-174,0,-2.44701e-13
-172,0,-2.51702e-13
-170,0,-2.56562e-13
-168,0,-2.58921e-13
-166,0,-2.58593e-13
-164,0,-2.55586e-13
-162,0,-2.50115e-13
-160,0,-2.42589e-13
-158,0,-2.33585e-13
-156,0,-2.23799e-13
-154,0,-2.13992e-13
-152,0,-2.04925e-13
-150,0,-1.97292e-13
-148,0,-1.91661e-13
-146,0,-1.8842e-13
-144,0,-1.8775e-13
-142,0,-1.89604e-13
-140,0,-1.93721e-13
-138,0,-1.99649e-13
-136,0,-2.06794e-13
-134,0,-2.14478e-13
-132,0,-2.22005e-13
-130,0,-2.28728e-13
-128,0,-2.3411e-13
-126,0,-2.37772e-13
-124,0,-2.39524e-13
-122,0,-2.39375e-13
-120,0,-2.37525e-13
-118,0,-2.34336e-13
-116,0,-2.30281e-13
-114,0,-2.25896e-13
-112,0,-2.21714e-13
-110,0,-2.18207e-13
-108,0,-2.15737e-13
-106,0,-2.14519e-13
-104,0,-2.146e-13
-102,0,-2.15865e-13
-100,0,-2.18051e-13
-98,0,-2.20784e-13
-96,0,-2.23631e-13
-94,0,-2.2615e-13
-92,0,-2.27947e-13
-90,0,-2.28726e-13
-88,0,-2.28326e-13
-86,0,-2.2674e-13
-84,0,-2.24124e-13
-82,0,-2.20779e-13
-80,0,-2.17118e-13
-78,0,-2.13625e-13
-76,0,-2.10797e-13
-74,0,-2.09092e-13
-72,0,-2.08872e-13
-70,0,-2.10365e-13
-68,0,-2.13631e-13
-66,0,-2.18551e-13
-64,0,-2.24837e-13
-62,0,-2.32048e-13
-60,0,-2.39634e-13
-58,0,-2.46987e-13
-56,0,-2.53489e-13
-54,0,-2.58577e-13
-52,0,-2.61786e-13
-50,0,-2.62793e-13
-48,0,-2.61443e-13
-46,0,-2.57759e-13
-44,0,-2.51937e-13
-42,0,-2.44324e-13
-40,0,-2.35387e-13
-38,0,-2.25669e-13
-36,0,-2.15743e-13
-34,0,-2.06169e-13
-32,0,-1.9745e-13
-30,0,-1.90003e-13
-28,0,-1.84133e-13
-26,0,-1.80027e-13
-24,0,-1.7775e-13
-22,0,-1.77259e-13
-20,0,-1.78423e-13
-18,0,-1.8104e-13
-16,0,-1.84868e-13
-14,0,-1.89643e-13
-12,0,-1.95104e-13
-10,0,-2.01004e-13
