Phi[deg],Theta[deg],re(rEX)[mV]
-180,0,-2559.06
-178,0,-2559.06
-176,0,-2559.06
-174,0,-2559.06
-172,0,-2559.06
-170,0,-2559.06
-168,0,-2559.06
-166,0,-2559.06
-164,0,-2559.06
-162,0,-2559.06
-160,0,-2559.06
-158,0,-2559.06
-156,0,-2559.06
-154,0,-2559.06
-152,0,-2559.06
-150,0,-2559.06
-148,0,-2559.06
-146,0,-2559.06
-144,0,-2559.06
-142,0,-2559.06
-140,0,-2559.06
-138,0,-2559.06
-136,0,-2559.06
-134,0,-2559.06
-132,0,-2559.06
-130,0,-2559.06
-128,0,-2559.06
-126,0,-2559.06
-124,0,-2559.06
-122,0,-2559.06
-120,0,-2559.06
-118,0,-2559.06
-116,0,-2559.06
-114,0,-2559.06
-112,0,-2559.06
-110,0,-2559.06
-108,0,-2559.06
-106,0,-2559.06
-104,0,-2559.06
-102,0,-2559.06
-100,0,-2559.06
-98,0,-2559.06
-96,0,-2559.06
-94,0,-2559.06
-92,0,-2559.06
-90,0,-2559.06
-88,0,-2559.06
-86,0,-2559.06
-84,0,-2559.06
-82,0,-2559.06
-80,0,-2559.06
-78,0,-2559.06
-76,0,-2559.06
-74,0,-2559.06
-72,0,-2559.06
-70,0,-2559.06
-68,0,-2559.06
-66,0,-2559.06
-64,0,-2559.06
-62,0,-2559.06
-60,0,-2559.06
-58,0,-2559.06
-56,0,-2559.06
-54,0,-2559.06
-52,0,-2559.06
-50,0,-2559.06
-48,0,-2559.06
-46,0,-2559.06
-44,0,-2559.06
-42,0,-2559.06
-40,0,-2559.06
-38,0,-2559.06
-36,0,-2559.06
-34,0,-2559.06
-32,0,-2559.06
-30,0,-2559.06
-28,0,-2559.06
-26,0,-2559.06
-24,0,-2559.06
-22,0,-2559.06
-20,0,-2559.06
-18,0,-2559.06
-16,0,-2559.06
-14,0,-2559.06
-12,0,-2559.06
-10,0,-2559.06
-8,0,-2559.06
-6,0,-2559.06
-4,0,-2559.06
-2,0,-2559.06
0,0,-2559.06
2,0,-2559.06
4,0,-2559.06
6,0,-2559.06
8,0,-2559.06
10,0,-2559.06
12,0,-2559.06
14,0,-2559.06
16,0,-2559.06
18,0,-2559.06
20,0,-2559.06
22,0,-2559.06
24,0,-2559.06
26,0,-2559.06
28,0,-2559.06
30,0,-2559.06
32,0,-2559.06
34,0,-2559.06
36,0,-2559.06
38,0,-2559.06
40,0,-2559.06
42,0,-2559.06
44,0,-2559.06
46,0,-2559.06
48,0,-2559.06
50,0,-2559.06
52,0,-2559.06
54,0,-2559.06
56,0,-2559.06
58,0,-2559.06
60,0,-2559.06
62,0,-2559.06
64,0,-2559.06
66,0,-2559.06
68,0,-2559.06
70,0,-2559.06
72,0,-2559.06
74,0,-2559.06
76,0,-2559.06
78,0,-2559.06
80,0,-2559.06
82,0,-2559.06
84,0,-2559.06
86,0,-2559.06
88,0,-2559.06
90,0,-2559.06
92,0,-2559.06
94,0,-2559.06
96,0,-2559.06
98,0,-2559.06
100,0,-2559.06
102,0,-2559.06
104,0,-2559.06
106,0,-2559.06
108,0,-2559.06
110,0,-2559.06
112,0,-2559.06
114,0,-2559.06
116,0,-2559.06
118,0,-2559.06
120,0,-2559.06
122,0,-2559.06
124,0,-2559.06
126,0,-2559.06
128,0,-2559.06
130,0,-2559.06
132,0,-2559.06
134,0,-2559.06
136,0,-2559.06
138,0,-2559.06
140,0,-2559.06
142,0,-2559.06
144,0,-2559.06
146,0,-2559.06
148,0,-2559.06
150,0,-2559.06
152,0,-2559.06
154,0,-2559.06
156,0,-2559.06
158,0,-2559.06
160,0,-2559.06
162,0,-2559.06
164,0,-2559.06
166,0,-2559.06
168,0,-2559.06
170,0,-2559.06
172,0,-2559.06
174,0,-2559.06
176,0,-2559.06
178,0,-2559.06
180,0,-2559.06
-180,2,-2726.52
-178,2,-2726.55
-176,2,-2726.37
-174,2,-2725.99
-172,2,-2725.41
-170,2,-2724.62
-168,2,-2723.64
-166,2,-2722.46
-164,2,-2721.08
-162,2,-2719.49
-160,2,-2717.72
-158,2,-2715.74
-156,2,-2713.57
-154,2,-2711.21
-152,2,-2708.66
-150,2,-2705.93
-148,2,-2703.01
-146,2,-2699.9
-144,2,-2696.62
-142,2,-2693.17
-140,2,-2689.54
-138,2,-2685.74
-136,2,-2681.78
-134,2,-2677.67
-132,2,-2673.4
-130,2,-2668.97
-128,2,-2664.41
-126,2,-2659.7
-124,2,-2654.86
-122,2,-2649.89
-120,2,-2644.8
-118,2,-2639.6
-116,2,-2634.28
-114,2,-2628.86
-112,2,-2623.34
-110,2,-2617.73
-108,2,-2612.03
-106,2,-2606.26
-104,2,-2600.42
-102,2,-2594.51
-100,2,-2588.55
-98,2,-2582.55
-96,2,-2576.5
-94,2,-2570.42
-92,2,-2564.32
-90,2,-2558.2
-88,2,-2552.07
-86,2,-2545.94
-84,2,-2539.81
-82,2,-2533.7
-80,2,-2527.62
-78,2,-2521.56
-76,2,-2515.55
-74,2,-2509.58
-72,2,-2503.66
-70,2,-2497.81
-68,2,-2492.03
