Phi[deg],Theta[deg],re(rEY)[mV]
-180,0,2552.13
-178,0,2552.13
-176,0,2552.13
-174,0,2552.13
-172,0,2552.13
-170,0,2552.13
-168,0,2552.13
-166,0,2552.13
-164,0,2552.13
-162,0,2552.13
-160,0,2552.13
-158,0,2552.13
-156,0,2552.13
-154,0,2552.13
-152,0,2552.13
-150,0,2552.13
-148,0,2552.13
-146,0,2552.13
-144,0,2552.13
-142,0,2552.13
-140,0,2552.13
-138,0,2552.13
-136,0,2552.13
-134,0,2552.13
-132,0,2552.13
-130,0,2552.13
-128,0,2552.13
-126,0,2552.13
-124,0,2552.13
-122,0,2552.13
-120,0,2552.13
-118,0,2552.13
-116,0,2552.13
-114,0,2552.13
-112,0,2552.13
-110,0,2552.13
-108,0,2552.13
-106,0,2552.13
-104,0,2552.13
-102,0,2552.13
-100,0,2552.13
-98,0,2552.13
-96,0,2552.13
-94,0,2552.13
-92,0,2552.13
-90,0,2552.13
-88,0,2552.13
-86,0,2552.13
-84,0,2552.13
-82,0,2552.13
-80,0,2552.13
-78,0,2552.13
-76,0,2552.13
-74,0,2552.13
-72,0,2552.13
-70,0,2552.13
-68,0,2552.13
-66,0,2552.13
-64,0,2552.13
-62,0,2552.13
-60,0,2552.13
-58,0,2552.13
-56,0,2552.13
-54,0,2552.13
-52,0,2552.13
-50,0,2552.13
-48,0,2552.13
-46,0,2552.13
-44,0,2552.13
-42,0,2552.13
-40,0,2552.13
-38,0,2552.13
-36,0,2552.13
-34,0,2552.13
-32,0,2552.13
-30,0,2552.13
-28,0,2552.13
-26,0,2552.13
-24,0,2552.13
-22,0,2552.13
-20,0,2552.13
-18,0,2552.13
-16,0,2552.13
-14,0,2552.13
-12,0,2552.13
-10,0,2552.13
-8,0,2552.13
-6,0,2552.13
-4,0,2552.13
-2,0,2552.13
0,0,2552.13
2,0,2552.13
4,0,2552.13
6,0,2552.13
8,0,2552.13
10,0,2552.13
12,0,2552.13
14,0,2552.13
16,0,2552.13
18,0,2552.13
20,0,2552.13
22,0,2552.13
24,0,2552.13
26,0,2552.13
28,0,2552.13
30,0,2552.13
32,0,2552.13
34,0,2552.13
36,0,2552.13
38,0,2552.13
40,0,2552.13
42,0,2552.13
44,0,2552.13
46,0,2552.13
48,0,2552.13
50,0,2552.13
52,0,2552.13
54,0,2552.13
56,0,2552.13
58,0,2552.13
60,0,2552.13
62,0,2552.13
64,0,2552.13
66,0,2552.13
68,0,2552.13
70,0,2552.13
72,0,2552.13
74,0,2552.13
76,0,2552.13
78,0,2552.13
80,0,2552.13
82,0,2552.13
84,0,2552.13
86,0,2552.13
88,0,2552.13
90,0,2552.13
92,0,2552.13
94,0,2552.13
96,0,2552.13
98,0,2552.13
100,0,2552.13
102,0,2552.13
104,0,2552.13
106,0,2552.13
108,0,2552.13
110,0,2552.13
112,0,2552.13
114,0,2552.13
116,0,2552.13
118,0,2552.13
120,0,2552.13
122,0,2552.13
124,0,2552.13
126,0,2552.13
128,0,2552.13
130,0,2552.13
132,0,2552.13
134,0,2552.13
136,0,2552.13
138,0,2552.13
140,0,2552.13
142,0,2552.13
144,0,2552.13
146,0,2552.13
148,0,2552.13
150,0,2552.13
152,0,2552.13
154,0,2552.13
156,0,2552.13
158,0,2552.13
160,0,2552.13
162,0,2552.13
164,0,2552.13
166,0,2552.13
168,0,2552.13
170,0,2552.13
172,0,2552.13
174,0,2552.13
176,0,2552.13
178,0,2552.13
180,0,2552.13
-180,2,2551.26
-178,2,2545.38
-176,2,2539.5
-174,2,2533.62
-172,2,2527.75
-170,2,2521.9
-168,2,2516.07
-166,2,2510.28
-164,2,2504.52
-162,2,2498.81
-160,2,2493.16
-158,2,2487.56
-156,2,2482.03
-154,2,2476.57
-152,2,2471.19
-150,2,2465.9
-148,2,2460.7
-146,2,2455.6
-144,2,2450.6
-142,2,2445.72
-140,2,2440.96
-138,2,2436.32
-136,2,2431.81
-134,2,2427.44
-132,2,2423.21
-130,2,2419.13
-128,2,2415.2
-126,2,2411.43
-124,2,2407.82
-122,2,2404.39
-120,2,2401.13
-118,2,2398.04
-116,2,2395.14
-114,2,2392.43
-112,2,2389.9
-110,2,2387.58
-108,2,2385.44
-106,2,2383.52
-104,2,2381.79
-102,2,2380.27
-100,2,2378.97
-98,2,2377.87
-96,2,2376.99
-94,2,2376.32
-92,2,2375.87
-90,2,2375.64
-88,2,2375.62
-86,2,2375.82
-84,2,2376.25
-82,2,2376.89
-80,2,2377.75
-78,2,2378.83
-76,2,2380.12
-74,2,2381.63
-72,2,2383.36
-70,2,2385.29
-68,2,2387.44
-66,2,2389.79
-64,2,2392.34
-62,2,2395.1
-60,2,2398.05
-58,2,2401.2
-56,2,2404.53
-54,2,2408.05
-52,2,2411.75
-50,2,2415.63
-48,2,2419.68
-46,2,2423.89
-44,2,2428.26
-42,2,2432.79
-40,2,2437.46
-38,2,2442.28
-36,2,2447.23
-34,2,2452.31
-32,2,2457.51
-30,2,2462.82
-28,2,2468.25
-26,2,2473.77
-24,2,2479.39
-22,2,2485.09
-20,2,2490.87
-18,2,2496.72
-16,2,2502.64
-14,2,2508.61
-12,2,2514.63
-10,2,2520.68
-8,2,2526.77
-6,2,2532.88
-4,2,2539
-2,2,2545.13
0,2,2551.26
2,2,2557.38
4,2,2563.49
6,2,2569.57
8,2,2575.62
10,2,2581.62
12,2,2587.58
14,2,2593.49
16,2,2599.33
18,2,2605.1
20,2,2610.8
22,2,2616.41
24,2,2621.93
26,2,2627.35
28,2,2632.67
30,2,2637.88
32,2,2642.97
34,2,2647.94
36,2,2652.78
38,2,2657.49
40,2,2662.05
42,2,2666.48
44,2,2670.75
46,2,2674.87
48,2,2678.83
50,2,2682.62
52,2,2686.25
54,2,2689.71
56,2,2692.99
58,2,2696.09
60,2,2699.01
62,2,2701.75
64,2,2704.3
66,2,2706.66
68,2,2708.83
70,2,2710.8
72,2,2712.58
74,2,2714.16
