Phi[deg],Theta[deg],im(rEY)[mV]
-180,0,485.149
-178,0,485.149
-176,0,485.149
-174,0,485.149
-172,0,485.149
-170,0,485.149
-168,0,485.149
-166,0,485.149
-164,0,485.149
-162,0,485.149
-160,0,485.149
-158,0,485.149
-156,0,485.149
-154,0,485.149
-152,0,485.149
-150,0,485.149
-148,0,485.149
-146,0,485.149
-144,0,485.149
-142,0,485.149
-140,0,485.149
-138,0,485.149
-136,0,485.149
-134,0,485.149
-132,0,485.149
-130,0,485.149
-128,0,485.149
-126,0,485.149
-124,0,485.149
-122,0,485.149
-120,0,485.149
-118,0,485.149
-116,0,485.149
-114,0,485.149
-112,0,485.149
-110,0,485.149
-108,0,485.149
-106,0,485.149
-104,0,485.149
-102,0,485.149
-100,0,485.149
-98,0,485.149
-96,0,485.149
-94,0,485.149
-92,0,485.149
-90,0,485.149
-88,0,485.149
-86,0,485.149
-84,0,485.149
-82,0,485.149
-80,0,485.149
-78,0,485.149
-76,0,485.149
-74,0,485.149
-72,0,485.149
-70,0,485.149
-68,0,485.149
-66,0,485.149
-64,0,485.149
-62,0,485.149
-60,0,485.149
-58,0,485.149
-56,0,485.149
-54,0,485.149
-52,0,485.149
-50,0,485.149
-48,0,485.149
-46,0,485.149
-44,0,485.149
-42,0,485.149
-40,0,485.149
-38,0,485.149
-36,0,485.149
-34,0,485.149
-32,0,485.149
-30,0,485.149
-28,0,485.149
-26,0,485.149
-24,0,485.149
-22,0,485.149
-20,0,485.149
-18,0,485.149
-16,0,485.149
-14,0,485.149
-12,0,485.149
-10,0,485.149
-8,0,485.149
-6,0,485.149
-4,0,485.149
-2,0,485.149
0,0,485.149
2,0,485.149
4,0,485.149
6,0,485.149
8,0,485.149
10,0,485.149
12,0,485.149
14,0,485.149
16,0,485.149
18,0,485.149
20,0,485.149
22,0,485.149
24,0,485.149
26,0,485.149
28,0,485.149
30,0,485.149
32,0,485.149
34,0,485.149
36,0,485.149
38,0,485.149
40,0,485.149
42,0,485.149
44,0,485.149
46,0,485.149
48,0,485.149
50,0,485.149
52,0,485.149
54,0,485.149
56,0,485.149
58,0,485.149
60,0,485.149
62,0,485.149
64,0,485.149
66,0,485.149
68,0,485.149
70,0,485.149
