Phi[deg],Theta[deg],re(rEX)[mV]
-180,0,2560.27
-178,0,2560.27
-176,0,2560.27
-174,0,2560.27
-172,0,2560.27
-170,0,2560.27
-168,0,2560.27
-166,0,2560.27
-164,0,2560.27
-162,0,2560.27
-160,0,2560.27
-158,0,2560.27
-156,0,2560.27
-154,0,2560.27
-152,0,2560.27
-150,0,2560.27
-148,0,2560.27
-146,0,2560.27
-144,0,2560.27
-142,0,2560.27
-140,0,2560.27
-138,0,2560.27
-136,0,2560.27
-134,0,2560.27
-132,0,2560.27
-130,0,2560.27
-128,0,2560.27
-126,0,2560.27
-124,0,2560.27
-122,0,2560.27
-120,0,2560.27
-118,0,2560.27
-116,0,2560.27
-114,0,2560.27
-112,0,2560.27
-110,0,2560.27
-108,0,2560.27
-106,0,2560.27
-104,0,2560.27
-102,0,2560.27
-100,0,2560.27
-98,0,2560.27
-96,0,2560.27
-94,0,2560.27
-92,0,2560.27
-90,0,2560.27
-88,0,2560.27
-86,0,2560.27
-84,0,2560.27
-82,0,2560.27
-80,0,2560.27
-78,0,2560.27
-76,0,2560.27
-74,0,2560.27
-72,0,2560.27
-70,0,2560.27
-68,0,2560.27
-66,0,2560.27
-64,0,2560.27
-62,0,2560.27
-60,0,2560.27
-58,0,2560.27
-56,0,2560.27
-54,0,2560.27
-52,0,2560.27
-50,0,2560.27
-48,0,2560.27
-46,0,2560.27
-44,0,2560.27
-42,0,2560.27
-40,0,2560.27
-38,0,2560.27
-36,0,2560.27
-34,0,2560.27
-32,0,2560.27
-30,0,2560.27
-28,0,2560.27
-26,0,2560.27
-24,0,2560.27
-22,0,2560.27
-20,0,2560.27
-18,0,2560.27
-16,0,2560.27
-14,0,2560.27
-12,0,2560.27
-10,0,2560.27
-8,0,2560.27
-6,0,2560.27
-4,0,2560.27
-2,0,2560.27
0,0,2560.27
2,0,2560.27
4,0,2560.27
6,0,2560.27
8,0,2560.27
10,0,2560.27
12,0,2560.27
14,0,2560.27
16,0,2560.27
18,0,2560.27
20,0,2560.27
22,0,2560.27
24,0,2560.27
26,0,2560.27
28,0,2560.27
30,0,2560.27
32,0,2560.27
34,0,2560.27
36,0,2560.27
38,0,2560.27
40,0,2560.27
42,0,2560.27
44,0,2560.27
46,0,2560.27
48,0,2560.27
50,0,2560.27
52,0,2560.27
54,0,2560.27
56,0,2560.27
58,0,2560.27
60,0,2560.27
62,0,2560.27
64,0,2560.27
66,0,2560.27
68,0,2560.27
70,0,2560.27
72,0,2560.27
74,0,2560.27
76,0,2560.27
78,0,2560.27
80,0,2560.27
82,0,2560.27
84,0,2560.27
86,0,2560.27
88,0,2560.27
90,0,2560.27
92,0,2560.27
94,0,2560.27
96,0,2560.27
98,0,2560.27
100,0,2560.27
102,0,2560.27
104,0,2560.27
106,0,2560.27
108,0,2560.27
110,0,2560.27
112,0,2560.27
114,0,2560.27
116,0,2560.27
118,0,2560.27
120,0,2560.27
122,0,2560.27
124,0,2560.27
126,0,2560.27
128,0,2560.27
130,0,2560.27
132,0,2560.27
134,0,2560.27
136,0,2560.27
138,0,2560.27
140,0,2560.27
142,0,2560.27
144,0,2560.27
146,0,2560.27
148,0,2560.27
150,0,2560.27
152,0,2560.27
154,0,2560.27
156,0,2560.27
158,0,2560.27
160,0,2560.27
162,0,2560.27
164,0,2560.27
166,0,2560.27
168,0,2560.27
170,0,2560.27
172,0,2560.27
174,0,2560.27
176,0,2560.27
178,0,2560.27
180,0,2560.27
-180,2,2562.06
-178,2,2561.94
-176,2,2561.82
-174,2,2561.7
-172,2,2561.58
-170,2,2561.47
-168,2,2561.36
-166,2,2561.26
-164,2,2561.16
-162,2,2561.06
-160,2,2560.97
-158,2,2560.89
-156,2,2560.81
-154,2,2560.74
-152,2,2560.67
-150,2,2560.6
-148,2,2560.55
-146,2,2560.49
-144,2,2560.44
-142,2,2560.4
-140,2,2560.36
-138,2,2560.33
-136,2,2560.3
-134,2,2560.27
-132,2,2560.24
-130,2,2560.22
-128,2,2560.2
-126,2,2560.18
-124,2,2560.16
-122,2,2560.14
-120,2,2560.12
-118,2,2560.11
-116,2,2560.08
-114,2,2560.06
-112,2,2560.03
-110,2,2560.01
-108,2,2559.97
-106,2,2559.93
-104,2,2559.89
-102,2,2559.84
-100,2,2559.79
-98,2,2559.72
-96,2,2559.65
-94,2,2559.58
-92,2,2559.49
-90,2,2559.4
-88,2,2559.29
-86,2,2559.18
-84,2,2559.06
-82,2,2558.93
-80,2,2558.79
-78,2,2558.64
-76,2,2558.48
-74,2,2558.31
-72,2,2558.12
-70,2,2557.93
-68,2,2557.73
-66,2,2557.52
-64,2,2557.31
-62,2,2557.08
-60,2,2556.84
-58,2,2556.6
-56,2,2556.35
-54,2,2556.09
-52,2,2555.82
-50,2,2555.55
-48,2,2555.28
-46,2,2555
-44,2,2554.71
-42,2,2554.43
-40,2,2554.14
-38,2,2553.85
-36,2,2553.56
-34,2,2553.28
-32,2,2552.99
-30,2,2552.71
-28,2,2552.43
-26,2,2552.15
-24,2,2551.88
-22,2,2551.62
-20,2,2551.36
-18,2,2551.12
-16,2,2550.88
-14,2,2550.65
-12,2,2550.44
-10,2,2550.23
-8,2,2550.04
-6,2,2549.86
-4,2,2549.7
-2,2,2549.55
0,2,2549.42
2,2,2549.31
4,2,2549.21
6,2,2549.13
8,2,2549.07
10,2,2549.02
12,2,2549
14,2,2548.99
16,2,2549.01
18,2,2549.04
20,2,2549.09
22,2,2549.16
24,2,2549.25
26,2,2549.37
28,2,2549.5
30,2,2549.64
32,2,2549.81
34,2,2550
36,2,2550.2
38,2,2550.42
40,2,2550.66
42,2,2550.91
44,2,2551.18
46,2,2551.46
48,2,2551.76
50,2,2552.07
52,2,2552.39
54,2,2552.73
56,2,2553.07
58,2,2553.42
60,2,2553.78
62,2,2554.15
64,2,2554.52
66,2,2554.9
68,2,2555.28
70,2,2555.66
72,2,2556.05
74,2,2556.43
76,2,2556.82
78,2,2557.2
80,2,2557.58
82,2,2557.96
84,2,2558.33
86,2,2558.69
88,2,2559.05
90,2,2559.4
92,2,2559.74
94,2,2560.07
96,2,2560.39
98,2,2560.7
100,2,2561
102,2,2561.28
104,2,2561.55
106,2,2561.81
108,2,2562.05
110,2,2562.28
112,2,2562.49
114,2,2562.69
116,2,2562.87
118,2,2563.04
120,2,2563.19
122,2,2563.32
124,2,2563.44
126,2,2563.54
128,2,2563.63
130,2,2563.7
132,2,2563.76
134,2,2563.8
136,2,2563.83
138,2,2563.85
140,2,2563.85
142,2,2563.83
144,2,2563.81
146,2,2563.77
148,2,2563.73
150,2,2563.67
152,2,2563.6
154,2,2563.52
156,2,2563.44
158,2,2563.35
160,2,2563.25
162,2,2563.14
164,2,2563.03
166,2,2562.92
168,2,2562.8
170,2,2562.68
172,2,2562.56
174,2,2562.43
176,2,2562.31
178,2,2562.18
180,2,2562.06
-180,4,2554.68
-178,4,2554.2
-176,4,2553.74
-174,4,2553.31
-172,4,2552.9
-170,4,2552.53
-168,4,2552.18
-166,4,2551.87
-164,4,2551.59
-162,4,2551.34
-160,4,2551.13
-158,4,2550.96
-156,4,2550.82
-154,4,2550.71
-152,4,2550.64
-150,4,2550.61
-148,4,2550.61
-146,4,2550.64
-144,4,2550.71
-142,4,2550.81
-140,4,2550.93
-138,4,2551.09
-136,4,2551.27
-134,4,2551.47
-132,4,2551.7
-130,4,2551.95
-128,4,2552.21
-126,4,2552.49
-124,4,2552.78
-122,4,2553.08
-120,4,2553.38
-118,4,2553.69
-116,4,2554
-114,4,2554.31
-112,4,2554.61
-110,4,2554.91
-108,4,2555.19
-106,4,2555.46
-104,4,2555.71
-102,4,2555.95
-100,4,2556.16
-98,4,2556.34
-96,4,2556.5
-94,4,2556.63
-92,4,2556.73
-90,4,2556.79
-88,4,2556.82
-86,4,2556.81
-84,4,2556.77
-82,4,2556.68
-80,4,2556.55
-78,4,2556.38
-76,4,2556.17
-74,4,2555.91
-72,4,2555.61
-70,4,2555.27
-68,4,2554.88
-66,4,2554.45
-64,4,2553.98
-62,4,2553.47
-60,4,2552.91
-58,4,2552.32
-56,4,2551.69
-54,4,2551.02
-52,4,2550.32
-50,4,2549.59
-48,4,2548.83
-46,4,2548.04
-44,4,2547.22
-42,4,2546.39
-40,4,2545.53
-38,4,2544.67
-36,4,2543.78
-34,4,2542.89
-32,4,2542
-30,4,2541.1
-28,4,2540.2
-26,4,2539.31
-24,4,2538.42
-22,4,2537.55
-20,4,2536.69
-18,4,2535.86
-16,4,2535.04
-14,4,2534.25
-12,4,2533.49
-10,4,2532.77
-8,4,2532.08
-6,4,2531.42
-4,4,2530.81
-2,4,2530.25
0,4,2529.73
2,4,2529.27
4,4,2528.85
6,4,2528.49
8,4,2528.19
10,4,2527.94
12,4,2527.76
14,4,2527.63
16,4,2527.57
18,4,2527.56
20,4,2527.63
22,4,2527.75
24,4,2527.94
26,4,2528.19
28,4,2528.5
30,4,2528.88
32,4,2529.32
34,4,2529.81
36,4,2530.37
38,4,2530.98
40,4,2531.64
42,4,2532.36
44,4,2533.12
46,4,2533.94
48,4,2534.79
50,4,2535.69
52,4,2536.63
54,4,2537.6
56,4,2538.61
58,4,2539.64
60,4,2540.69
62,4,2541.77
64,4,2542.86
66,4,2543.97
68,4,2545.08
70,4,2546.2
72,4,2547.32
74,4,2548.44
76,4,2549.55
78,4,2550.65
80,4,2551.73
82,4,2552.79
84,4,2553.84
86,4,2554.85
88,4,2555.84
90,4,2556.8
92,4,2557.72
94,4,2558.6
96,4,2559.44
98,4,2560.23
100,4,2560.98
102,4,2561.69
104,4,2562.34
106,4,2562.94
108,4,2563.49
110,4,2563.98
112,4,2564.42
114,4,2564.8
116,4,2565.12
118,4,2565.39
120,4,2565.6
122,4,2565.76
124,4,2565.86
126,4,2565.91
128,4,2565.9
130,4,2565.84
132,4,2565.73
134,4,2565.58
136,4,2565.37
138,4,2565.12
140,4,2564.83
142,4,2564.5
144,4,2564.13
146,4,2563.73
148,4,2563.29
150,4,2562.83
152,4,2562.34
154,4,2561.83
156,4,2561.3
158,4,2560.76
160,4,2560.2
162,4,2559.64
164,4,2559.06
166,4,2558.49
168,4,2557.92
170,4,2557.35
172,4,2556.79
174,4,2556.24
176,4,2555.7
178,4,2555.18
180,4,2554.68
-180,6,2538.08
-178,6,2537.01
-176,6,2536
-174,6,2535.06
-172,6,2534.2
-170,6,2533.41
-168,6,2532.71
-166,6,2532.09
-164,6,2531.55
-162,6,2531.11
-160,6,2530.75
-158,6,2530.48
-156,6,2530.31
-154,6,2530.22
-152,6,2530.23
-150,6,2530.33
-148,6,2530.51
-146,6,2530.77
-144,6,2531.12
-142,6,2531.55
-140,6,2532.05
-138,6,2532.62
-136,6,2533.26
-134,6,2533.96
-132,6,2534.72
-130,6,2535.53
-128,6,2536.38
-126,6,2537.28
-124,6,2538.2
-122,6,2539.15
-120,6,2540.12
-118,6,2541.11
-116,6,2542.1
-114,6,2543.09
-112,6,2544.07
-110,6,2545.04
-108,6,2545.98
-106,6,2546.9
-104,6,2547.78
-102,6,2548.62
-100,6,2549.42
-98,6,2550.16
-96,6,2550.84
-94,6,2551.45
-92,6,2551.99
-90,6,2552.46
-88,6,2552.85
-86,6,2553.16
-84,6,2553.38
-82,6,2553.51
-80,6,2553.54
-78,6,2553.48
-76,6,2553.32
-74,6,2553.06
-72,6,2552.71
-70,6,2552.25
-68,6,2551.69
-66,6,2551.03
-64,6,2550.27
-62,6,2549.42
-60,6,2548.47
-58,6,2547.42
-56,6,2546.29
-54,6,2545.07
-52,6,2543.77
-50,6,2542.39
-48,6,2540.94
-46,6,2539.43
-44,6,2537.85
-42,6,2536.21
-40,6,2534.52
-38,6,2532.79
-36,6,2531.03
-34,6,2529.23
-32,6,2527.41
-30,6,2525.58
-28,6,2523.74
-26,6,2521.9
-24,6,2520.07
-22,6,2518.25
-20,6,2516.46
-18,6,2514.7
-16,6,2512.97
-14,6,2511.3
-12,6,2509.68
-10,6,2508.12
-8,6,2506.63
-6,6,2505.21
-4,6,2503.88
-2,6,2502.63
0,6,2501.48
2,6,2500.43
4,6,2499.48
6,6,2498.64
8,6,2497.91
10,6,2497.31
12,6,2496.82
14,6,2496.46
16,6,2496.23
18,6,2496.12
20,6,2496.14
22,6,2496.29
24,6,2496.58
26,6,2496.99
28,6,2497.54
30,6,2498.21
32,6,2499
34,6,2499.93
36,6,2500.97
38,6,2502.13
40,6,2503.4
42,6,2504.78
44,6,2506.26
46,6,2507.84
48,6,2509.51
50,6,2511.27
52,6,2513.11
54,6,2515.01
56,6,2516.99
58,6,2519.02
60,6,2521.1
62,6,2523.21
64,6,2525.37
66,6,2527.54
68,6,2529.73
70,6,2531.93
72,6,2534.13
74,6,2536.32
76,6,2538.49
78,6,2540.63
80,6,2542.74
82,6,2544.8
84,6,2546.81
86,6,2548.77
88,6,2550.65
90,6,2552.47
92,6,2554.2
94,6,2555.85
96,6,2557.41
98,6,2558.87
100,6,2560.23
102,6,2561.48
104,6,2562.62
106,6,2563.65
108,6,2564.56
110,6,2565.36
112,6,2566.03
114,6,2566.58
116,6,2567.01
118,6,2567.32
120,6,2567.5
122,6,2567.56
124,6,2567.51
126,6,2567.34
128,6,2567.05
130,6,2566.66
132,6,2566.16
134,6,2565.55
136,6,2564.85
138,6,2564.06
140,6,2563.18
142,6,2562.22
144,6,2561.18
146,6,2560.08
148,6,2558.92
150,6,2557.7
152,6,2556.44
154,6,2555.13
156,6,2553.8
158,6,2552.44
160,6,2551.07
162,6,2549.69
164,6,2548.3
166,6,2546.93
168,6,2545.56
170,6,2544.22
172,6,2542.91
174,6,2541.63
176,6,2540.4
178,6,2539.21
180,6,2538.08
-180,8,2512.31
-178,8,2510.42
-176,8,2508.66
-174,8,2507.03
-172,8,2505.54
-170,8,2504.21
-168,8,2503.03
-166,8,2502.01
-164,8,2501.15
-162,8,2500.46
-160,8,2499.94
-158,8,2499.59
-156,8,2499.41
-154,8,2499.41
-152,8,2499.57
-150,8,2499.89
-148,8,2500.38
-146,8,2501.03
-144,8,2501.83
-142,8,2502.78
-140,8,2503.87
-138,8,2505.09
-136,8,2506.43
-134,8,2507.89
-132,8,2509.46
-130,8,2511.12
-128,8,2512.87
-126,8,2514.69
-124,8,2516.58
-122,8,2518.51
-120,8,2520.48
-118,8,2522.48
-116,8,2524.5
-114,8,2526.51
-112,8,2528.52
-110,8,2530.5
-108,8,2532.44
-106,8,2534.34
-104,8,2536.17
-102,8,2537.94
-100,8,2539.62
-98,8,2541.21
-96,8,2542.69
-94,8,2544.06
-92,8,2545.31
-90,8,2546.42
-88,8,2547.39
-86,8,2548.22
-84,8,2548.89
-82,8,2549.4
-80,8,2549.74
-78,8,2549.91
-76,8,2549.91
-74,8,2549.73
-72,8,2549.38
-70,8,2548.84
-68,8,2548.12
-66,8,2547.23
-64,8,2546.16
-62,8,2544.91
-60,8,2543.49
-58,8,2541.9
-56,8,2540.16
-54,8,2538.25
-52,8,2536.2
-50,8,2534
-48,8,2531.67
-46,8,2529.21
-44,8,2526.64
-42,8,2523.97
-40,8,2521.19
-38,8,2518.34
-36,8,2515.41
-34,8,2512.42
-32,8,2509.38
-30,8,2506.31
-28,8,2503.22
-26,8,2500.12
-24,8,2497.02
-22,8,2493.94
-20,8,2490.89
-18,8,2487.89
-16,8,2484.95
-14,8,2482.07
-12,8,2479.29
-10,8,2476.59
-8,8,2474.01
-6,8,2471.55
-4,8,2469.22
-2,8,2467.04
0,8,2465.01
2,8,2463.14
4,8,2461.45
6,8,2459.94
8,8,2458.62
10,8,2457.49
12,8,2456.57
14,8,2455.85
16,8,2455.35
18,8,2455.06
20,8,2454.99
22,8,2455.14
24,8,2455.52
26,8,2456.11
28,8,2456.92
30,8,2457.95
32,8,2459.19
34,8,2460.64
36,8,2462.29
38,8,2464.15
40,8,2466.19
42,8,2468.42
44,8,2470.83
46,8,2473.4
48,8,2476.13
50,8,2479
52,8,2482.01
54,8,2485.14
56,8,2488.38
58,8,2491.71
60,8,2495.13
62,8,2498.61
64,8,2502.15
66,8,2505.73
68,8,2509.33
70,8,2512.94
72,8,2516.55
74,8,2520.14
76,8,2523.7
78,8,2527.2
80,8,2530.64
82,8,2534.01
84,8,2537.28
86,8,2540.45
88,8,2543.5
90,8,2546.43
92,8,2549.21
94,8,2551.84
96,8,2554.31
98,8,2556.61
100,8,2558.73
102,8,2560.66
104,8,2562.4
106,8,2563.94
108,8,2565.27
110,8,2566.4
112,8,2567.32
114,8,2568.02
116,8,2568.51
118,8,2568.79
120,8,2568.85
122,8,2568.71
124,8,2568.36
126,8,2567.81
128,8,2567.07
130,8,2566.13
132,8,2565.01
134,8,2563.72
136,8,2562.26
138,8,2560.64
140,8,2558.88
142,8,2556.98
144,8,2554.95
146,8,2552.82
148,8,2550.59
150,8,2548.27
152,8,2545.87
154,8,2543.42
156,8,2540.92
158,8,2538.39
160,8,2535.84
162,8,2533.29
164,8,2530.75
166,8,2528.23
168,8,2525.75
170,8,2523.31
172,8,2520.94
174,8,2518.64
176,8,2516.43
178,8,2514.31
180,8,2512.31
-180,10,2477.49
-178,10,2474.56
-176,10,2471.85
-174,10,2469.35
-172,10,2467.09
-170,10,2465.08
-168,10,2463.31
-166,10,2461.81
-164,10,2460.57
-162,10,2459.6
-160,10,2458.91
-158,10,2458.49
-156,10,2458.35
-154,10,2458.48
-152,10,2458.88
-150,10,2459.54
-148,10,2460.47
-146,10,2461.65
-144,10,2463.08
-142,10,2464.74
-140,10,2466.63
-138,10,2468.72
-136,10,2471.02
-134,10,2473.5
-132,10,2476.15
-130,10,2478.95
-128,10,2481.89
-126,10,2484.95
-124,10,2488.1
-122,10,2491.34
-120,10,2494.65
-118,10,2497.99
-116,10,2501.36
-114,10,2504.74
-112,10,2508.09
-110,10,2511.42
-108,10,2514.69
-106,10,2517.88
-104,10,2520.99
-102,10,2523.98
-100,10,2526.85
-98,10,2529.57
-96,10,2532.13
-94,10,2534.51
-92,10,2536.7
-90,10,2538.68
-88,10,2540.45
-86,10,2541.99
-84,10,2543.29
-82,10,2544.33
-80,10,2545.12
-78,10,2545.65
-76,10,2545.9
-74,10,2545.88
-72,10,2545.59
-70,10,2545.01
-68,10,2544.15
-66,10,2543.01
-64,10,2541.6
-62,10,2539.92
-60,10,2537.96
-58,10,2535.74
-56,10,2533.27
-54,10,2530.56
-52,10,2527.61
-50,10,2524.43
-48,10,2521.04
-46,10,2517.46
-44,10,2513.68
-42,10,2509.74
-40,10,2505.65
-38,10,2501.42
-36,10,2497.07
-34,10,2492.62
-32,10,2488.08
-30,10,2483.49
-28,10,2478.85
-26,10,2474.19
-24,10,2469.53
-22,10,2464.88
-20,10,2460.28
-18,10,2455.73
-16,10,2451.27
-14,10,2446.9
-12,10,2442.66
-10,10,2438.55
-8,10,2434.6
-6,10,2430.82
-4,10,2427.25
-2,10,2423.88
0,10,2420.74
2,10,2417.84
4,10,2415.19
6,10,2412.82
8,10,2410.73
10,10,2408.93
12,10,2407.43
14,10,2406.25
16,10,2405.38
18,10,2404.83
20,10,2404.62
22,10,2404.73
24,10,2405.18
26,10,2405.95
28,10,2407.06
30,10,2408.5
32,10,2410.25
34,10,2412.33
36,10,2414.71
38,10,2417.4
40,10,2420.37
42,10,2423.63
44,10,2427.15
46,10,2430.92
48,10,2434.93
50,10,2439.16
52,10,2443.59
54,10,2448.21
56,10,2453
58,10,2457.93
60,10,2462.98
62,10,2468.14
64,10,2473.38
66,10,2478.67
68,10,2484.01
70,10,2489.36
72,10,2494.7
74,10,2500.01
76,10,2505.26
78,10,2510.44
80,10,2515.52
82,10,2520.47
84,10,2525.29
86,10,2529.94
88,10,2534.42
90,10,2538.69
92,10,2542.74
94,10,2546.56
96,10,2550.13
98,10,2553.44
100,10,2556.46
102,10,2559.2
104,10,2561.64
106,10,2563.77
108,10,2565.59
110,10,2567.08
112,10,2568.25
114,10,2569.09
116,10,2569.6
118,10,2569.78
120,10,2569.64
122,10,2569.17
124,10,2568.39
126,10,2567.3
128,10,2565.91
130,10,2564.23
132,10,2562.27
134,10,2560.04
136,10,2557.56
138,10,2554.85
140,10,2551.91
142,10,2548.77
144,10,2545.44
146,10,2541.95
148,10,2538.31
150,10,2534.54
152,10,2530.67
154,10,2526.72
