Phi[deg],Theta[deg],re(rEX)[mV],im(rEX)[mV],re(rEY)[mV],im(rEY)[mV],re(rEZ)[mV],im(rEZ)[mV]
-180,0,0.641672,1.54544,-6236.26,-9612.61,-1.67463e-13,-2.08676e-13
-178,0,0.641672,1.54544,-6236.26,-9612.61,-1.14665e-13,-3.66227e-13
-176,0,0.641672,1.54544,-6236.26,-9612.61,-4.50839e-14,-4.7802e-13
-174,0,0.641672,1.54544,-6236.26,-9612.61,2.67789e-14,-5.37794e-13
-172,0,0.641672,1.54544,-6236.26,-9612.61,8.62305e-14,-5.52345e-13
-170,0,0.641672,1.54544,-6236.26,-9612.61,1.21326e-13,-5.37243e-13
-168,0,0.641672,1.54544,-6236.26,-9612.61,1.25132e-13,-5.10969e-13
-166,0,0.641672,1.54544,-6236.26,-9612.61,9.68882e-14,-4.89208e-13
-164,0,0.641672,1.54544,-6236.26,-9612.61,4.18818e-14,-4.80858e-13
-162,0,0.641672,1.54544,-6236.26,-9612.61,-2.98577e-14,-4.8664e-13
-160,0,0.641672,1.54544,-6236.26,-9612.61,-1.05731e-13,-5.00397e-13
-158,0,0.641672,1.54544,-6236.26,-9612.61,-1.73131e-13,-5.1238e-13
-156,0,0.641672,1.54544,-6236.26,-9612.61,-2.21879e-13,-5.13299e-13
-154,0,0.641672,1.54544,-6236.26,-9612.61,-2.4607e-13,-4.97804e-13
-152,0,0.641672,1.54544,-6236.26,-9612.61,-2.45009e-13,-4.66344e-13
-150,0,0.641672,1.54544,-6236.26,-9612.61,-2.23092e-13,-4.24954e-13
-148,0,0.641672,1.54544,-6236.26,-9612.61,-1.8869e-13,-3.83162e-13
-146,0,0.641672,1.54544,-6236.26,-9612.61,-1.52284e-13,-3.50822e-13
-144,0,0.641672,1.54544,-6236.26,-9612.61,-1.24216e-13,-3.34939e-13
-142,0,0.641672,1.54544,-6236.26,-9612.61,-1.12488e-13,-3.37511e-13
-140,0,0.641672,1.54544,-6236.26,-9612.61,-1.21048e-13,-3.55034e-13
-138,0,0.641672,1.54544,-6236.26,-9612.61,-1.48873e-13,-3.79764e-13
-136,0,0.641672,1.54544,-6236.26,-9612.61,-1.90067e-13,-4.02277e-13
-134,0,0.641672,1.54544,-6236.26,-9612.61,-2.34941e-13,-4.14451e-13
-132,0,0.641672,1.54544,-6236.26,-9612.61,-2.71913e-13,-4.11936e-13
-130,0,0.641672,1.54544,-6236.26,-9612.61,-2.89854e-13,-3.95323e-13
-128,0,0.641672,1.54544,-6236.26,-9612.61,-2.80441e-13,-3.69679e-13
-126,0,0.641672,1.54544,-6236.26,-9612.61,-2.40044e-13,-3.42634e-13
-124,0,0.641672,1.54544,-6236.26,-9612.61,-1.70758e-13,-3.21652e-13
-122,0,0.641672,1.54544,-6236.26,-9612.61,-8.03612e-14,-3.11359e-13
-120,0,0.641672,1.54544,-6236.26,-9612.61,1.8833e-14,-3.11781e-13
-118,0,0.641672,1.54544,-6236.26,-9612.61,1.12023e-13,-3.18065e-13
-116,0,0.641672,1.54544,-6236.26,-9612.61,1.84488e-13,-3.21776e-13
-114,0,0.641672,1.54544,-6236.26,-9612.61,2.242e-13,-3.13423e-13
-112,0,0.641672,1.54544,-6236.26,-9612.61,2.23967e-13,-2.85462e-13
-110,0,0.641672,1.54544,-6236.26,-9612.61,1.82732e-13,-2.34912e-13
-108,0,0.641672,1.54544,-6236.26,-9612.61,1.05769e-13,-1.64789e-13
-106,0,0.641672,1.54544,-6236.26,-9612.61,3.76579e-15,-8.39409e-14
