Phi[deg],Theta[deg],re(rEX)[mV],im(rEX)[mV],re(rEY)[mV],im(rEY)[mV],re(rEZ)[mV],im(rEZ)[mV]
-180,0,2061.6,6197.95,-2062.77,-6202.5,1.3586e-12,9.35654e-13
-178,0,2061.6,6197.95,-2062.77,-6202.5,1.40986e-12,8.48245e-13
-176,0,2061.6,6197.95,-2062.77,-6202.5,1.41381e-12,7.2617e-13
-174,0,2061.6,6197.95,-2062.77,-6202.5,1.37731e-12,6.00468e-13
-172,0,2061.6,6197.95,-2062.77,-6202.5,1.31523e-12,5.02889e-13
-170,0,2061.6,6197.95,-2062.77,-6202.5,1.24481e-12,4.55728e-13
-168,0,2061.6,6197.95,-2062.77,-6202.5,1.18014e-12,4.65131e-13
-166,0,2061.6,6197.95,-2062.77,-6202.5,1.1289e-12,5.20231e-13
-164,0,2061.6,6197.95,-2062.77,-6202.5,1.09207e-12,5.98236e-13
-162,0,2061.6,6197.95,-2062.77,-6202.5,1.06642e-12,6.73317e-13
-160,0,2061.6,6197.95,-2062.77,-6202.5,1.0481e-12,7.25765e-13
-158,0,2061.6,6197.95,-2062.77,-6202.5,1.03566e-12,7.47978e-13
-156,0,2061.6,6197.95,-2062.77,-6202.5,1.031e-12,7.4526e-13
-154,0,2061.6,6197.95,-2062.77,-6202.5,1.03798e-12,7.31571e-13
-152,0,2061.6,6197.95,-2062.77,-6202.5,1.05951e-12,7.22383e-13
-150,0,2061.6,6197.95,-2062.77,-6202.5,1.09464e-12,7.27803e-13
-148,0,2061.6,6197.95,-2062.77,-6202.5,1.13714e-12,7.48787e-13
-146,0,2061.6,6197.95,-2062.77,-6202.5,1.17641e-12,7.77739e-13
-144,0,2061.6,6197.95,-2062.77,-6202.5,1.20067e-12,8.02905e-13
-142,0,2061.6,6197.95,-2062.77,-6202.5,1.20096e-12,8.14314e-13
-140,0,2061.6,6197.95,-2062.77,-6202.5,1.17464e-12,8.08563e-13
-138,0,2061.6,6197.95,-2062.77,-6202.5,1.12673e-12,7.90362e-13
-136,0,2061.6,6197.95,-2062.77,-6202.5,1.06858e-12,7.70305e-13
-134,0,2061.6,6197.95,-2062.77,-6202.5,1.01435e-12,7.60028e-13
-132,0,2061.6,6197.95,-2062.77,-6202.5,9.76448e-13,7.66998e-13
-130,0,2061.6,6197.95,-2062.77,-6202.5,9.61737e-13,7.91243e-13
-128,0,2061.6,6197.95,-2062.77,-6202.5,9.69633e-13,8.25394e-13
-126,0,2061.6,6197.95,-2062.77,-6202.5,9.92781e-13,8.5791e-13
-124,0,2061.6,6197.95,-2062.77,-6202.5,1.0199e-12,8.77963e-13
-122,0,2061.6,6197.95,-2062.77,-6202.5,1.03975e-12,8.79826e-13
-120,0,2061.6,6197.95,-2062.77,-6202.5,1.04477e-12,8.64937e-13
-118,0,2061.6,6197.95,-2062.77,-6202.5,1.03347e-12,8.40852e-13
-116,0,2061.6,6197.95,-2062.77,-6202.5,1.01072e-12,8.1774e-13
-114,0,2061.6,6197.95,-2062.77,-6202.5,9.86186e-13,8.04018e-13
-112,0,2061.6,6197.95,-2062.77,-6202.5,9.71474e-13,8.03016e-13
-110,0,2061.6,6197.95,-2062.77,-6202.5,9.76772e-13,8.11989e-13
-108,0,2061.6,6197.95,-2062.77,-6202.5,1.0079e-12,8.23675e-13
-106,0,2061.6,6197.95,-2062.77,-6202.5,1.06435e-12,8.29532e-13
-104,0,2061.6,6197.95,-2062.77,-6202.5,1.13876e-12,8.23115e-13
-102,0,2061.6,6197.95,-2062.77,-6202.5,1.21779e-12,8.02189e-13
-100,0,2061.6,6197.95,-2062.77,-6202.5,1.28452e-12,7.68836e-13
-98,0,2061.6,6197.95,-2062.77,-6202.5,1.32182e-12,7.27811e-13
-96,0,2061.6,6197.95,-2062.77,-6202.5,1.31625e-12,6.84128e-13
-94,0,2061.6,6197.95,-2062.77,-6202.5,1.26169e-12,6.41121e-13
-92,0,2061.6,6197.95,-2062.77,-6202.5,1.16181e-12,5.99853e-13
-90,0,2061.6,6197.95,-2062.77,-6202.5,1.03056e-12,5.5999e-13
-88,0,2061.6,6197.95,-2062.77,-6202.5,8.90198e-13,5.21557e-13
-86,0,2061.6,6197.95,-2062.77,-6202.5,7.67106e-13,4.86515e-13
-84,0,2061.6,6197.95,-2062.77,-6202.5,6.86157e-13,4.59281e-13
-82,0,2061.6,6197.95,-2062.77,-6202.5,6.65015e-13,4.45793e-13
-80,0,2061.6,6197.95,-2062.77,-6202.5,7.09897e-13,4.5146e-13
-78,0,2061.6,6197.95,-2062.77,-6202.5,8.14006e-13,4.7885e-13
-76,0,2061.6,6197.95,-2062.77,-6202.5,9.59124e-13,5.26112e-13
-74,0,2061.6,6197.95,-2062.77,-6202.5,1.11994e-12,5.86809e-13
-72,0,2061.6,6197.95,-2062.77,-6202.5,1.26989e-12,6.51273e-13
-70,0,2061.6,6197.95,-2062.77,-6202.5,1.38697e-12,7.08998e-13
