Phi[deg],Theta[deg],re(rEX)[mV],im(rEX)[mV],re(rEY)[mV],im(rEY)[mV],re(rEZ)[mV],im(rEZ)[mV]
-180,0,0.279567,-2.81657,-0.86918,0.543347,2.9083e-12,5.54885e-13
-178,0,0.279567,-2.81657,-0.86918,0.543347,2.86773e-12,4.9707e-13
-176,0,0.279567,-2.81657,-0.86918,0.543347,2.84116e-12,4.35101e-13
-174,0,0.279567,-2.81657,-0.86918,0.543347,2.83549e-12,3.79126e-13
-172,0,0.279567,-2.81657,-0.86918,0.543347,2.85092e-12,3.36337e-13
-170,0,0.279567,-2.81657,-0.86918,0.543347,2.88018e-12,3.10527e-13
-168,0,0.279567,-2.81657,-0.86918,0.543347,2.91031e-12,3.02537e-13
-166,0,0.279567,-2.81657,-0.86918,0.543347,2.92658e-12,3.11189e-13
-164,0,0.279567,-2.81657,-0.86918,0.543347,2.91731e-12,3.34243e-13
-162,0,0.279567,-2.81657,-0.86918,0.543347,2.878e-12,3.68976e-13
-160,0,0.279567,-2.81657,-0.86918,0.543347,2.81335e-12,4.1223e-13
-158,0,0.279567,-2.81657,-0.86918,0.543347,2.73618e-12,4.60041e-13
-156,0,0.279567,-2.81657,-0.86918,0.543347,2.66374e-12,5.07215e-13
-154,0,0.279567,-2.81657,-0.86918,0.543347,2.61247e-12,5.47292e-13
-152,0,0.279567,-2.81657,-0.86918,0.543347,2.59306e-12,5.73222e-13
-150,0,0.279567,-2.81657,-0.86918,0.543347,2.60751e-12,5.78813e-13
-148,0,0.279567,-2.81657,-0.86918,0.543347,2.64916e-12,5.60641e-13
-146,0,0.279567,-2.81657,-0.86918,0.543347,2.70559e-12,5.19814e-13
-144,0,0.279567,-2.81657,-0.86918,0.543347,2.76329e-12,4.62903e-13
-142,0,0.279567,-2.81657,-0.86918,0.543347,2.81223e-12,4.01495e-13
-140,0,0.279567,-2.81657,-0.86918,0.543347,2.8488e-12,3.5022e-13
-138,0,0.279567,-2.81657,-0.86918,0.543347,2.87586e-12,3.23606e-13
-136,0,0.279567,-2.81657,-0.86918,0.543347,2.90009e-12,3.3254e-13
-134,0,0.279567,-2.81657,-0.86918,0.543347,2.92772e-12,3.81332e-13
-132,0,0.279567,-2.81657,-0.86918,0.543347,2.96047e-12,4.6626e-13
-130,0,0.279567,-2.81657,-0.86918,0.543347,2.99334e-12,5.76052e-13
