Phi[deg],Theta[deg],re(rEX)[mV],im(rEX)[mV],re(rEY)[mV],im(rEY)[mV],re(rEZ)[mV],im(rEZ)[mV]
-180,0,439.575,176.474,439.216,176.352,1.67489e-14,6.72343e-15
-178,0,439.575,176.474,439.216,176.352,1.67003e-14,6.4938e-15
-176,0,439.575,176.474,439.216,176.352,1.60436e-14,6.30992e-15
-174,0,439.575,176.474,439.216,176.352,1.47729e-14,6.15827e-15
-172,0,439.575,176.474,439.216,176.352,1.29312e-14,6.01616e-15
-170,0,439.575,176.474,439.216,176.352,1.06049e-14,5.85979e-15
-168,0,439.575,176.474,439.216,176.352,7.9156e-15,5.67285e-15
-166,0,439.575,176.474,439.216,176.352,5.01044e-15,5.4537e-15
-164,0,439.575,176.474,439.216,176.352,2.0516e-15,5.21931e-15
-162,0,439.575,176.474,439.216,176.352,-7.93525e-16,5.00508e-15
-160,0,439.575,176.474,439.216,176.352,-3.36176e-15,4.8602e-15
-158,0,439.575,176.474,439.216,176.352,-5.50309e-15,4.83959e-15
-156,0,439.575,176.474,439.216,176.352,-7.08966e-15,4.99381e-15
-154,0,439.575,176.474,439.216,176.352,-8.02487e-15,5.35906e-15
-152,0,439.575,176.474,439.216,176.352,-8.25234e-15,5.94923e-15
-150,0,439.575,176.474,439.216,176.352,-7.76392e-15,6.75169e-15
-148,0,439.575,176.474,439.216,176.352,-6.60519e-15,7.72754e-15
-146,0,439.575,176.474,439.216,176.352,-4.87707e-15,8.81643e-15
-144,0,439.575,176.474,439.216,176.352,-2.73159e-15,9.94494e-15
-142,0,439.575,176.474,439.216,176.352,-3.6108e-16,1.10368e-14
-140,0,439.575,176.474,439.216,176.352,2.0194e-15,1.20234e-14
-138,0,439.575,176.474,439.216,176.352,4.19496e-15,1.28515e-14
-136,0,439.575,176.474,439.216,176.352,5.97675e-15,1.34889e-14
-134,0,439.575,176.474,439.216,176.352,7.22695e-15,1.39247e-14
-132,0,439.575,176.474,439.216,176.352,7.87897e-15,1.41668e-14
-130,0,439.575,176.474,439.216,176.352,7.94897e-15,1.42356e-14
-128,0,439.575,176.474,439.216,176.352,7.53582e-15,1.41574e-14
-126,0,439.575,176.474,439.216,176.352,6.8084e-15,1.39577e-14
-124,0,439.575,176.474,439.216,176.352,5.98128e-15,1.36563e-14
-122,0,439.575,176.474,439.216,176.352,5.28187e-15,1.32663e-14
-120,0,439.575,176.474,439.216,176.352,4.91394e-15,1.27953e-14
-118,0,439.575,176.474,439.216,176.352,5.02348e-15,1.22497e-14
-116,0,439.575,176.474,439.216,176.352,5.67289e-15,1.16401e-14
-114,0,439.575,176.474,439.216,176.352,6.82822e-15,1.0986e-14
-112,0,439.575,176.474,439.216,176.352,8.36235e-15,1.03184e-14
-110,0,439.575,176.474,439.216,176.352,1.00741e-14,9.67935e-15
-108,0,439.575,176.474,439.216,176.352,1.17206e-14,9.11681e-15
-106,0,439.575,176.474,439.216,176.352,1.30579e-14,8.67753e-15
-104,0,439.575,176.474,439.216,176.352,1.38818e-14,8.39727e-15
-102,0,439.575,176.474,439.216,176.352,1.40637e-14,8.29165e-15
-100,0,439.575,176.474,439.216,176.352,1.35727e-14,8.3495e-15
-98,0,439.575,176.474,439.216,176.352,1.24812e-14,8.53068e-15
-96,0,439.575,176.474,439.216,176.352,1.09526e-14,8.7695e-15
-94,0,439.575,176.474,439.216,176.352,9.21238e-15,8.98386e-15
-92,0,439.575,176.474,439.216,176.352,7.50822e-15,9.08873e-15
-90,0,439.575,176.474,439.216,176.352,6.06656e-15,9.01199e-15
-88,0,439.575,176.474,439.216,176.352,5.05307e-15,8.70936e-15
-86,0,439.575,176.474,439.216,176.352,4.54487e-15,8.17557e-15
-84,0,439.575,176.474,439.216,176.352,4.51957e-15,7.44922e-15
-82,0,439.575,176.474,439.216,176.352,4.86341e-15,6.60969e-15
-80,0,439.575,176.474,439.216,176.352,5.39696e-15,5.7663e-15
-78,0,439.575,176.474,439.216,176.352,5.91348e-15,5.04107e-15
-76,0,439.575,176.474,439.216,176.352,6.22274e-15,4.54807e-15
-74,0,439.575,176.474,439.216,176.352,6.19158e-15,4.37302e-15
-72,0,439.575,176.474,439.216,176.352,5.77327e-15,4.55701e-15
-70,0,439.575,176.474,439.216,176.352,5.01974e-15,5.08766e-15
-68,0,439.575,176.474,439.216,176.352,4.07391e-15,5.89955e-15
-66,0,439.575,176.474,439.216,176.352,3.14323e-15,6.8844e-15
-64,0,439.575,176.474,439.216,176.352,2.45932e-15,7.90919e-15
-62,0,439.575,176.474,439.216,176.352,2.23131e-15,8.83911e-15
-60,0,439.575,176.474,439.216,176.352,2.60193e-15,9.56126e-15
-58,0,439.575,176.474,439.216,176.352,3.61499e-15,1.00043e-14
-56,0,439.575,176.474,439.216,176.352,5.20091e-15,1.01509e-14
-54,0,439.575,176.474,439.216,176.352,7.18342e-15,1.00393e-14
-52,0,439.575,176.474,439.216,176.352,9.30681e-15,9.7552e-15
-50,0,439.575,176.474,439.216,176.352,1.12786e-14,9.41405e-15
-48,0,439.575,176.474,439.216,176.352,1.28202e-14,9.13771e-15
-46,0,439.575,176.474,439.216,176.352,1.37151e-14,9.02989e-15
-44,0,439.575,176.474,439.216,176.352,1.38467e-14,9.15523e-15
-42,0,439.575,176.474,439.216,176.352,1.3217e-14,9.52595e-15
-40,0,439.575,176.474,439.216,176.352,1.19439e-14,1.00989e-14
-38,0,439.575,176.474,439.216,176.352,1.0236e-14,1.07839e-14
-36,0,439.575,176.474,439.216,176.352,8.35185e-15,1.14605e-14
-34,0,439.575,176.474,439.216,176.352,6.54901e-15,1.20025e-14
-32,0,439.575,176.474,439.216,176.352,5.03566e-15,1.23017e-14
-30,0,439.575,176.474,439.216,176.352,3.93249e-15,1.22896e-14
-28,0,439.575,176.474,439.216,176.352,3.2534e-15,1.19507e-14
-26,0,439.575,176.474,439.216,176.352,2.90893e-15,1.13247e-14
-24,0,439.575,176.474,439.216,176.352,2.7317e-15,1.04988e-14
-22,0,439.575,176.474,439.216,176.352,2.51899e-15,9.59004e-15
-20,0,439.575,176.474,439.216,176.352,2.08371e-15,8.72206e-15
-18,0,439.575,176.474,439.216,176.352,1.30321e-15,8.00159e-15
-16,0,439.575,176.474,439.216,176.352,1.55535e-16,7.499e-15
-14,0,439.575,176.474,439.216,176.352,-1.26515e-15,7.23736e-15
-12,0,439.575,176.474,439.216,176.352,-2.75818e-15,7.19225e-15
-10,0,439.575,176.474,439.216,176.352,-4.05033e-15,7.30239e-15
-8,0,439.575,176.474,439.216,176.352,-4.84849e-15,7.48853e-15
-6,0,439.575,176.474,439.216,176.352,-4.90118e-15,7.67647e-15
-4,0,439.575,176.474,439.216,176.352,-4.05722e-15,7.8189e-15
-2,0,439.575,176.474,439.216,176.352,-2.30927e-15,7.91055e-15
0,0,439.575,176.474,439.216,176.352,1.8714e-16,7.99299e-15
2,0,439.575,176.474,439.216,176.352,3.12461e-15,8.14703e-15
4,0,439.575,176.474,439.216,176.352,6.08461e-15,8.47362e-15
6,0,439.575,176.474,439.216,176.352,8.60228e-15,9.06689e-15
8,0,439.575,176.474,439.216,176.352,1.02444e-14,9.98466e-15
10,0,439.575,176.474,439.216,176.352,1.06875e-14,1.12232e-14
12,0,439.575,176.474,439.216,176.352,9.78054e-15,1.27023e-14
14,0,439.575,176.474,439.216,176.352,7.58264e-15,1.42651e-14
16,0,439.575,176.474,439.216,176.352,4.36493e-15,1.56948e-14
18,0,439.575,176.474,439.216,176.352,5.77134e-16,1.67464e-14
20,0,439.575,176.474,439.216,176.352,-3.21782e-15,1.71885e-14
22,0,439.575,176.474,439.216,176.352,-6.43065e-15,1.68492e-14
24,0,439.575,176.474,439.216,176.352,-8.53976e-15,1.56557e-14
26,0,439.575,176.474,439.216,176.352,-9.17673e-15,1.36611e-14
28,0,439.575,176.474,439.216,176.352,-8.18848e-15,1.1051e-14
30,0,439.575,176.474,439.216,176.352,-5.66546e-15,8.1285e-15
32,0,439.575,176.474,439.216,176.352,-1.93057e-15,5.27579e-15
34,0,439.575,176.474,439.216,176.352,2.50957e-15,2.9006e-15
36,0,439.575,176.474,439.216,176.352,7.04318e-15,1.37319e-15
38,0,439.575,176.474,439.216,176.352,1.10486e-14,9.65524e-16
40,0,439.575,176.474,439.216,176.352,1.39908e-14,1.80253e-15
42,0,439.575,176.474,439.216,176.352,1.55029e-14,3.83441e-15
44,0,439.575,176.474,439.216,176.352,1.544e-14,6.83544e-15
46,0,439.575,176.474,439.216,176.352,1.38964e-14,1.04306e-14
48,0,439.575,176.474,439.216,176.352,1.11849e-14,1.41462e-14
50,0,439.575,176.474,439.216,176.352,7.78149e-15,1.74778e-14
52,0,439.575,176.474,439.216,176.352,4.24623e-15,1.99634e-14
54,0,439.575,176.474,439.216,176.352,1.13332e-15,2.12523e-14
56,0,439.575,176.474,439.216,176.352,-1.09432e-15,2.11564e-14
58,0,439.575,176.474,439.216,176.352,-2.13245e-15,1.96777e-14
60,0,439.575,176.474,439.216,176.352,-1.87464e-15,1.70073e-14
62,0,439.575,176.474,439.216,176.352,-4.18115e-16,1.3495e-14
64,0,439.575,176.474,439.216,176.352,1.96298e-15,9.59704e-15
66,0,439.575,176.474,439.216,176.352,4.87073e-15,5.80849e-15
68,0,439.575,176.474,439.216,176.352,7.85294e-15,2.59214e-15
70,0,439.575,176.474,439.216,176.352,1.04765e-14,3.14859e-16
72,0,439.575,176.474,439.216,176.352,1.23925e-14,-7.99073e-16
74,0,439.575,176.474,439.216,176.352,1.33831e-14,-6.91417e-16
76,0,439.575,176.474,439.216,176.352,1.33833e-14,5.32432e-16
78,0,439.575,176.474,439.216,176.352,1.2477e-14,2.62976e-15
80,0,439.575,176.474,439.216,176.352,1.08694e-14,5.26518e-15
82,0,439.575,176.474,439.216,176.352,8.84204e-15,8.06551e-15
84,0,439.575,176.474,439.216,176.352,6.70123e-15,1.06755e-14
86,0,439.575,176.474,439.216,176.352,4.72695e-15,1.28056e-14
88,0,439.575,176.474,439.216,176.352,3.13254e-15,1.42657e-14
90,0,439.575,176.474,439.216,176.352,2.04012e-15,1.49795e-14
92,0,439.575,176.474,439.216,176.352,1.47427e-15,1.49807e-14
94,0,439.575,176.474,439.216,176.352,1.3731e-15,1.43931e-14
96,0,439.575,176.474,439.216,176.352,1.61257e-15,1.33989e-14
98,0,439.575,176.474,439.216,176.352,2.0381e-15,1.22035e-14
100,0,439.575,176.474,439.216,176.352,2.49692e-15,1.10013e-14
102,0,439.575,176.474,439.216,176.352,2.86512e-15,9.94941e-15
104,0,439.575,176.474,439.216,176.352,3.06512e-15,9.15205e-15
106,0,439.575,176.474,439.216,176.352,3.07167e-15,8.65642e-15
108,0,439.575,176.474,439.216,176.352,2.90694e-15,8.45937e-15
110,0,439.575,176.474,439.216,176.352,2.62721e-15,8.52139e-15
112,0,439.575,176.474,439.216,176.352,2.30522e-15,8.78396e-15
114,0,439.575,176.474,439.216,176.352,2.01232e-15,9.18612e-15
116,0,439.575,176.474,439.216,176.352,1.80435e-15,9.67683e-15
118,0,439.575,176.474,439.216,176.352,1.71351e-15,1.02212e-14
