Phi[deg],Theta[deg],GainTotal
-180,0,0.259799
-178,0,0.259799
-176,0,0.259799
-174,0,0.259799
-172,0,0.259799
-170,0,0.259799
-168,0,0.259799
-166,0,0.259799
-164,0,0.259799
-162,0,0.259799
-160,0,0.259799
-158,0,0.259799
-156,0,0.259799
-154,0,0.259799
-152,0,0.259799
-150,0,0.259799
-148,0,0.259799
-146,0,0.259799
-144,0,0.259799
-142,0,0.259799
-140,0,0.259799
-138,0,0.259799
-136,0,0.259799
-134,0,0.259799
-132,0,0.259799
-130,0,0.259799
-128,0,0.259799
-126,0,0.259799
-124,0,0.259799
-122,0,0.259799
-120,0,0.259799
-118,0,0.259799
-116,0,0.259799
-114,0,0.259799
-112,0,0.259799
-110,0,0.259799
-108,0,0.259799
-106,0,0.259799
-104,0,0.259799
-102,0,0.259799
-100,0,0.259799
-98,0,0.259799
-96,0,0.259799
-94,0,0.259799
-92,0,0.259799
-90,0,0.259799
-88,0,0.259799
-86,0,0.259799
-84,0,0.259799
-82,0,0.259799
-80,0,0.259799
-78,0,0.259799
-76,0,0.259799
-74,0,0.259799
-72,0,0.259799
-70,0,0.259799
-68,0,0.259799
-66,0,0.259799
-64,0,0.259799
-62,0,0.259799
-60,0,0.259799
-58,0,0.259799
-56,0,0.259799
-54,0,0.259799
-52,0,0.259799
-50,0,0.259799
-48,0,0.259799
-46,0,0.259799
-44,0,0.259799
-42,0,0.259799
-40,0,0.259799
-38,0,0.259799
-36,0,0.259799
-34,0,0.259799
-32,0,0.259799
-30,0,0.259799
-28,0,0.259799
-26,0,0.259799
-24,0,0.259799
-22,0,0.259799
-20,0,0.259799
-18,0,0.259799
-16,0,0.259799
-14,0,0.259799
-12,0,0.259799
-10,0,0.259799
-8,0,0.259799
-6,0,0.259799
-4,0,0.259799
-2,0,0.259799
0,0,0.259799
2,0,0.259799
4,0,0.259799
6,0,0.259799
8,0,0.259799
10,0,0.259799
12,0,0.259799
14,0,0.259799
16,0,0.259799
18,0,0.259799
20,0,0.259799
22,0,0.259799
24,0,0.259799
26,0,0.259799
28,0,0.259799
30,0,0.259799
32,0,0.259799
34,0,0.259799
36,0,0.259799
38,0,0.259799
40,0,0.259799
42,0,0.259799
44,0,0.259799
46,0,0.259799
48,0,0.259799
50,0,0.259799
52,0,0.259799
54,0,0.259799
56,0,0.259799
58,0,0.259799
60,0,0.259799
62,0,0.259799
64,0,0.259799
66,0,0.259799
68,0,0.259799
70,0,0.259799
72,0,0.259799
74,0,0.259799
76,0,0.259799
78,0,0.259799
80,0,0.259799
82,0,0.259799
84,0,0.259799
86,0,0.259799
88,0,0.259799
90,0,0.259799
92,0,0.259799
94,0,0.259799
96,0,0.259799
98,0,0.259799
100,0,0.259799
102,0,0.259799
104,0,0.259799
106,0,0.259799
108,0,0.259799
110,0,0.259799
112,0,0.259799
114,0,0.259799
116,0,0.259799
118,0,0.259799
120,0,0.259799
122,0,0.259799
124,0,0.259799
126,0,0.259799
128,0,0.259799
130,0,0.259799
132,0,0.259799
134,0,0.259799
136,0,0.259799
138,0,0.259799
140,0,0.259799
142,0,0.259799
144,0,0.259799
146,0,0.259799
148,0,0.259799
150,0,0.259799
152,0,0.259799
154,0,0.259799
156,0,0.259799
158,0,0.259799
160,0,0.259799
162,0,0.259799
164,0,0.259799
166,0,0.259799
168,0,0.259799
170,0,0.259799
172,0,0.259799
174,0,0.259799
176,0,0.259799
178,0,0.259799
180,0,0.259799
-180,2,0.259701
-178,2,0.259699
-176,2,0.259697
-174,2,0.259695
-172,2,0.259693
-170,2,0.259691
-168,2,0.259689
-166,2,0.259687
-164,2,0.259684
-162,2,0.259682
-160,2,0.25968
-158,2,0.259678
-156,2,0.259676
-154,2,0.259674
-152,2,0.259672
-150,2,0.25967
-148,2,0.259668
-146,2,0.259666
-144,2,0.259664
-142,2,0.259662
-140,2,0.25966
-138,2,0.259658
-136,2,0.259656
-134,2,0.259654
-132,2,0.259652
-130,2,0.25965
-128,2,0.259649
-126,2,0.259647
-124,2,0.259646
-122,2,0.259644
-120,2,0.259643
-118,2,0.259641
-116,2,0.25964
-114,2,0.259639
-112,2,0.259638
-110,2,0.259637
-108,2,0.259636
-106,2,0.259635
-104,2,0.259634
-102,2,0.259633
-100,2,0.259633
-98,2,0.259632
-96,2,0.259632
-94,2,0.259631
-92,2,0.259631
-90,2,0.259631
-88,2,0.259631
-86,2,0.259631
-84,2,0.259631
-82,2,0.259631
-80,2,0.259632
-78,2,0.259632
-76,2,0.259633
-74,2,0.259633
-72,2,0.259634
-70,2,0.259635
-68,2,0.259636
-66,2,0.259637
-64,2,0.259638
-62,2,0.259639
-60,2,0.25964
-58,2,0.259641
-56,2,0.259643
-54,2,0.259644
-52,2,0.259646
-50,2,0.259647
-48,2,0.259649
-46,2,0.25965
-44,2,0.259652
-42,2,0.259654
-40,2,0.259656
-38,2,0.259658
-36,2,0.259659
-34,2,0.259661
-32,2,0.259663
-30,2,0.259665
-28,2,0.259667
-26,2,0.259669
-24,2,0.259671
-22,2,0.259673
-20,2,0.259675
-18,2,0.259677
-16,2,0.25968
-14,2,0.259682
-12,2,0.259684
-10,2,0.259686
-8,2,0.259688
-6,2,0.25969
-4,2,0.259692
-2,2,0.259694
0,2,0.259696
2,2,0.259697
4,2,0.259699
6,2,0.259701
8,2,0.259703
10,2,0.259705
12,2,0.259707
14,2,0.259708
16,2,0.25971
18,2,0.259712
20,2,0.259713
22,2,0.259715
24,2,0.259716
26,2,0.259718
28,2,0.259719
30,2,0.259721
32,2,0.259722
34,2,0.259723
36,2,0.259724
38,2,0.259726
40,2,0.259727
42,2,0.259728
44,2,0.259729
46,2,0.25973
48,2,0.259731
50,2,0.259732
52,2,0.259733
54,2,0.259734
56,2,0.259734
58,2,0.259735
60,2,0.259736
62,2,0.259736
64,2,0.259737
66,2,0.259738
68,2,0.259738
70,2,0.259739
72,2,0.259739
74,2,0.25974
76,2,0.25974
78,2,0.25974
80,2,0.259741
82,2,0.259741
84,2,0.259741
86,2,0.259741
88,2,0.259741
90,2,0.259742
92,2,0.259742
94,2,0.259742
96,2,0.259742
98,2,0.259742
100,2,0.259742
102,2,0.259741
104,2,0.259741
106,2,0.259741
108,2,0.259741
110,2,0.259741
112,2,0.25974
114,2,0.25974
116,2,0.259739
118,2,0.259739
120,2,0.259738
122,2,0.259738
124,2,0.259737
126,2,0.259737
128,2,0.259736
130,2,0.259735
132,2,0.259734
134,2,0.259734
136,2,0.259733
138,2,0.259732
140,2,0.259731
142,2,0.25973
144,2,0.259729
146,2,0.259728
148,2,0.259726
150,2,0.259725
152,2,0.259724
154,2,0.259722
156,2,0.259721
158,2,0.25972
160,2,0.259718
162,2,0.259717
164,2,0.259715
166,2,0.259713
168,2,0.259712
170,2,0.25971
172,2,0.259708
174,2,0.259706
176,2,0.259705
178,2,0.259703
180,2,0.259701
-180,4,0.2594
-178,4,0.259396
-176,4,0.259392
-174,4,0.259388
-172,4,0.259383
-170,4,0.259379
-168,4,0.259374
-166,4,0.25937
-164,4,0.259365
-162,4,0.25936
-160,4,0.259356
-158,4,0.259351
-156,4,0.259346
-154,4,0.259341
-152,4,0.259336
-150,4,0.259331
-148,4,0.259326
-146,4,0.259321
-144,4,0.259317
-142,4,0.259312
-140,4,0.259307
-138,4,0.259302
-136,4,0.259298
-134,4,0.259293
-132,4,0.259289
-130,4,0.259285
-128,4,0.25928
-126,4,0.259276
-124,4,0.259273
-122,4,0.259269
-120,4,0.259265
-118,4,0.259262
-116,4,0.259259
-114,4,0.259256
-112,4,0.259253
-110,4,0.25925
-108,4,0.259248
-106,4,0.259246
-104,4,0.259244
-102,4,0.259242
-100,4,0.259241
-98,4,0.25924
-96,4,0.259239
-94,4,0.259238
-92,4,0.259237
-90,4,0.259237
-88,4,0.259237
-86,4,0.259237
-84,4,0.259238
-82,4,0.259238
-80,4,0.259239
-78,4,0.25924
-76,4,0.259242
-74,4,0.259243
-72,4,0.259245
-70,4,0.259247
-68,4,0.25925
-66,4,0.259252
-64,4,0.259255
-62,4,0.259258
-60,4,0.259261
-58,4,0.259264
-56,4,0.259267
-54,4,0.259271
-52,4,0.259275
-50,4,0.259278
-48,4,0.259282
-46,4,0.259287
-44,4,0.259291
-42,4,0.259295
-40,4,0.2593
-38,4,0.259304
-36,4,0.259309
-34,4,0.259313
-32,4,0.259318
-30,4,0.259323
-28,4,0.259327
-26,4,0.259332
-24,4,0.259337
-22,4,0.259342
-20,4,0.259346
-18,4,0.259351
-16,4,0.259356
-14,4,0.25936
-12,4,0.259365
-10,4,0.259369
-8,4,0.259373
-6,4,0.259377
-4,4,0.259382
-2,4,0.259386
0,4,0.259389
2,4,0.259393
4,4,0.259397
6,4,0.2594
8,4,0.259404
10,4,0.259407
12,4,0.25941
14,4,0.259413
16,4,0.259416
18,4,0.259419
20,4,0.259422
22,4,0.259424
24,4,0.259426
26,4,0.259429
28,4,0.259431
30,4,0.259433
32,4,0.259435
34,4,0.259436
36,4,0.259438
38,4,0.25944
40,4,0.259441
42,4,0.259442
44,4,0.259444
46,4,0.259445
48,4,0.259446
50,4,0.259447
52,4,0.259448
54,4,0.259449
56,4,0.25945
58,4,0.25945
60,4,0.259451
62,4,0.259452
64,4,0.259452
66,4,0.259453
68,4,0.259454
70,4,0.259454
72,4,0.259455
74,4,0.259455
76,4,0.259455
78,4,0.259456
80,4,0.259456
82,4,0.259456
84,4,0.259457
86,4,0.259457
88,4,0.259457
90,4,0.259457
92,4,0.259458
94,4,0.259458
96,4,0.259458
98,4,0.259458
100,4,0.259458
102,4,0.259458
104,4,0.259458
106,4,0.259458
108,4,0.259458
110,4,0.259458
112,4,0.259458
114,4,0.259457
116,4,0.259457
118,4,0.259457
120,4,0.259457
122,4,0.259456
124,4,0.259456
126,4,0.259455
128,4,0.259455
130,4,0.259454
132,4,0.259453
134,4,0.259452
136,4,0.259451
138,4,0.25945
140,4,0.259449
142,4,0.259448
144,4,0.259447
146,4,0.259445
148,4,0.259444
150,4,0.259442
152,4,0.25944
154,4,0.259438
156,4,0.259436
158,4,0.259434
160,4,0.259431
162,4,0.259429
164,4,0.259426
166,4,0.259423
168,4,0.25942
170,4,0.259417
172,4,0.259414
174,4,0.259411
176,4,0.259407
178,4,0.259404
180,4,0.2594
-180,6,0.258889
-178,6,0.258883
-176,6,0.258877
-174,6,0.258871
-172,6,0.258864
-170,6,0.258857
-168,6,0.258849
-166,6,0.258842
-164,6,0.258834
-162,6,0.258826
-160,6,0.258818
-158,6,0.25881
-156,6,0.258801
-154,6,0.258793
-152,6,0.258784
-150,6,0.258776
-148,6,0.258767
-146,6,0.258759
-144,6,0.25875
-142,6,0.258742
-140,6,0.258733
-138,6,0.258725
-136,6,0.258717
-134,6,0.258709
-132,6,0.258701
-130,6,0.258694
-128,6,0.258686
-126,6,0.258679
-124,6,0.258672
-122,6,0.258666
-120,6,0.25866
-118,6,0.258654
-116,6,0.258648
-114,6,0.258643
-112,6,0.258638
-110,6,0.258634
-108,6,0.258629
-106,6,0.258626
-104,6,0.258622
-102,6,0.25862
-100,6,0.258617
-98,6,0.258615
-96,6,0.258613
-94,6,0.258612
-92,6,0.258611
-90,6,0.258611
-88,6,0.258611
-86,6,0.258611
-84,6,0.258612
-82,6,0.258613
-80,6,0.258615
-78,6,0.258617
-76,6,0.258619
-74,6,0.258622
-72,6,0.258625
-70,6,0.258629
-68,6,0.258633
-66,6,0.258638
-64,6,0.258642
-62,6,0.258647
-60,6,0.258653
-58,6,0.258659
-56,6,0.258665
-54,6,0.258671
-52,6,0.258678
-50,6,0.258685
-48,6,0.258692
-46,6,0.258699
-44,6,0.258707
-42,6,0.258715
-40,6,0.258723
-38,6,0.258731
-36,6,0.258739
-34,6,0.258747
-32,6,0.258755
-30,6,0.258763
-28,6,0.258772
-26,6,0.25878
-24,6,0.258788
-22,6,0.258796
-20,6,0.258804
-18,6,0.258812
-16,6,0.25882
-14,6,0.258827
-12,6,0.258835
-10,6,0.258842
-8,6,0.258849
-6,6,0.258856
-4,6,0.258862
-2,6,0.258868
0,6,0.258874
2,6,0.25888
4,6,0.258885
6,6,0.25889
8,6,0.258894
10,6,0.258899
12,6,0.258903
14,6,0.258907
16,6,0.25891
18,6,0.258913
20,6,0.258916
22,6,0.258919
24,6,0.258921
26,6,0.258924
28,6,0.258925
30,6,0.258927
32,6,0.258929
34,6,0.25893
36,6,0.258931
38,6,0.258932
40,6,0.258933
42,6,0.258934
44,6,0.258934
46,6,0.258935
48,6,0.258935
50,6,0.258936
52,6,0.258936
54,6,0.258936
56,6,0.258936
58,6,0.258937
60,6,0.258937
62,6,0.258937
64,6,0.258937
66,6,0.258937
68,6,0.258937
70,6,0.258937
72,6,0.258937
74,6,0.258937
76,6,0.258938
78,6,0.258938
80,6,0.258938
82,6,0.258938
84,6,0.258938
86,6,0.258938
88,6,0.258939
90,6,0.258939
92,6,0.258939
94,6,0.25894
96,6,0.25894
98,6,0.25894
100,6,0.258941
102,6,0.258941
104,6,0.258942
106,6,0.258942
108,6,0.258942
110,6,0.258943
112,6,0.258943
114,6,0.258944
116,6,0.258944
118,6,0.258945
120,6,0.258945
122,6,0.258945
124,6,0.258946
126,6,0.258946
128,6,0.258946
130,6,0.258946
132,6,0.258946
134,6,0.258946
136,6,0.258946
138,6,0.258946
140,6,0.258946
142,6,0.258945
144,6,0.258944
146,6,0.258943
148,6,0.258942
150,6,0.258941
152,6,0.25894
154,6,0.258938
156,6,0.258936
158,6,0.258934
160,6,0.258931
162,6,0.258928
164,6,0.258925
166,6,0.258922
168,6,0.258918
170,6,0.258914
172,6,0.25891
174,6,0.258905
176,6,0.2589
178,6,0.258895
180,6,0.258889
-180,8,0.258159
-178,8,0.258151
-176,8,0.258142
-174,8,0.258133
-172,8,0.258124
-170,8,0.258113
-168,8,0.258103
-166,8,0.258092
-164,8,0.25808
-162,8,0.258068
-160,8,0.258056
-158,8,0.258043
-156,8,0.25803
-154,8,0.258017
-152,8,0.258004
-150,8,0.257991
-148,8,0.257978
-146,8,0.257965
-144,8,0.257951
-142,8,0.257938
-140,8,0.257925
-138,8,0.257913
-136,8,0.2579
-134,8,0.257888
-132,8,0.257876
-130,8,0.257864
-128,8,0.257853
-126,8,0.257843
-124,8,0.257832
-122,8,0.257822
-120,8,0.257813
-118,8,0.257804
-116,8,0.257796
-114,8,0.257789
-112,8,0.257781
-110,8,0.257775
-108,8,0.257769
-106,8,0.257764
-104,8,0.257759
-102,8,0.257755
-100,8,0.257751
-98,8,0.257748
-96,8,0.257746
-94,8,0.257744
-92,8,0.257743
-90,8,0.257742
-88,8,0.257742
-86,8,0.257743
-84,8,0.257744
-82,8,0.257746
-80,8,0.257748
-78,8,0.257751
-76,8,0.257755
-74,8,0.257759
-72,8,0.257764
-70,8,0.257769
-68,8,0.257775
-66,8,0.257782
-64,8,0.257789
-62,8,0.257797
-60,8,0.257805
-58,8,0.257814
-56,8,0.257823
-54,8,0.257833
-52,8,0.257843
-50,8,0.257853
-48,8,0.257864
-46,8,0.257876
-44,8,0.257887
-42,8,0.257899
-40,8,0.257912
-38,8,0.257924
-36,8,0.257937
-34,8,0.25795
-32,8,0.257962
-30,8,0.257975
-28,8,0.257988
-26,8,0.258001
-24,8,0.258013
-22,8,0.258026
-20,8,0.258038
-18,8,0.25805
-16,8,0.258062
-14,8,0.258073
-12,8,0.258084
-10,8,0.258094
-8,8,0.258104
-6,8,0.258114
-4,8,0.258122
-2,8,0.258131
0,8,0.258139
2,8,0.258146
4,8,0.258153
6,8,0.258159
8,8,0.258164
10,8,0.258169
12,8,0.258174
14,8,0.258178
16,8,0.258181
18,8,0.258184
20,8,0.258186
22,8,0.258188
24,8,0.258189
26,8,0.258191
28,8,0.258191
30,8,0.258192
32,8,0.258192
34,8,0.258192
36,8,0.258191
38,8,0.258191
40,8,0.25819
42,8,0.258189
44,8,0.258188
46,8,0.258187
48,8,0.258186
50,8,0.258185
52,8,0.258184
54,8,0.258183
56,8,0.258182
58,8,0.258181
60,8,0.25818
62,8,0.258179
64,8,0.258178
66,8,0.258177
68,8,0.258177
70,8,0.258176
72,8,0.258176
74,8,0.258175
76,8,0.258175
78,8,0.258175
80,8,0.258175
82,8,0.258175
84,8,0.258175
86,8,0.258175
88,8,0.258176
90,8,0.258176
92,8,0.258176
94,8,0.258177
96,8,0.258178
98,8,0.258178
100,8,0.258179
102,8,0.25818
104,8,0.258181
106,8,0.258182
108,8,0.258183
110,8,0.258184
112,8,0.258185
114,8,0.258187
116,8,0.258188
118,8,0.258189
120,8,0.258191
122,8,0.258192
124,8,0.258194
126,8,0.258196
128,8,0.258197
130,8,0.258199
132,8,0.258201
134,8,0.258202
136,8,0.258204
138,8,0.258205
140,8,0.258207
142,8,0.258208
144,8,0.258209
146,8,0.25821
148,8,0.25821
150,8,0.25821
152,8,0.25821
154,8,0.25821
156,8,0.258209
158,8,0.258208
160,8,0.258206
162,8,0.258204
164,8,0.258201
166,8,0.258198
168,8,0.258194
170,8,0.25819
172,8,0.258185
174,8,0.258179
176,8,0.258173
178,8,0.258166
180,8,0.258159
-180,10,0.257195
-178,10,0.257185
-176,10,0.257174
-174,10,0.257162
-172,10,0.257149
-170,10,0.257135
-168,10,0.25712
-166,10,0.257105
-164,10,0.257088
-162,10,0.257071
-160,10,0.257054
-158,10,0.257036
-156,10,0.257018
-154,10,0.256999
-152,10,0.25698
-150,10,0.256961
-148,10,0.256942
-146,10,0.256922
-144,10,0.256903
-142,10,0.256885
-140,10,0.256866
-138,10,0.256848
-136,10,0.25683
-134,10,0.256813
-132,10,0.256796
-130,10,0.25678
-128,10,0.256765
-126,10,0.25675
-124,10,0.256736
-122,10,0.256723
-120,10,0.25671
-118,10,0.256698
-116,10,0.256687
-114,10,0.256677
-112,10,0.256668
-110,10,0.256659
-108,10,0.256652
-106,10,0.256645
-104,10,0.256639
-102,10,0.256633
-100,10,0.256629
-98,10,0.256625
-96,10,0.256622
-94,10,0.25662
-92,10,0.256618
-90,10,0.256618
-88,10,0.256618
-86,10,0.256619
-84,10,0.25662
-82,10,0.256623
-80,10,0.256626
-78,10,0.25663
-76,10,0.256634
-74,10,0.25664
-72,10,0.256646
-70,10,0.256653
-68,10,0.256661
-66,10,0.256669
-64,10,0.256679
-62,10,0.256689
-60,10,0.2567
-58,10,0.256712
-56,10,0.256725
-54,10,0.256738
-52,10,0.256752
-50,10,0.256767
-48,10,0.256783
-46,10,0.256799
-44,10,0.256815
-42,10,0.256832
-40,10,0.25685
-38,10,0.256868
-36,10,0.256886
-34,10,0.256905
-32,10,0.256923
-30,10,0.256942
-28,10,0.25696
-26,10,0.256979
-24,10,0.256997
-22,10,0.257015
