Phi[deg],Theta[deg],GainTotal
-180,0,0.243156
-178,0,0.243156
-176,0,0.243156
-174,0,0.243156
-172,0,0.243156
-170,0,0.243156
-168,0,0.243156
-166,0,0.243156
-164,0,0.243156
-162,0,0.243156
-160,0,0.243156
-158,0,0.243156
-156,0,0.243156
-154,0,0.243156
-152,0,0.243156
-150,0,0.243156
-148,0,0.243156
-146,0,0.243156
-144,0,0.243156
-142,0,0.243156
-140,0,0.243156
-138,0,0.243156
-136,0,0.243156
-134,0,0.243156
-132,0,0.243156
-130,0,0.243156
-128,0,0.243156
-126,0,0.243156
-124,0,0.243156
-122,0,0.243156
-120,0,0.243156
-118,0,0.243156
-116,0,0.243156
-114,0,0.243156
-112,0,0.243156
-110,0,0.243156
-108,0,0.243156
-106,0,0.243156
-104,0,0.243156
-102,0,0.243156
-100,0,0.243156
-98,0,0.243156
-96,0,0.243156
-94,0,0.243156
-92,0,0.243156
-90,0,0.243156
-88,0,0.243156
-86,0,0.243156
-84,0,0.243156
-82,0,0.243156
-80,0,0.243156
-78,0,0.243156
-76,0,0.243156
-74,0,0.243156
-72,0,0.243156
-70,0,0.243156
-68,0,0.243156
-66,0,0.243156
-64,0,0.243156
-62,0,0.243156
-60,0,0.243156
-58,0,0.243156
-56,0,0.243156
-54,0,0.243156
-52,0,0.243156
-50,0,0.243156
-48,0,0.243156
-46,0,0.243156
-44,0,0.243156
-42,0,0.243156
-40,0,0.243156
-38,0,0.243156
-36,0,0.243156
-34,0,0.243156
-32,0,0.243156
-30,0,0.243156
-28,0,0.243156
-26,0,0.243156
-24,0,0.243156
-22,0,0.243156
-20,0,0.243156
-18,0,0.243156
-16,0,0.243156
-14,0,0.243156
-12,0,0.243156
-10,0,0.243156
-8,0,0.243156
-6,0,0.243156
-4,0,0.243156
-2,0,0.243156
0,0,0.243156
2,0,0.243156
4,0,0.243156
6,0,0.243156
8,0,0.243156
10,0,0.243156
12,0,0.243156
14,0,0.243156
16,0,0.243156
18,0,0.243156
20,0,0.243156
22,0,0.243156
24,0,0.243156
26,0,0.243156
28,0,0.243156
30,0,0.243156
32,0,0.243156
34,0,0.243156
36,0,0.243156
38,0,0.243156
40,0,0.243156
42,0,0.243156
44,0,0.243156
46,0,0.243156
48,0,0.243156
50,0,0.243156
52,0,0.243156
54,0,0.243156
56,0,0.243156
58,0,0.243156
60,0,0.243156
62,0,0.243156
64,0,0.243156
66,0,0.243156
68,0,0.243156
70,0,0.243156
72,0,0.243156
74,0,0.243156
76,0,0.243156
78,0,0.243156
80,0,0.243156
82,0,0.243156
84,0,0.243156
86,0,0.243156
88,0,0.243156
90,0,0.243156
92,0,0.243156
94,0,0.243156
96,0,0.243156
98,0,0.243156
100,0,0.243156
102,0,0.243156
104,0,0.243156
106,0,0.243156
108,0,0.243156
110,0,0.243156
112,0,0.243156
114,0,0.243156
116,0,0.243156
118,0,0.243156
120,0,0.243156
122,0,0.243156
124,0,0.243156
126,0,0.243156
128,0,0.243156
130,0,0.243156
132,0,0.243156
134,0,0.243156
136,0,0.243156
138,0,0.243156
140,0,0.243156
142,0,0.243156
144,0,0.243156
146,0,0.243156
148,0,0.243156
150,0,0.243156
152,0,0.243156
154,0,0.243156
156,0,0.243156
158,0,0.243156
160,0,0.243156
162,0,0.243156
164,0,0.243156
166,0,0.243156
168,0,0.243156
170,0,0.243156
172,0,0.243156
174,0,0.243156
176,0,0.243156
178,0,0.243156
180,0,0.243156
-180,2,0.295516
-178,2,0.293772
-176,2,0.291973
-174,2,0.290119
-172,2,0.288213
-170,2,0.286258
-168,2,0.284256
-166,2,0.282209
-164,2,0.28012
-162,2,0.277992
-160,2,0.275828
-158,2,0.273629
-156,2,0.271399
-154,2,0.26914
