Phi[deg],Theta[deg],GainTotal
-180,0,3.2182
-178,0,3.2182
-176,0,3.2182
-174,0,3.2182
-172,0,3.2182
-170,0,3.2182
-168,0,3.2182
-166,0,3.2182
-164,0,3.2182
-162,0,3.2182
-160,0,3.2182
-158,0,3.2182
-156,0,3.2182
-154,0,3.2182
-152,0,3.2182
-150,0,3.2182
-148,0,3.2182
-146,0,3.2182
-144,0,3.2182
-142,0,3.2182
-140,0,3.2182
-138,0,3.2182
-136,0,3.2182
-134,0,3.2182
-132,0,3.2182
-130,0,3.2182
-128,0,3.2182
-126,0,3.2182
-124,0,3.2182
-122,0,3.2182
-120,0,3.2182
-118,0,3.2182
-116,0,3.2182
-114,0,3.2182
-112,0,3.2182
-110,0,3.2182
-108,0,3.2182
-106,0,3.2182
-104,0,3.2182
-102,0,3.2182
-100,0,3.2182
-98,0,3.2182
-96,0,3.2182
-94,0,3.2182
-92,0,3.2182
-90,0,3.2182
-88,0,3.2182
-86,0,3.2182
-84,0,3.2182
-82,0,3.2182
-80,0,3.2182
-78,0,3.2182
-76,0,3.2182
-74,0,3.2182
-72,0,3.2182
-70,0,3.2182
-68,0,3.2182
-66,0,3.2182
-64,0,3.2182
-62,0,3.2182
-60,0,3.2182
-58,0,3.2182
-56,0,3.2182
-54,0,3.2182
-52,0,3.2182
-50,0,3.2182
-48,0,3.2182
-46,0,3.2182
-44,0,3.2182
-42,0,3.2182
-40,0,3.2182
-38,0,3.2182
-36,0,3.2182
-34,0,3.2182
-32,0,3.2182
-30,0,3.2182
-28,0,3.2182
-26,0,3.2182
-24,0,3.2182
-22,0,3.2182
-20,0,3.2182
-18,0,3.2182
-16,0,3.2182
-14,0,3.2182
-12,0,3.2182
-10,0,3.2182
-8,0,3.2182
-6,0,3.2182
-4,0,3.2182
-2,0,3.2182
0,0,3.2182
2,0,3.2182
4,0,3.2182
6,0,3.2182
8,0,3.2182
10,0,3.2182
12,0,3.2182
14,0,3.2182
16,0,3.2182
18,0,3.2182
20,0,3.2182
22,0,3.2182
24,0,3.2182
26,0,3.2182
28,0,3.2182
30,0,3.2182
32,0,3.2182
34,0,3.2182
36,0,3.2182
38,0,3.2182
40,0,3.2182
42,0,3.2182
44,0,3.2182
46,0,3.2182
48,0,3.2182
50,0,3.2182
52,0,3.2182
54,0,3.2182
56,0,3.2182
58,0,3.2182
60,0,3.2182
62,0,3.2182
64,0,3.2182
66,0,3.2182
68,0,3.2182
70,0,3.2182
72,0,3.2182
74,0,3.2182
76,0,3.2182
78,0,3.2182
80,0,3.2182
82,0,3.2182
84,0,3.2182
86,0,3.2182
88,0,3.2182
90,0,3.2182
92,0,3.2182
94,0,3.2182
96,0,3.2182
98,0,3.2182
100,0,3.2182
102,0,3.2182
104,0,3.2182
106,0,3.2182
108,0,3.2182
110,0,3.2182
112,0,3.2182
114,0,3.2182
116,0,3.2182
118,0,3.2182
120,0,3.2182
122,0,3.2182
124,0,3.2182
126,0,3.2182
128,0,3.2182
130,0,3.2182
132,0,3.2182
134,0,3.2182
136,0,3.2182
138,0,3.2182
140,0,3.2182
142,0,3.2182
144,0,3.2182
146,0,3.2182
148,0,3.2182
150,0,3.2182
152,0,3.2182
154,0,3.2182
156,0,3.2182
158,0,3.2182
160,0,3.2182
162,0,3.2182
164,0,3.2182
166,0,3.2182
168,0,3.2182
170,0,3.2182
172,0,3.2182
174,0,3.2182
176,0,3.2182
178,0,3.2182
180,0,3.2182
-180,2,3.20051
-178,2,3.19971
-176,2,3.19891
-174,2,3.19812
-172,2,3.19733
-170,2,3.19654
-168,2,3.19577
-166,2,3.19501
-164,2,3.19427
-162,2,3.19355
-160,2,3.19286
-158,2,3.19219
-156,2,3.19155
-154,2,3.19094
-152,2,3.19036
-150,2,3.18982
-148,2,3.18932
-146,2,3.18886
-144,2,3.18844
-142,2,3.18806
-140,2,3.18772
-138,2,3.18743
-136,2,3.18719
-134,2,3.18699
-132,2,3.18683
-130,2,3.18673
-128,2,3.18667
-126,2,3.18665
-124,2,3.18668
-122,2,3.18676
-120,2,3.18687
-118,2,3.18703
-116,2,3.18723
-114,2,3.18747
-112,2,3.18775
-110,2,3.18806
-108,2,3.18841
-106,2,3.18878
-104,2,3.18919
-102,2,3.18962
-100,2,3.19007
-98,2,3.19054
-96,2,3.19104
-94,2,3.19154
-92,2,3.19206
-90,2,3.19258
-88,2,3.19311
-86,2,3.19364
-84,2,3.19418
-82,2,3.1947
-80,2,3.19522
-78,2,3.19573
-76,2,3.19623
-74,2,3.19671
-72,2,3.19718
-70,2,3.19762
-68,2,3.19803
-66,2,3.19843
-64,2,3.19879
-62,2,3.19912
-60,2,3.19942
