Phi[deg],Theta[deg],GainTotal
-180,0,1.28166e-08
-178,0,1.28166e-08
-176,0,1.28166e-08
-174,0,1.28166e-08
-172,0,1.28166e-08
-170,0,1.28166e-08
-168,0,1.28166e-08
-166,0,1.28166e-08
-164,0,1.28166e-08
-162,0,1.28166e-08
-160,0,1.28166e-08
-158,0,1.28166e-08
-156,0,1.28166e-08
-154,0,1.28166e-08
-152,0,1.28166e-08
-150,0,1.28166e-08
-148,0,1.28166e-08
-146,0,1.28166e-08
-144,0,1.28166e-08
-142,0,1.28166e-08
-140,0,1.28166e-08
-138,0,1.28166e-08
-136,0,1.28166e-08
-134,0,1.28166e-08
-132,0,1.28166e-08
-130,0,1.28166e-08
-128,0,1.28166e-08
-126,0,1.28166e-08
-124,0,1.28166e-08
-122,0,1.28166e-08
-120,0,1.28166e-08
-118,0,1.28166e-08
-116,0,1.28166e-08
-114,0,1.28166e-08
-112,0,1.28166e-08
-110,0,1.28166e-08
-108,0,1.28166e-08
-106,0,1.28166e-08
-104,0,1.28166e-08
-102,0,1.28166e-08
-100,0,1.28166e-08
-98,0,1.28166e-08
-96,0,1.28166e-08
-94,0,1.28166e-08
-92,0,1.28166e-08
-90,0,1.28166e-08
-88,0,1.28166e-08
-86,0,1.28166e-08
-84,0,1.28166e-08
-82,0,1.28166e-08
-80,0,1.28166e-08
-78,0,1.28166e-08
-76,0,1.28166e-08
-74,0,1.28166e-08
-72,0,1.28166e-08
-70,0,1.28166e-08
-68,0,1.28166e-08
-66,0,1.28166e-08
-64,0,1.28166e-08
-62,0,1.28166e-08
-60,0,1.28166e-08
-58,0,1.28166e-08
-56,0,1.28166e-08
-54,0,1.28166e-08
-52,0,1.28166e-08
-50,0,1.28166e-08
-48,0,1.28166e-08
-46,0,1.28166e-08
-44,0,1.28166e-08
-42,0,1.28166e-08
-40,0,1.28166e-08
-38,0,1.28166e-08
-36,0,1.28166e-08
-34,0,1.28166e-08
-32,0,1.28166e-08
-30,0,1.28166e-08
-28,0,1.28166e-08
-26,0,1.28166e-08
-24,0,1.28166e-08
-22,0,1.28166e-08
-20,0,1.28166e-08
-18,0,1.28166e-08
-16,0,1.28166e-08
-14,0,1.28166e-08
-12,0,1.28166e-08
-10,0,1.28166e-08
-8,0,1.28166e-08
-6,0,1.28166e-08
-4,0,1.28166e-08
-2,0,1.28166e-08
0,0,1.28166e-08
2,0,1.28166e-08
4,0,1.28166e-08
6,0,1.28166e-08
8,0,1.28166e-08
10,0,1.28166e-08
12,0,1.28166e-08
14,0,1.28166e-08
16,0,1.28166e-08
18,0,1.28166e-08
20,0,1.28166e-08
22,0,1.28166e-08
24,0,1.28166e-08
26,0,1.28166e-08
28,0,1.28166e-08
30,0,1.28166e-08
32,0,1.28166e-08
34,0,1.28166e-08
36,0,1.28166e-08
38,0,1.28166e-08
40,0,1.28166e-08
42,0,1.28166e-08
44,0,1.28166e-08
46,0,1.28166e-08
48,0,1.28166e-08
50,0,1.28166e-08
52,0,1.28166e-08
54,0,1.28166e-08
56,0,1.28166e-08
58,0,1.28166e-08
60,0,1.28166e-08
62,0,1.28166e-08
64,0,1.28166e-08
66,0,1.28166e-08
68,0,1.28166e-08
70,0,1.28166e-08
72,0,1.28166e-08
74,0,1.28166e-08
76,0,1.28166e-08
78,0,1.28166e-08
80,0,1.28166e-08
82,0,1.28166e-08
84,0,1.28166e-08
86,0,1.28166e-08
88,0,1.28166e-08
90,0,1.28166e-08
92,0,1.28166e-08
94,0,1.28166e-08
96,0,1.28166e-08
98,0,1.28166e-08
100,0,1.28166e-08
102,0,1.28166e-08
104,0,1.28166e-08
106,0,1.28166e-08
108,0,1.28166e-08
110,0,1.28166e-08
112,0,1.28166e-08
114,0,1.28166e-08
116,0,1.28166e-08
118,0,1.28166e-08
120,0,1.28166e-08
122,0,1.28166e-08
124,0,1.28166e-08
126,0,1.28166e-08
128,0,1.28166e-08
130,0,1.28166e-08
132,0,1.28166e-08
134,0,1.28166e-08
136,0,1.28166e-08
138,0,1.28166e-08
140,0,1.28166e-08
142,0,1.28166e-08
144,0,1.28166e-08
146,0,1.28166e-08
148,0,1.28166e-08
150,0,1.28166e-08
152,0,1.28166e-08
154,0,1.28166e-08
156,0,1.28166e-08
158,0,1.28166e-08
160,0,1.28166e-08
162,0,1.28166e-08
164,0,1.28166e-08
166,0,1.28166e-08
168,0,1.28166e-08
170,0,1.28166e-08
172,0,1.28166e-08
174,0,1.28166e-08
176,0,1.28166e-08
178,0,1.28166e-08
180,0,1.28166e-08
-180,2,0.00184201
-178,2,0.00184189
-176,2,0.0018418
-174,2,0.00184174
-172,2,0.0018417
-170,2,0.00184169
-168,2,0.00184171
-166,2,0.00184176
-164,2,0.00184183
-162,2,0.00184192
-160,2,0.00184204
-158,2,0.00184219
-156,2,0.00184235
-154,2,0.00184254
-152,2,0.00184276
-150,2,0.00184299
-148,2,0.00184324
-146,2,0.0018435
-144,2,0.00184379
-142,2,0.00184409
-140,2,0.0018444
-138,2,0.00184472
-136,2,0.00184506
-134,2,0.0018454
-132,2,0.00184575
-130,2,0.0018461
-128,2,0.00184646
-126,2,0.00184682
-124,2,0.00184718
-122,2,0.00184754
-120,2,0.00184789
-118,2,0.00184824
-116,2,0.00184858
-114,2,0.00184892
-112,2,0.00184924
-110,2,0.00184955
-108,2,0.00184985
-106,2,0.00185014
-104,2,0.00185041
-102,2,0.00185066
-100,2,0.00185089
-98,2,0.00185111
-96,2,0.00185131
-94,2,0.00185148
-92,2,0.00185164
-90,2,0.00185178
-88,2,0.00185189
-86,2,0.00185199
-84,2,0.00185206
-82,2,0.00185211
-80,2,0.00185214
-78,2,0.00185216
-76,2,0.00185215
-74,2,0.00185212
-72,2,0.00185208
-70,2,0.00185202
-68,2,0.00185194
-66,2,0.00185185
-64,2,0.00185175
-62,2,0.00185163
-60,2,0.00185151
-58,2,0.00185137
-56,2,0.00185123
-54,2,0.00185108
-52,2,0.00185092
-50,2,0.00185076
-48,2,0.0018506
-46,2,0.00185044
-44,2,0.00185028
-42,2,0.00185012
-40,2,0.00184997
-38,2,0.00184982
-36,2,0.00184967
-34,2,0.00184954
-32,2,0.00184942
-30,2,0.0018493
-28,2,0.0018492
-26,2,0.00184911
-24,2,0.00184903
-22,2,0.00184896
-20,2,0.00184892
-18,2,0.00184888
-16,2,0.00184887
-14,2,0.00184887
-12,2,0.00184889
-10,2,0.00184892
-8,2,0.00184897
-6,2,0.00184905
-4,2,0.00184914
-2,2,0.00184924
0,2,0.00184937
2,2,0.00184951
4,2,0.00184968
6,2,0.00184986
8,2,0.00185005
10,2,0.00185027
12,2,0.0018505
14,2,0.00185074
16,2,0.001851
18,2,0.00185128
20,2,0.00185157
22,2,0.00185187
24,2,0.00185218
26,2,0.0018525
28,2,0.00185283
30,2,0.00185316
32,2,0.00185351
34,2,0.00185386
36,2,0.00185421
38,2,0.00185456
40,2,0.00185492
42,2,0.00185527
44,2,0.00185562
46,2,0.00185597
48,2,0.00185631
50,2,0.00185664
52,2,0.00185696
54,2,0.00185727
56,2,0.00185757
58,2,0.00185786
60,2,0.00185812
62,2,0.00185838
64,2,0.00185861
66,2,0.00185882
68,2,0.00185901
70,2,0.00185917
72,2,0.00185931
74,2,0.00185943
76,2,0.00185952
78,2,0.00185958
80,2,0.00185961
82,2,0.00185962
84,2,0.00185959
86,2,0.00185954
88,2,0.00185945
90,2,0.00185934
92,2,0.00185919
94,2,0.00185902
96,2,0.00185882
98,2,0.00185858
100,2,0.00185832
102,2,0.00185803
104,2,0.00185772
106,2,0.00185738
108,2,0.00185702
110,2,0.00185663
112,2,0.00185622
114,2,0.00185579
116,2,0.00185535
118,2,0.00185489
120,2,0.00185441
122,2,0.00185392
124,2,0.00185342
126,2,0.00185291
128,2,0.00185239
130,2,0.00185186
132,2,0.00185134
134,2,0.00185081
136,2,0.00185028
138,2,0.00184976
140,2,0.00184923
142,2,0.00184872
144,2,0.00184821
146,2,0.00184771
148,2,0.00184722
150,2,0.00184675
152,2,0.00184629
154,2,0.00184584
156,2,0.00184542
158,2,0.00184501
160,2,0.00184462
162,2,0.00184425
164,2,0.0018439
166,2,0.00184358
168,2,0.00184328
170,2,0.001843
172,2,0.00184275
174,2,0.00184253
176,2,0.00184233
178,2,0.00184216
180,2,0.00184201
-180,4,0.00733572
-178,4,0.00733549
-176,4,0.00733533
-174,4,0.00733525
-172,4,0.00733525
-170,4,0.00733532
-168,4,0.00733546
-166,4,0.00733568
-164,4,0.00733598
-162,4,0.00733636
-160,4,0.00733681
-158,4,0.00733733
-156,4,0.00733793
-154,4,0.0073386
-152,4,0.00733935
-150,4,0.00734016
-148,4,0.00734104
-146,4,0.00734199
-144,4,0.00734299
-142,4,0.00734406
-140,4,0.00734518
-138,4,0.00734634
-136,4,0.00734755
-134,4,0.0073488
-132,4,0.00735008
-130,4,0.00735139
-128,4,0.00735271
-126,4,0.00735404
-124,4,0.00735538
-122,4,0.00735671
-120,4,0.00735803
-118,4,0.00735933
-116,4,0.0073606
-114,4,0.00736183
-112,4,0.00736302
-110,4,0.00736416
-108,4,0.00736523
-106,4,0.00736624
-104,4,0.00736718
-102,4,0.00736803
-100,4,0.0073688
-98,4,0.00736949
-96,4,0.00737008
-94,4,0.00737057
-92,4,0.00737096
-90,4,0.00737126
-88,4,0.00737145
-86,4,0.00737155
-84,4,0.00737154
-82,4,0.00737144
-80,4,0.00737124
-78,4,0.00737095
-76,4,0.00737057
-74,4,0.00737011
-72,4,0.00736957
-70,4,0.00736897
-68,4,0.00736829
-66,4,0.00736757
-64,4,0.00736679
-62,4,0.00736596
-60,4,0.0073651
-58,4,0.00736422
-56,4,0.00736331
-54,4,0.00736239
-52,4,0.00736147
-50,4,0.00736054
-48,4,0.00735963
-46,4,0.00735873
-44,4,0.00735785
-42,4,0.00735699
-40,4,0.00735617
-38,4,0.00735539
-36,4,0.00735465
-34,4,0.00735395
-32,4,0.0073533
-30,4,0.0073527
-28,4,0.00735215
-26,4,0.00735166
-24,4,0.00735122
-22,4,0.00735084
-20,4,0.00735052
-18,4,0.00735026
-16,4,0.00735006
-14,4,0.00734991
-12,4,0.00734983
-10,4,0.0073498
-8,4,0.00734983
-6,4,0.00734991
-4,4,0.00735006
-2,4,0.00735026
0,4,0.00735051
2,4,0.00735083
4,4,0.00735119
6,4,0.00735162
8,4,0.00735209
10,4,0.00735262
12,4,0.0073532
14,4,0.00735384
16,4,0.00735453
18,4,0.00735526
20,4,0.00735605
22,4,0.00735689
24,4,0.00735778
26,4,0.00735872
28,4,0.0073597
30,4,0.00736072
32,4,0.00736179
34,4,0.00736289
36,4,0.00736403
38,4,0.00736519
40,4,0.00736639
42,4,0.0073676
44,4,0.00736884
46,4,0.00737008
48,4,0.00737133
50,4,0.00737258
52,4,0.00737382
54,4,0.00737504
56,4,0.00737625
58,4,0.00737742
60,4,0.00737856
62,4,0.00737965
64,4,0.00738069
66,4,0.00738166
68,4,0.00738257
70,4,0.00738341
72,4,0.00738416
74,4,0.00738483
76,4,0.0073854
78,4,0.00738587
80,4,0.00738624
82,4,0.0073865
84,4,0.00738664
86,4,0.00738667
88,4,0.00738659
90,4,0.00738639
92,4,0.00738607
94,4,0.00738563
96,4,0.00738508
98,4,0.00738442
100,4,0.00738364
102,4,0.00738276
104,4,0.00738178
106,4,0.00738071
108,4,0.00737955
110,4,0.0073783
112,4,0.00737697
114,4,0.00737558
116,4,0.00737413
118,4,0.00737263
120,4,0.00737108
122,4,0.0073695
124,4,0.00736788
126,4,0.00736625
128,4,0.00736461
130,4,0.00736296
132,4,0.00736132
134,4,0.00735969
136,4,0.00735807
138,4,0.00735649
140,4,0.00735493
142,4,0.00735341
144,4,0.00735193
146,4,0.00735049
148,4,0.00734911
150,4,0.00734778
152,4,0.00734651
154,4,0.00734529
156,4,0.00734414
158,4,0.00734306
160,4,0.00734204
162,4,0.00734109
164,4,0.0073402
166,4,0.00733939
168,4,0.00733865
170,4,0.00733798
172,4,0.00733738
174,4,0.00733686
176,4,0.0073364
178,4,0.00733602
180,4,0.00733572
-180,6,0.0163636
-178,6,0.0163632
-176,6,0.0163629
-174,6,0.0163626
-172,6,0.0163625
-170,6,0.0163624
