Phi[deg],Theta[deg],RealizedGainTotal
-180,0,0.326319
-178,0,0.326319
-176,0,0.326319
-174,0,0.326319
-172,0,0.326319
-170,0,0.326319
-168,0,0.326319
-166,0,0.326319
-164,0,0.326319
-162,0,0.326319
-160,0,0.326319
-158,0,0.326319
-156,0,0.326319
-154,0,0.326319
-152,0,0.326319
-150,0,0.326319
-148,0,0.326319
-146,0,0.326319
-144,0,0.326319
-142,0,0.326319
-140,0,0.326319
-138,0,0.326319
-136,0,0.326319
-134,0,0.326319
-132,0,0.326319
-130,0,0.326319
-128,0,0.326319
-126,0,0.326319
-124,0,0.326319
-122,0,0.326319
-120,0,0.326319
-118,0,0.326319
-116,0,0.326319
-114,0,0.326319
-112,0,0.326319
-110,0,0.326319
-108,0,0.326319
-106,0,0.326319
-104,0,0.326319
-102,0,0.326319
-100,0,0.326319
-98,0,0.326319
-96,0,0.326319
-94,0,0.326319
-92,0,0.326319
-90,0,0.326319
-88,0,0.326319
-86,0,0.326319
-84,0,0.326319
-82,0,0.326319
-80,0,0.326319
-78,0,0.326319
-76,0,0.326319
-74,0,0.326319
-72,0,0.326319
-70,0,0.326319
-68,0,0.326319
-66,0,0.326319
-64,0,0.326319
-62,0,0.326319
-60,0,0.326319
-58,0,0.326319
-56,0,0.326319
-54,0,0.326319
-52,0,0.326319
-50,0,0.326319
-48,0,0.326319
-46,0,0.326319
-44,0,0.326319
-42,0,0.326319
-40,0,0.326319
-38,0,0.326319
-36,0,0.326319
-34,0,0.326319
-32,0,0.326319
-30,0,0.326319
-28,0,0.326319
-26,0,0.326319
-24,0,0.326319
-22,0,0.326319
-20,0,0.326319
-18,0,0.326319
-16,0,0.326319
-14,0,0.326319
-12,0,0.326319
-10,0,0.326319
-8,0,0.326319
-6,0,0.326319
-4,0,0.326319
-2,0,0.326319
0,0,0.326319
2,0,0.326319
4,0,0.326319
6,0,0.326319
8,0,0.326319
10,0,0.326319
12,0,0.326319
14,0,0.326319
16,0,0.326319
18,0,0.326319
20,0,0.326319
22,0,0.326319
24,0,0.326319
26,0,0.326319
28,0,0.326319
30,0,0.326319
32,0,0.326319
34,0,0.326319
36,0,0.326319
38,0,0.326319
40,0,0.326319
42,0,0.326319
44,0,0.326319
46,0,0.326319
48,0,0.326319
50,0,0.326319
52,0,0.326319
54,0,0.326319
56,0,0.326319
58,0,0.326319
60,0,0.326319
62,0,0.326319
64,0,0.326319
66,0,0.326319
68,0,0.326319
70,0,0.326319
72,0,0.326319
74,0,0.326319
76,0,0.326319
78,0,0.326319
80,0,0.326319
82,0,0.326319
84,0,0.326319
86,0,0.326319
88,0,0.326319
90,0,0.326319
92,0,0.326319
94,0,0.326319
96,0,0.326319
98,0,0.326319
100,0,0.326319
102,0,0.326319
104,0,0.326319
106,0,0.326319
108,0,0.326319
110,0,0.326319
112,0,0.326319
114,0,0.326319
116,0,0.326319
118,0,0.326319
120,0,0.326319
122,0,0.326319
124,0,0.326319
126,0,0.326319
128,0,0.326319
130,0,0.326319
132,0,0.326319
134,0,0.326319
136,0,0.326319
138,0,0.326319
140,0,0.326319
142,0,0.326319
144,0,0.326319
146,0,0.326319
148,0,0.326319
150,0,0.326319
152,0,0.326319
154,0,0.326319
156,0,0.326319
158,0,0.326319
160,0,0.326319
162,0,0.326319
164,0,0.326319
166,0,0.326319
168,0,0.326319
170,0,0.326319
172,0,0.326319
174,0,0.326319
176,0,0.326319
178,0,0.326319
180,0,0.326319
-180,2,0.325885
-178,2,0.325883
-176,2,0.32588
-174,2,0.325874
-172,2,0.325867
-170,2,0.325858
-168,2,0.325847
-166,2,0.325835
-164,2,0.325821
-162,2,0.325805
-160,2,0.325787
-158,2,0.325768
-156,2,0.325748
-154,2,0.325727
-152,2,0.325704
-150,2,0.32568
-148,2,0.325655
-146,2,0.32563
-144,2,0.325603
-142,2,0.325577
-140,2,0.325549
-138,2,0.325522
-136,2,0.325494
-134,2,0.325466
-132,2,0.325438
-130,2,0.325411
-128,2,0.325383
-126,2,0.325356
-124,2,0.32533
-122,2,0.325305
-120,2,0.32528
-118,2,0.325257
-116,2,0.325234
-114,2,0.325213
-112,2,0.325193
-110,2,0.325174
-108,2,0.325157
-106,2,0.325142
-104,2,0.325128
-102,2,0.325115
-100,2,0.325105
-98,2,0.325096
-96,2,0.32509
-94,2,0.325085
-92,2,0.325082
-90,2,0.325081
-88,2,0.325082
-86,2,0.325085
-84,2,0.325089
-82,2,0.325096
-80,2,0.325105
-78,2,0.325115
-76,2,0.325127
-74,2,0.325141
-72,2,0.325157
-70,2,0.325174
-68,2,0.325192
-66,2,0.325212
-64,2,0.325233
-62,2,0.325256
-60,2,0.325279
-58,2,0.325304
-56,2,0.325329
-54,2,0.325355
-52,2,0.325382
-50,2,0.325409
-48,2,0.325437
-46,2,0.325465
-44,2,0.325493
-42,2,0.32552
-40,2,0.325548
-38,2,0.325575
-36,2,0.325602
-34,2,0.325628
-32,2,0.325654
-30,2,0.325679
-28,2,0.325702
-26,2,0.325725
-24,2,0.325747
-22,2,0.325767
-20,2,0.325786
-18,2,0.325803
-16,2,0.325819
-14,2,0.325833
-12,2,0.325846
-10,2,0.325857
-8,2,0.325866
-6,2,0.325873
-4,2,0.325878
-2,2,0.325882
0,2,0.325883
2,2,0.325883
4,2,0.325881
6,2,0.325876
8,2,0.32587
10,2,0.325862
12,2,0.325853
14,2,0.325841
16,2,0.325828
18,2,0.325813
20,2,0.325797
22,2,0.325779
24,2,0.32576
26,2,0.325739
28,2,0.325717
30,2,0.325694
32,2,0.325671
34,2,0.325646
36,2,0.325621
38,2,0.325595
40,2,0.325568
42,2,0.325542
44,2,0.325515
46,2,0.325487
48,2,0.32546
50,2,0.325434
52,2,0.325407
54,2,0.325381
56,2,0.325355
58,2,0.325331
60,2,0.325307
62,2,0.325284
64,2,0.325262
66,2,0.325241
68,2,0.325221
70,2,0.325203
72,2,0.325186
74,2,0.325171
76,2,0.325158
78,2,0.325146
80,2,0.325136
82,2,0.325127
84,2,0.325121
86,2,0.325116
88,2,0.325113
90,2,0.325112
92,2,0.325113
94,2,0.325116
96,2,0.325121
98,2,0.325127
100,2,0.325136
102,2,0.325146
104,2,0.325158
106,2,0.325172
108,2,0.325187
110,2,0.325204
112,2,0.325222
