Phi[deg],Theta[deg],RealizedGainTotal
-180,0,0.420646
-178,0,0.420646
-176,0,0.420646
-174,0,0.420646
-172,0,0.420646
-170,0,0.420646
-168,0,0.420646
-166,0,0.420646
-164,0,0.420646
-162,0,0.420646
-160,0,0.420646
-158,0,0.420646
-156,0,0.420646
-154,0,0.420646
-152,0,0.420646
-150,0,0.420646
-148,0,0.420646
-146,0,0.420646
-144,0,0.420646
-142,0,0.420646
-140,0,0.420646
-138,0,0.420646
-136,0,0.420646
-134,0,0.420646
-132,0,0.420646
-130,0,0.420646
-128,0,0.420646
-126,0,0.420646
-124,0,0.420646
-122,0,0.420646
-120,0,0.420646
-118,0,0.420646
-116,0,0.420646
-114,0,0.420646
-112,0,0.420646
-110,0,0.420646
-108,0,0.420646
-106,0,0.420646
-104,0,0.420646
-102,0,0.420646
-100,0,0.420646
-98,0,0.420646
-96,0,0.420646
-94,0,0.420646
-92,0,0.420646
-90,0,0.420646
-88,0,0.420646
-86,0,0.420646
-84,0,0.420646
-82,0,0.420646
-80,0,0.420646
-78,0,0.420646
-76,0,0.420646
-74,0,0.420646
-72,0,0.420646
-70,0,0.420646
-68,0,0.420646
-66,0,0.420646
-64,0,0.420646
-62,0,0.420646
-60,0,0.420646
-58,0,0.420646
-56,0,0.420646
-54,0,0.420646
-52,0,0.420646
-50,0,0.420646
-48,0,0.420646
-46,0,0.420646
-44,0,0.420646
-42,0,0.420646
-40,0,0.420646
-38,0,0.420646
-36,0,0.420646
-34,0,0.420646
-32,0,0.420646
-30,0,0.420646
-28,0,0.420646
-26,0,0.420646
-24,0,0.420646
-22,0,0.420646
-20,0,0.420646
-18,0,0.420646
-16,0,0.420646
-14,0,0.420646
-12,0,0.420646
-10,0,0.420646
-8,0,0.420646
-6,0,0.420646
-4,0,0.420646
-2,0,0.420646
0,0,0.420646
2,0,0.420646
4,0,0.420646
6,0,0.420646
8,0,0.420646
10,0,0.420646
12,0,0.420646
14,0,0.420646
16,0,0.420646
18,0,0.420646
20,0,0.420646
22,0,0.420646
24,0,0.420646
26,0,0.420646
28,0,0.420646
30,0,0.420646
32,0,0.420646
34,0,0.420646
36,0,0.420646
38,0,0.420646
40,0,0.420646
42,0,0.420646
44,0,0.420646
46,0,0.420646
48,0,0.420646
50,0,0.420646
52,0,0.420646
54,0,0.420646
56,0,0.420646
58,0,0.420646
60,0,0.420646
62,0,0.420646
64,0,0.420646
66,0,0.420646
68,0,0.420646
70,0,0.420646
72,0,0.420646
74,0,0.420646
76,0,0.420646
78,0,0.420646
80,0,0.420646
82,0,0.420646
84,0,0.420646
86,0,0.420646
88,0,0.420646
90,0,0.420646
92,0,0.420646
94,0,0.420646
96,0,0.420646
98,0,0.420646
100,0,0.420646
102,0,0.420646
104,0,0.420646
106,0,0.420646
108,0,0.420646
110,0,0.420646
112,0,0.420646
114,0,0.420646
116,0,0.420646
118,0,0.420646
120,0,0.420646
122,0,0.420646
124,0,0.420646
126,0,0.420646
128,0,0.420646
130,0,0.420646
132,0,0.420646
134,0,0.420646
136,0,0.420646
138,0,0.420646
140,0,0.420646
142,0,0.420646
144,0,0.420646
146,0,0.420646
148,0,0.420646
150,0,0.420646
152,0,0.420646
154,0,0.420646
156,0,0.420646
158,0,0.420646
160,0,0.420646
162,0,0.420646
164,0,0.420646
166,0,0.420646
168,0,0.420646
170,0,0.420646
172,0,0.420646
174,0,0.420646
176,0,0.420646
178,0,0.420646
180,0,0.420646
-180,2,0.422953
-178,2,0.422827
-176,2,0.422697
-174,2,0.422564
-172,2,0.422428
-170,2,0.42229
-168,2,0.42215
-166,2,0.422008
-164,2,0.421865
-162,2,0.42172
-160,2,0.421573
-158,2,0.421426
-156,2,0.421278
-154,2,0.42113
-152,2,0.420982
-150,2,0.420833
-148,2,0.420685
-146,2,0.420538
-144,2,0.420391
-142,2,0.420245
-140,2,0.4201
-138,2,0.419957
-136,2,0.419815
-134,2,0.419674
-132,2,0.419536
-130,2,0.4194
-128,2,0.419265
-126,2,0.419134
-124,2,0.419004
-122,2,0.418877
-120,2,0.418753
-118,2,0.418632
-116,2,0.418513
-114,2,0.418397
-112,2,0.418285
-110,2,0.418176
-108,2,0.418069
-106,2,0.417966
-104,2,0.417867
-102,2,0.417771
-100,2,0.417678
-98,2,0.417588
-96,2,0.417502
-94,2,0.417419
-92,2,0.41734
-90,2,0.417265
-88,2,0.417192
-86,2,0.417123
-84,2,0.417058
-82,2,0.416996
-80,2,0.416938
-78,2,0.416883
-76,2,0.416831
-74,2,0.416783
-72,2,0.416738
-70,2,0.416697
-68,2,0.416658
-66,2,0.416623
-64,2,0.416592
-62,2,0.416564
-60,2,0.416538
-58,2,0.416517
-56,2,0.416498
-54,2,0.416483
-52,2,0.41647
-50,2,0.416461
-48,2,0.416456
