Phi[deg],Theta[deg],RealizedGainTotal
-180,0,0.128289
-178,0,0.128289
-176,0,0.128289
-174,0,0.128289
-172,0,0.128289
-170,0,0.128289
-168,0,0.128289
-166,0,0.128289
-164,0,0.128289
-162,0,0.128289
-160,0,0.128289
-158,0,0.128289
-156,0,0.128289
-154,0,0.128289
-152,0,0.128289
-150,0,0.128289
-148,0,0.128289
-146,0,0.128289
-144,0,0.128289
-142,0,0.128289
-140,0,0.128289
-138,0,0.128289
-136,0,0.128289
-134,0,0.128289
-132,0,0.128289
-130,0,0.128289
-128,0,0.128289
-126,0,0.128289
-124,0,0.128289
-122,0,0.128289
-120,0,0.128289
-118,0,0.128289
-116,0,0.128289
-114,0,0.128289
-112,0,0.128289
-110,0,0.128289
-108,0,0.128289
-106,0,0.128289
-104,0,0.128289
-102,0,0.128289
-100,0,0.128289
-98,0,0.128289
-96,0,0.128289
-94,0,0.128289
-92,0,0.128289
-90,0,0.128289
-88,0,0.128289
-86,0,0.128289
-84,0,0.128289
-82,0,0.128289
-80,0,0.128289
-78,0,0.128289
-76,0,0.128289
-74,0,0.128289
-72,0,0.128289
-70,0,0.128289
-68,0,0.128289
-66,0,0.128289
-64,0,0.128289
-62,0,0.128289
-60,0,0.128289
-58,0,0.128289
-56,0,0.128289
-54,0,0.128289
-52,0,0.128289
-50,0,0.128289
-48,0,0.128289
-46,0,0.128289
-44,0,0.128289
-42,0,0.128289
-40,0,0.128289
-38,0,0.128289
-36,0,0.128289
-34,0,0.128289
-32,0,0.128289
-30,0,0.128289
-28,0,0.128289
-26,0,0.128289
-24,0,0.128289
-22,0,0.128289
-20,0,0.128289
-18,0,0.128289
-16,0,0.128289
-14,0,0.128289
-12,0,0.128289
-10,0,0.128289
-8,0,0.128289
-6,0,0.128289
-4,0,0.128289
-2,0,0.128289
0,0,0.128289
2,0,0.128289
4,0,0.128289
6,0,0.128289
8,0,0.128289
10,0,0.128289
12,0,0.128289
14,0,0.128289
16,0,0.128289
18,0,0.128289
20,0,0.128289
22,0,0.128289
24,0,0.128289
26,0,0.128289
28,0,0.128289
30,0,0.128289
32,0,0.128289
34,0,0.128289
36,0,0.128289
38,0,0.128289
40,0,0.128289
42,0,0.128289
44,0,0.128289
46,0,0.128289
48,0,0.128289
