Freq [MHz],"re(Z(LumpedPortExcitation,LumpedPortExcitation)) []","im(Z(LumpedPortExcitation,LumpedPortExcitation)) []"
1,0.010914801,-24678.26035
2,0.043812285,-12331.61796
3,0.098434453,-8209.340543
4,0.17484928,-6148.232207
5,0.274316863,-4909.557023
6,0.395341095,-4082.876182
7,0.53762766,-3490.278997
8,0.702917794,-3044.565444
9,0.891811292,-2696.771698
10,1.103951873,-2417.518883
11,1.339223361,-2188.110741
12,1.593068523,-1995.068271
13,1.873444122,-1831.872047
14,2.17811748,-1691.249013
15,2.507976328,-1568.681026
16,2.863496227,-1460.779617
17,3.244670005,-1364.953414
18,3.651227135,-1279.186382
19,4.082973165,-1201.886251
20,4.540050544,-1131.77862
21,5.023004417,-1067.831462
22,5.532677616,-1009.200228
23,6.070046278,-955.1871851
24,6.636092455,-905.2108358
25,7.229319015,-857.8549069
26,7.854939318,-814.6045457
27,8.51159932,-774.132853
28,9.200517787,-736.1378365
29,9.922833748,-700.3591609
30,10.67954926,-666.57115
31,11.47151352,-634.5771172
32,12.2994451,-604.2047483
33,13.16398397,-575.3023282
34,14.06576228,-547.7356485
35,15.00548125,-521.3854706
36,15.98398188,-496.1454388
37,17.00229887,-471.9203592
38,18.06169085,-448.624772
39,19.16364407,-426.1817554
40,20.30985185,-404.5219104
41,21.50217591,-383.5824868
42,22.74259797,-363.3066181
43,24.03317104,-343.6426438
44,25.37597824,-324.5435054
45,26.77310499,-305.966205
46,28.22662752,-287.8713225
47,29.73861819,-270.2225884
48,31.31116598,-252.9865072
49,32.94640914,-236.1320318
50,34.64657613,-219.6302829
